company,property,location,area,id
深圳市万科云城房地产,万科云城（一期）,南山区石鼓路,深房许字（2018）南山,
深圳市大新常盛投资有,枫叶望海公馆,南山区望海路,深房许字（2018）南山,
粤海置地（深圳）有限,悦彩城,深圳市罗湖区东晓街道,深房许字（2018）罗湖,
深圳市和谷投资有限公,和谷山汇城,宝安区燕罗街道,深房许字（2018）宝安,
深圳市松茂房地产集团,松茂柏景湾公馆,宝安西乡街道,深房许字（2018）宝安,
深圳市岗隆实业有限公,勤诚达正大城花园一期,光明区光侨路南侧、元,深房许字（2018）光明,
深圳市天荣盛房地产开,天汇时代花园二期,光明区长春路东侧、振,深房许字（2018）光明,
深圳机场地产有限公司,领航城领誉华府,宝安区西乡街道,深房许字（2018）宝安,
深圳市西城房地产开发,万科星城名邸,宝安区新桥街道,深房许字（2018）宝安,
深圳市麟恒投资发展有,东城中心花园（三期）,横岗街道龙岗大道北面,深房许字（2018）龙岗,
深圳市西城房地产开发,万科星城上郡,宝安区新桥街道,深房许字（2018）宝安,
深圳市西城房地产开发,万科星城华府,宝安区新桥街道,深房许字（2018）宝安,
深圳华强永兴投资有限,华强城市花园（一期）,宝安区福海街道,深房许字（2018）宝安,
深圳市大族云峰投资有,大族云峰花园5号楼、6,坂雪岗大道与永香路交,深房许字（2018）龙岗,
深圳市华联置业集团有,华联城市商务中心,南山大道西面东滨路北,深房许字（2018）南山,
深圳市名爵房地产开发,万科香蜜府,深圳市福田区安托山四,深房许字（2018）福田,
深圳市天就房地产开发,玺园,深圳市宝安区观澜镇清,深房许字（2018）龙华,
深圳卓越青浦房地产开,誉珑豪轩,宝安区沙井街道,深房许字（2018）宝安,
深圳泛亚房地产开发有,中骏云景华府,龙岗区龙岗街道,深房许字（2018）龙岗,
深圳冠懋房地产集团有,蓝郡公馆大厦,盐田区沙头角街道沙深,深房许字（2018）盐田,
深圳市桂芳园实业有限,佳兆业金御雅园（1栋）,龙岗区平湖街道平安大,深房许字（2018）龙岗,
深圳市桂芳园实业有限,佳兆业君汇公馆（2栋）,龙岗区平湖街道平安大,深房许字（2018）龙岗,
