房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋B座410,61.55,42526.47,47.03,55656.05,2617504.17,在售,商业
1栋B座409,61.48,42526.47,46.98,55651.92,2614527.32,在售,商业
1栋B座408,61.48,42526.47,46.98,55651.92,2614527.32,在售,商业
1栋B座407,61.48,42526.47,46.98,55651.92,2614527.32,在售,商业
1栋B座406,61.48,42526.47,46.98,55651.92,2614527.32,在售,商业
1栋B座405,61.48,43595.67,46.98,57051.13,2680262.01,在售,商业
1栋B座404,61.48,43595.67,46.98,57051.13,2680262.01,在售,商业
1栋B座403,61.48,43595.67,46.98,57051.13,2680262.01,在售,商业
1栋B座402,61.48,43595.67,46.98,57051.13,2680262.01,在售,商业
1栋B座401,61.55,43595.67,47.03,57055.36,2683313.71,在售,商业
1栋B座310,61.55,42726.47,47.03,55917.80,2629814.17,在售,商业
1栋B座309,61.48,42726.47,46.98,55913.65,2626823.32,在售,商业
1栋B座308,61.48,42726.47,46.98,55913.65,2626823.32,在售,商业
1栋B座307,61.48,42726.47,46.98,55913.65,2626823.32,在售,商业
1栋B座306,61.48,42726.47,46.98,55913.65,2626823.32,在售,商业
1栋B座305,61.48,43795.67,46.98,57312.86,2692558.01,在售,商业
1栋B座304,61.48,43795.67,46.98,57312.86,2692558.01,在售,商业
1栋B座303,61.48,43795.67,46.98,57312.86,2692558.01,在售,商业
1栋B座302,61.48,43795.67,46.98,57312.86,2692558.01,在售,商业
1栋B座301,61.55,43795.67,47.03,57317.11,2695623.71,在售,商业
1栋B座210,61.55,41926.47,47.03,54870.81,2580574.17,在售,商业
1栋B座209,61.48,41926.47,46.98,54866.74,2577639.32,在售,商业
1栋B座208,61.48,41926.47,46.98,54866.74,2577639.32,在售,商业
1栋B座207,61.48,41926.47,46.98,54866.74,2577639.32,在售,商业
1栋B座206,61.48,41926.47,46.98,54866.74,2577639.32,在售,商业
1栋B座205,61.48,42995.67,46.98,56265.94,2643374.01,在售,商业
1栋B座204,61.48,42995.67,46.98,56265.94,2643374.01,在售,商业
1栋B座203,61.48,42995.67,46.98,56265.94,2643374.01,在售,商业
1栋B座202,61.48,42995.67,46.98,56265.94,2643374.01,在售,商业
1栋B座201,61.55,42995.67,47.03,56270.12,2646383.71,在售,商业
1栋235,120.67,35000.00,111.58,37851.32,4223450.00,在售,商业
1栋234,185.92,32000.00,171.91,34607.88,5949440.00,在售,商业
1栋231,247.18,31000.00,228.56,33525.46,7662580.00,在售,商业
1栋230,198.50,33000.00,183.55,35687.82,6550500.00,在售,商业
1栋229,215.34,35000.00,199.12,37851.04,7536900.00,在售,商业
1栋228,224.02,30000.00,207.14,32444.72,6720600.00,在售,商业
1栋227,177.62,31000.00,164.24,33525.45,5506220.00,在售,商业
1栋126,139.37,56000.00,128.87,60562.74,7804720.00,在售,商业
1栋125,64.91,73000.00,60.02,78947.52,4738430.00,在售,商业
1栋124,67.95,73000.00,62.83,78948.75,4960350.00,在售,商业
1栋123,97.63,72000.00,90.27,77870.39,7029360.00,在售,商业
1栋122,29.77,130000.00,27.53,140577.55,3870100.00,在售,商业
1栋121,58.46,85000.00,54.06,91918.24,4969100.00,在售,商业
1栋120,90.46,70000.00,83.64,75707.80,6332200.00,在售,商业
1栋119,43.40,95000.00,40.13,102741.09,4123000.00,在售,商业
1栋112,78.57,75000.00,72.65,81111.49,5892750.00,在售,商业
1栋111,100.73,68000.00,93.14,73541.34,6849640.00,在售,商业
1栋110,39.70,115000.00,36.71,124366.66,4565500.00,在售,商业
1栋109,167.51,60000.00,154.89,64888.63,10050600.00,在售,商业
1栋108,70.47,85000.00,65.16,91926.80,5989950.00,在售,商业
1栋107,34.08,105000.00,31.51,113563.95,3578400.00,在售,商业
1栋106,54.53,77000.00,50.42,83276.68,4198810.00,在售,商业
1栋105,55.52,75000.00,51.34,81106.35,4164000.00,在售,商业
1栋104,185.35,55000.00,171.38,59483.31,10194250.00,在售,商业
1栋103,116.80,62000.00,108.00,67051.85,7241600.00,在售,商业
1栋102,116.80,61000.00,108.00,65970.37,7124800.00,在售,商业
1栋101,116.44,60000.00,107.67,64887.16,6986400.00,在售,商业
1栋E座4105,99.57,40875.77,74.55,54594.23,4070000.00,在售,住宅
1栋E座4104,100.36,40554.01,75.14,54165.56,4070000.00,在售,住宅
1栋E座4103,100.36,40554.01,75.14,54165.56,4070000.00,在售,住宅
