房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋G座406,66.17,42344.48,47.03,59577.59,2801934.02,在售,商业
1栋G座405,66.09,42344.48,46.98,59568.89,2798546.46,在售,商业
1栋G座404,66.09,42344.48,46.98,59568.89,2798546.46,在售,商业
1栋G座403,66.17,39159.61,47.03,55096.57,2591191.52,在售,商业
1栋G座402,66.09,39159.61,46.98,55088.52,2588058.76,在售,商业
1栋G座401,66.09,39159.61,46.98,55088.52,2588058.76,在售,商业
1栋G座306,66.17,42544.48,47.03,59858.98,2815168.02,在售,商业
1栋G座305,66.09,42544.48,46.98,59850.24,2811764.46,在售,商业
1栋G座304,66.09,42544.48,46.98,59850.24,2811764.46,在售,商业
1栋G座303,66.17,39359.61,47.03,55377.96,2604425.52,在售,商业
1栋G座302,66.09,39359.61,46.98,55369.88,2601276.76,在售,商业
1栋G座301,66.09,39359.61,46.98,55369.88,2601276.76,在售,商业
1栋G座206,66.01,41744.48,46.92,58728.75,2755552.91,在售,商业
1栋G座205,66.09,41744.48,46.98,58724.83,2758892.46,在售,商业
1栋G座204,66.09,41744.48,46.98,58724.83,2758892.46,在售,商业
1栋G座203,66.17,38559.61,47.03,54252.38,2551489.52,在售,商业
1栋G座202,66.09,38559.61,46.98,54244.46,2548404.76,在售,商业
1栋G座201,66.09,38559.61,46.98,54244.46,2548404.76,在售,商业
1栋C座608,55.55,41975.75,40.94,56955.37,2331752.96,在售,商业
1栋C座607,55.07,41975.75,40.59,56950.10,2311604.60,在售,商业
1栋C座606,55.07,41975.75,40.59,56950.10,2311604.60,在售,商业
1栋C座605,55.13,41975.75,40.64,56942.01,2314123.14,在售,商业
1栋C座604,55.55,37539.69,40.94,50936.24,2085329.74,在售,商业
1栋C座603,55.07,37539.69,40.59,50931.53,2067310.69,在售,商业
1栋C座602,55.07,37539.69,40.59,50931.53,2067310.69,在售,商业
1栋C座601,55.13,37539.69,40.64,50924.29,2069563.07,在售,商业
1栋C座508,55.55,42175.75,40.94,57226.75,2342862.96,在售,商业
1栋C座507,55.07,42175.75,40.59,57221.45,2322618.60,在售,商业
1栋C座506,55.07,42175.75,40.59,57221.45,2322618.60,在售,商业
1栋C座505,55.13,42175.75,40.64,57213.32,2325149.14,在售,商业
1栋C座504,55.55,37739.69,40.94,51207.61,2096439.74,在售,商业
1栋C座503,55.07,37739.69,40.59,51202.87,2078324.69,在售,商业
1栋C座502,55.07,37739.69,40.59,51202.87,2078324.69,在售,商业
1栋C座501,55.13,37739.69,40.64,51195.60,2080589.07,在售,商业
1栋C座408,55.55,42075.75,40.94,57091.06,2337307.96,在售,商业
1栋C座407,55.07,42075.75,40.59,57085.77,2317111.60,在售,商业
1栋C座406,55.07,42075.75,40.59,57085.77,2317111.60,在售,商业
1栋C座405,55.13,42075.75,40.64,57077.66,2319636.14,在售,商业
1栋C座404,55.55,37639.69,40.94,51071.93,2090884.74,在售,商业
1栋C座403,55.07,37639.69,40.59,51067.20,2072817.69,在售,商业
1栋C座402,55.07,37639.69,40.59,51067.20,2072817.69,在售,商业
1栋C座401,55.13,37639.69,40.64,51059.94,2075076.07,在售,商业
1栋C座304,55.55,37539.69,40.94,50936.24,2085329.74,在售,商业
1栋C座303,55.07,37539.69,40.59,50931.53,2067310.69,在售,商业
1栋C座302,55.07,37539.69,40.59,50931.53,2067310.69,在售,商业
2栋247,138.96,40000.00,116.65,47650.24,5558400.00,在售,商业
2栋246,166.79,42000.00,140.02,50029.85,7005180.00,在售,商业
2栋245,90.15,48000.00,75.68,57177.59,4327200.00,在售,商业
2栋144,121.92,78200.00,102.35,93152.36,9534144.00,在售,商业
2栋143,112.02,81000.00,94.04,96486.81,9073620.00,在售,商业
2栋142,119.29,82000.00,100.14,97681.05,9781780.00,在售,商业
2栋141,42.10,130000.00,35.34,154867.01,5473000.00,在售,商业
2栋140,85.49,93000.00,71.77,110778.46,7950570.00,在售,商业
2栋139,65.11,96000.00,54.66,114353.46,6250560.00,在售,商业
1栋150,39.92,100000.00,38.43,103877.18,3992000.00,在售,商业
1栋149,28.75,110000.00,27.68,114252.17,3162500.00,在售,商业
1栋148,88.50,68000.00,85.19,70642.09,6018000.00,在售,商业
1栋138,79.78,68000.00,76.80,70638.54,5425040.00,在售,商业
1栋137,54.42,76000.00,52.39,78944.84,4135920.00,在售,商业
1栋136,46.40,73000.00,44.66,75844.16,3387200.00,在售,商业
