房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋G座417,53.64,39273.36,41.42,50860.04,2106622.88,在售,商业
1栋G座416,53.64,39273.36,41.42,50860.04,2106622.88,在售,商业
1栋G座415,53.64,39273.36,41.42,50860.04,2106622.88,在售,商业
1栋G座414,53.64,39273.36,41.42,50860.04,2106622.88,在售,商业
1栋G座413,53.64,39273.36,41.42,50860.04,2106622.88,在售,商业
1栋G座412,53.64,39273.36,41.42,50860.04,2106622.88,在售,商业
1栋G座411,53.57,42003.24,41.37,54389.98,2250113.63,在售,商业
1栋G座410,53.64,42003.24,41.42,54395.31,2253053.86,在售,商业
1栋G座409,53.64,42003.24,41.42,54395.31,2253053.86,在售,商业
1栋G座408,53.64,37908.42,41.42,49092.40,2033407.39,在售,商业
1栋G座407,53.64,37908.42,41.42,49092.40,2033407.39,在售,商业
1栋G座406,53.64,37908.42,41.42,49092.40,2033407.39,在售,商业
1栋G座405,53.64,37908.42,41.42,49092.40,2033407.39,在售,商业
1栋G座404,53.64,37908.42,41.42,49092.40,2033407.39,在售,商业
1栋G座403,53.64,37908.42,41.42,49092.40,2033407.39,在售,商业
1栋G座402,53.64,37908.42,41.42,49092.40,2033407.39,在售,商业
1栋G座401,53.64,37908.42,41.42,49092.40,2033407.39,在售,商业
1栋G座317,53.64,39473.36,41.42,51119.05,2117350.88,在售,商业
1栋G座316,53.64,39473.36,41.42,51119.05,2117350.88,在售,商业
1栋G座315,53.64,39473.36,41.42,51119.05,2117350.88,在售,商业
1栋G座314,53.64,39473.36,41.42,51119.05,2117350.88,在售,商业
1栋G座313,53.64,39473.36,41.42,51119.05,2117350.88,在售,商业
1栋G座312,53.64,39473.36,41.42,51119.05,2117350.88,在售,商业
1栋G座311,53.57,42203.24,41.37,54648.96,2260827.63,在售,商业
1栋G座310,53.64,42203.24,41.42,54654.32,2263781.86,在售,商业
1栋G座309,53.64,42203.24,41.42,54654.32,2263781.86,在售,商业
1栋G座308,53.64,38108.42,41.42,49351.41,2044135.39,在售,商业
1栋G座307,53.64,38108.42,41.42,49351.41,2044135.39,在售,商业
1栋G座306,53.64,38108.42,41.42,49351.41,2044135.39,在售,商业
1栋G座305,53.64,38108.42,41.42,49351.41,2044135.39,在售,商业
1栋G座304,53.64,38108.42,41.42,49351.41,2044135.39,在售,商业
1栋G座303,53.64,38108.42,41.42,49351.41,2044135.39,在售,商业
1栋G座302,53.64,38108.42,41.42,49351.41,2044135.39,在售,商业
1栋G座301,53.64,38108.42,41.42,49351.41,2044135.39,在售,商业
1栋G座217,53.64,38673.36,41.42,50083.02,2074438.88,在售,商业
1栋G座216,53.64,38673.36,41.42,50083.02,2074438.88,在售,商业
1栋G座215,53.64,38673.36,41.42,50083.02,2074438.88,在售,商业
1栋G座214,53.64,38673.36,41.42,50083.02,2074438.88,在售,商业
1栋G座213,53.64,38673.36,41.42,50083.02,2074438.88,在售,商业
1栋G座212,53.64,38673.36,41.42,50083.02,2074438.88,在售,商业
1栋G座211,53.57,41403.24,41.37,53613.04,2217971.63,在售,商业
1栋G座210,53.64,41403.24,41.42,53618.30,2220869.86,在售,商业
1栋G座209,53.64,41403.24,41.42,53618.30,2220869.86,在售,商业
1栋G座208,53.64,37308.42,41.42,48315.39,2001223.39,在售,商业
1栋G座207,53.64,37308.42,41.42,48315.39,2001223.39,在售,商业
1栋G座206,53.64,37308.42,41.42,48315.39,2001223.39,在售,商业
1栋G座205,53.64,37308.42,41.42,48315.39,2001223.39,在售,商业
1栋G座204,53.64,37308.42,41.42,48315.39,2001223.39,在售,商业
1栋G座203,53.64,37308.42,41.42,48315.39,2001223.39,在售,商业
1栋G座202,53.64,37308.42,41.42,48315.39,2001223.39,在售,商业
1栋G座201,53.64,37308.42,41.42,48315.39,2001223.39,在售,商业
1栋D座408,55.02,39955.83,41.42,53075.08,2198369.66,在售,商业
1栋D座407,55.02,39955.83,41.42,53075.08,2198369.66,在售,商业
1栋D座406,55.02,39955.83,41.42,53075.08,2198369.66,在售,商业
1栋D座405,55.02,39955.83,41.42,53075.08,2198369.66,在售,商业
1栋D座404,93.92,37453.43,70.70,49754.27,3517626.57,在售,商业
1栋D座403,93.92,36088.49,70.70,47941.04,3389431.21,在售,商业
1栋D座402,55.02,37908.42,41.42,50355.41,2085721.00,在售,商业
1栋D座401,55.02,37908.42,41.42,50355.41,2085721.00,在售,商业
1栋D座308,55.02,40155.83,41.42,53340.75,2209373.66,在售,商业
