房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
7栋62,103.34,100000.00,88.30,117032.84,10334000.00,在售,商业
7栋60,72.20,100000.00,59.10,122165.82,7220000.00,在售,商业
7栋59,275.62,100000.00,231.98,118811.96,27562000.00,在售,商业
7栋58,42.88,100000.00,35.10,122165.24,4288000.00,在售,商业
7栋57,277.05,100000.00,233.84,118478.44,27705000.00,在售,商业
7栋56,347.05,100000.00,294.21,117959.96,34705000.00,在售,商业
6栋3105,88.72,26471.99,67.83,34624.72,2348595.00,在售,住宅
6栋3104,88.85,26064.54,67.93,34091.49,2315835.00,在售,住宅
6栋3103,77.50,25557.54,59.25,33429.70,1980710.00,在售,住宅
6栋3101,88.72,25400.51,67.83,33223.26,2253534.00,在售,住宅
6栋3005,88.72,26442.59,67.83,34586.27,2345987.00,在售,住宅
6栋3004,88.85,26035.16,67.93,34053.05,2313224.00,在售,住宅
6栋3003,77.50,25526.33,59.25,33388.87,1978291.00,在售,住宅
6栋3002,89.07,24744.24,68.10,32363.72,2203970.00,在售,住宅
6栋3001,88.72,25371.13,67.83,33184.82,2250927.00,在售,住宅
