房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
半地下136,68.79,100000.00,28.20,243936.17,6879000.00,在售,
半地下135,67.92,100000.00,27.85,243877.91,6792000.00,在售,
半地下134,121.39,100000.00,49.77,243901.94,12139000.00,在售,
半地下133,121.39,100000.00,49.77,243901.94,12139000.00,在售,
半地下132,66.48,100000.00,27.26,243873.80,6648000.00,在售,
半地下131,54.91,100000.00,22.52,243827.70,5491000.00,在售,
半地下130,72.26,100000.00,29.63,243874.45,7226000.00,在售,
半地下129,74.79,100000.00,30.66,243933.46,7479000.00,在售,
半地下128,159.27,100000.00,65.30,243905.05,15927000.00,在售,
半地下127,123.86,100000.00,50.78,243914.92,12386000.00,在售,
半地下126,333.38,100000.00,136.69,243894.94,33338000.00,在售,
半地下125,84.83,100000.00,34.78,243904.54,8483000.00,在售,
半地下124,78.80,100000.00,32.31,243887.34,7880000.00,在售,
半地下123,106.77,100000.00,43.78,243878.48,10677000.00,在售,
半地下122,108.23,100000.00,44.37,243926.07,10823000.00,在售,
半地下121,136.70,100000.00,56.05,243889.38,13670000.00,在售,
半地下120,141.05,100000.00,57.83,243904.54,14105000.00,在售,
半地下119,114.19,100000.00,46.82,243891.49,11419000.00,在售,
半地下118,60.12,100000.00,24.65,243894.52,6012000.00,在售,
半地下117,147.81,100000.00,60.60,243910.89,14781000.00,在售,
半地下116,144.95,100000.00,59.43,243900.38,14495000.00,在售,
半地下115,144.95,100000.00,59.43,243900.38,14495000.00,在售,
半地下114,144.95,100000.00,59.43,243900.38,14495000.00,在售,
半地下113,246.76,100000.00,101.17,243906.29,24676000.00,在售,
半地下112,136.08,100000.00,55.79,243914.68,13608000.00,在售,
半地下111,80.23,100000.00,32.90,243860.18,8023000.00,在售,
半地下110,194.80,100000.00,79.87,243896.33,19480000.00,在售,
半地下109,184.39,100000.00,75.60,243902.11,18439000.00,在售,
半地下108,166.98,100000.00,68.46,243908.85,16698000.00,在售,
半地下107,172.99,100000.00,70.93,243888.34,17299000.00,在售,
半地下106,105.80,100000.00,43.38,243891.19,10580000.00,在售,
半地下105,172.49,100000.00,70.72,243905.54,17249000.00,在售,
半地下104,168.34,100000.00,69.02,243900.31,16834000.00,在售,
半地下103,167.13,100000.00,68.52,243914.18,16713000.00,在售,
半地下102,173.12,100000.00,70.98,243899.69,17312000.00,在售,
