房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋306,128.61,81958.71,105.68,99741.76,10540710.00,在售,住宅
2栋406,128.61,82028.71,105.68,99826.95,10549713.00,在售,住宅
2栋506,128.61,82098.70,105.68,99912.14,10558715.00,在售,住宅
2栋606,128.61,82168.71,105.68,99997.33,10567718.00,在售,住宅
2栋706,128.61,82238.71,105.68,100082.52,10576721.00,在售,住宅
2栋806,128.61,82308.70,105.68,100167.70,10585723.00,在售,住宅
2栋906,128.61,82378.71,105.68,100252.89,10594726.00,在售,住宅
2栋1006,128.61,82448.71,105.68,100338.08,10603729.00,在售,住宅
2栋1106,128.61,82518.71,105.68,100423.27,10612732.00,在售,住宅
2栋1206,128.61,82588.71,105.68,100508.45,10621734.00,在售,住宅
2栋1306,128.61,82658.71,105.68,100593.65,10630737.00,在售,住宅
2栋1406,128.61,82728.71,105.68,100678.84,10639740.00,在售,住宅
2栋1506,128.61,82798.70,105.68,100764.02,10648742.00,在售,住宅
2栋1606,128.61,82868.71,105.68,100849.21,10657745.00,在售,住宅
2栋1706,128.61,82938.71,105.68,100934.40,10666748.00,在售,住宅
2栋1806,128.61,83008.70,105.68,101019.58,10675750.00,在售,住宅
2栋1906,128.61,83078.71,105.68,101104.77,10684753.00,在售,住宅
2栋2006,128.61,83148.71,105.68,101189.96,10693756.00,在售,住宅
2栋2106,128.61,83218.71,105.68,101275.16,10702759.00,在售,住宅
2栋2206,128.61,83288.71,105.68,101360.34,10711761.00,在售,住宅
2栋2306,128.61,83358.71,105.68,101445.53,10720764.00,在售,住宅
2栋2406,128.61,83428.71,105.68,101530.72,10729767.00,在售,住宅
2栋2506,128.61,83498.70,105.68,101615.90,10738769.00,在售,住宅
2栋2606,128.61,83568.71,105.68,101701.09,10747772.00,在售,住宅
2栋2706,128.61,83638.71,105.68,101786.28,10756775.00,在售,住宅
2栋2806,128.61,83708.70,105.68,101871.47,10765777.00,在售,住宅
2栋2906,128.61,83778.71,105.68,101956.66,10774780.00,在售,住宅
2栋3006,128.61,83848.71,105.68,102041.85,10783783.00,在售,住宅
2栋3106,128.61,83918.71,105.68,102127.04,10792786.00,在售,住宅
2栋3206,128.61,83988.71,105.68,102212.22,10801788.00,在售,住宅
2栋3306,128.61,84058.71,105.68,102297.41,10810791.00,在售,住宅
2栋305,128.61,81958.71,105.68,99741.76,10540710.00,在售,住宅
2栋405,128.61,82028.71,105.68,99826.95,10549713.00,在售,住宅
2栋505,128.61,82098.70,105.68,99912.14,10558715.00,在售,住宅
2栋605,128.61,82168.71,105.68,99997.33,10567718.00,在售,住宅
