房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋B座45E,90.30,45207.00,70.27,58092.95,4082192.00,在售,在售
5栋B座45D,88.97,45301.00,69.23,58217.96,4030430.00,在售,在售
5栋B座45C,89.84,44649.00,69.91,57377.57,4011266.00,在售,在售
5栋B座45B,89.95,46482.00,70.00,59729.37,4181056.00,在售,在售
5栋B座45A,89.97,46507.00,70.02,59757.71,4184235.00,在售,在售
5栋B座44E,90.30,45179.00,70.27,58056.98,4079664.00,在售,在售
5栋B座44D,88.97,45273.00,69.23,58181.98,4027939.00,在售,在售
5栋B座44C,89.84,44621.00,69.91,57341.59,4008751.00,在售,在售
5栋B座44B,89.95,46454.00,70.00,59693.38,4178537.00,在售,在售
5栋B座44A,89.97,46504.00,70.02,59753.85,4183965.00,在售,在售
5栋B座43E,90.30,45151.00,70.27,58020.99,4077135.00,在售,在售
5栋B座43D,88.97,45245.00,69.23,58146.00,4025448.00,在售,在售
5栋B座43C,89.84,44593.00,69.91,57305.60,4006235.00,在售,在售
5栋B座43B,89.95,46426.00,70.00,59657.41,4176019.00,在售,在售
5栋B座43A,89.97,46501.00,70.02,59750.00,4183695.00,在售,在售
5栋B座42E,90.30,45123.00,70.27,57985.01,4074607.00,在售,在售
5栋B座42D,88.97,45217.00,69.23,58110.01,4022956.00,在售,在售
5栋B座42C,89.84,44565.00,69.91,57269.63,4003720.00,在售,在售
5栋B座42B,89.95,46399.00,70.00,59622.71,4173590.00,在售,在售
5栋B座42A,89.97,46473.00,70.02,59714.02,4181176.00,在售,在售
5栋B座41E,90.30,45096.00,70.27,57950.32,4072169.00,在售,在售
5栋B座41D,88.97,45189.00,69.23,58074.02,4020465.00,在售,在售
5栋B座41C,89.84,44537.00,69.91,57233.64,4001204.00,在售,在售
5栋B座41B,89.95,46371.00,70.00,59586.72,4171071.00,在售,在售
5栋B座41A,89.97,46445.00,70.02,59678.04,4178657.00,在售,在售
5栋B座40E,90.30,45068.00,70.27,57914.33,4069640.00,在售,在售
5栋B座40D,88.97,45161.00,69.23,58038.04,4017974.00,在售,在售
5栋B座40C,89.84,44509.00,69.91,57197.66,3998689.00,在售,在售
5栋B座40B,89.95,46343.00,70.00,59550.75,4168553.00,在售,在售
5栋B座40A,89.97,46417.00,70.02,59642.05,4176137.00,在售,在售
5栋B座39E,90.30,45040.00,70.27,57878.35,4067112.00,在售,在售
5栋B座39D,88.97,45133.00,69.23,58002.06,4015483.00,在售,在售
5栋B座39C,89.84,44482.00,69.91,57162.96,3996263.00,在售,在售
5栋B座39B,89.95,46315.00,70.00,59514.77,4166034.00,在售,在售
5栋B座39A,89.97,46389.00,70.02,59606.08,4173618.00,在售,在售
5栋B座38E,90.30,45012.00,70.27,57842.37,4064584.00,在售,在售
5栋B座38D,88.97,45106.00,69.23,57967.36,4013081.00,在售,在售
