房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
J座3006,126.41,30718.00,99.38,39073.00,3883074.00,在售,住宅
J座3005,84.84,23316.08,66.69,29661.67,1978137.00,在售,住宅
J座3004,75.75,23856.84,59.55,30346.86,1807156.00,在售,住宅
J座3003,75.75,23766.12,59.55,30231.46,1800284.00,在售,住宅
J座3002,84.84,23664.73,66.69,30105.20,2007716.00,在售,住宅
J座3001,126.41,23961.71,99.38,30478.96,3029000.00,在售,住宅
J座2906,126.08,30777.00,99.12,39149.00,3880448.00,在售,住宅
J座2905,84.84,23359.66,66.69,29717.10,1981834.00,在售,住宅
J座2904,75.75,23902.19,59.55,30404.55,1810591.00,在售,住宅
J座2903,75.75,23811.48,59.55,30289.16,1803720.00,在售,住宅
J座2902,84.84,23708.32,66.69,30160.65,2011414.00,在售,住宅
J座2901,126.08,24006.23,99.12,30535.77,3026706.00,在售,住宅
J座2806,126.08,23267.17,99.12,29595.69,2933525.00,在售,住宅
J座2805,84.84,23333.52,66.69,29683.85,1979616.00,在售,住宅
J座2804,75.75,23874.98,59.55,30369.94,1808530.00,在售,住宅
J座2803,75.75,23784.27,59.55,30254.55,1801659.00,在售,住宅
J座2802,84.84,23682.16,66.69,30127.38,2009195.00,在售,住宅
J座2801,126.08,23979.52,99.12,30501.79,3023338.00,在售,住宅
J座2706,126.08,23240.45,99.12,29561.71,2930157.00,在售,住宅
J座2705,84.84,23307.36,66.69,29650.57,1977397.00,在售,住宅
J座2704,75.75,23847.77,59.55,30335.33,1806469.00,在售,住宅
J座2703,75.75,23757.05,59.55,30219.93,1799597.00,在售,住宅
J座2702,84.84,23656.02,66.69,30094.12,2006977.00,在售,住宅
J座2701,126.08,23952.80,99.12,30467.81,3019970.00,在售,住宅
J座2606,126.08,23213.74,99.12,29527.73,2926789.00,在售,住宅
