房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
G栋3单元33层04号房,78.08,60694.00,58.69,80746.09,4738988.00,在售,住宅
G栋3单元33层03号房,78.08,61071.00,58.69,81247.64,4768424.00,在售,住宅
G栋3单元33层02号房,130.51,64085.00,98.09,85265.91,8363733.00,在售,住宅
G栋3单元33层01号房,86.30,61448.00,64.87,81747.53,5302962.00,在售,住宅
G栋3单元32层04号房,78.08,60614.00,58.69,80639.65,4732741.00,在售,住宅
G栋3单元32层03号房,78.08,60991.00,58.69,81141.20,4762177.00,在售,住宅
G栋3单元32层02号房,130.51,64005.00,98.09,85159.48,8353293.00,在售,住宅
G栋3单元32层01号房,86.30,61368.00,64.87,81641.10,5296058.00,在售,住宅
G栋3单元31层04号房,78.08,60534.00,58.69,80533.23,4726495.00,在售,住宅
G栋3单元31层03号房,78.08,60911.00,58.69,81034.78,4755931.00,在售,住宅
G栋3单元31层02号房,130.51,63925.00,98.09,85053.03,8342852.00,在售,住宅
G栋3单元31层01号房,86.30,61288.00,64.87,81534.67,5289154.00,在售,住宅
G栋3单元30层04号房,78.08,60454.00,58.69,80426.78,4720248.00,在售,住宅
G栋3单元30层03号房,78.08,60831.00,58.69,80928.34,4749684.00,在售,住宅
G栋3单元30层02号房,130.51,63845.00,98.09,84946.59,8332411.00,在售,住宅
G栋3单元30层01号房,86.30,61208.00,64.87,81428.24,5282250.00,在售,住宅
G栋3单元29层04号房,78.08,60374.00,58.69,80320.36,4714002.00,在售,住宅
G栋3单元29层03号房,78.08,60751.00,58.69,80821.91,4743438.00,在售,住宅
G栋3单元29层02号房,130.51,63765.00,98.09,84840.15,8321970.00,在售,住宅
G栋3单元29层01号房,86.30,61128.00,64.87,81321.81,5275346.00,在售,住宅
G栋3单元28层04号房,78.08,60294.00,58.69,80213.94,4707756.00,在售,住宅
G栋3单元28层03号房,78.08,60671.00,58.69,80715.49,4737192.00,在售,住宅
G栋3单元28层02号房,130.51,63685.00,98.09,84733.70,8311529.00,在售,住宅
G栋3单元28层01号房,86.30,61048.00,64.87,81215.38,5268442.00,在售,住宅
G栋3单元27层04号房,78.08,60214.00,58.69,80107.50,4701509.00,在售,住宅
G栋3单元27层03号房,78.08,60591.00,58.69,80609.05,4730945.00,在售,住宅
G栋3单元27层02号房,130.51,63605.00,98.09,84627.27,8301089.00,在售,住宅
G栋3单元27层01号房,86.30,60968.00,64.87,81108.96,5261538.00,在售,住宅
G栋3单元26层04号房,78.08,60134.00,58.69,80001.07,4695263.00,在售,住宅
G栋3单元26层03号房,78.08,60511.00,58.69,80502.62,4724699.00,在售,住宅
G栋3单元26层02号房,130.51,63525.00,98.09,84520.83,8290648.00,在售,住宅
G栋3单元26层01号房,86.30,60888.00,64.87,81002.53,5254634.00,在售,住宅
G栋3单元25层04号房,78.08,60054.00,58.69,79894.63,4689016.00,在售,住宅
G栋3单元25层03号房,78.08,60431.00,58.69,80396.18,4718452.00,在售,住宅
G栋3单元25层02号房,130.51,63445.00,98.09,84414.38,8280207.00,在售,住宅
G栋3单元25层01号房,86.30,60808.00,64.87,80896.10,5247730.00,在售,住宅
G栋3单元24层04号房,78.08,59974.00,58.69,79788.21,4682770.00,在售,住宅
G栋3单元24层03号房,78.08,60351.00,58.69,80289.76,4712206.00,在售,住宅
G栋3单元24层02号房,130.51,63365.00,98.09,84307.94,8269766.00,在售,住宅
G栋3单元24层01号房,86.30,60728.00,64.87,80789.67,5240826.00,在售,住宅
G栋3单元23层04号房,78.08,59894.00,58.69,79681.79,4676524.00,在售,住宅
G栋3单元23层03号房,78.08,60271.00,58.69,80183.34,4705960.00,在售,住宅
G栋3单元23层02号房,130.51,63285.00,98.09,84201.50,8259325.00,在售,住宅
G栋3单元23层01号房,86.30,60648.00,64.87,80683.24,5233922.00,在售,住宅
G栋3单元22层04号房,78.08,59814.00,58.69,79575.35,4670277.00,在售,住宅
G栋3单元22层03号房,78.08,60191.00,58.69,80076.90,4699713.00,在售,住宅
G栋3单元22层02号房,130.51,63205.00,98.09,84095.07,8248885.00,在售,住宅
G栋3单元22层01号房,86.30,60568.00,64.87,80576.82,5227018.00,在售,住宅
G栋3单元21层04号房,78.08,59734.00,58.69,79468.92,4664031.00,在售,住宅
G栋3单元21层03号房,78.08,60111.00,58.69,79970.47,4693467.00,在售,住宅
G栋3单元21层02号房,130.51,63125.00,98.09,83988.62,8238444.00,在售,住宅
G栋3单元21层01号房,86.30,60488.00,64.87,80470.39,5220114.00,在售,住宅
G栋3单元20层04号房,78.08,59654.00,58.69,79362.48,4657784.00,在售,住宅
G栋3单元20层03号房,78.08,60031.00,58.69,79864.03,4687220.00,在售,住宅
G栋3单元20层02号房,130.51,63045.00,98.09,83882.18,8228003.00,在售,住宅
G栋3单元20层01号房,86.30,60408.00,64.87,80363.96,5213210.00,在售,住宅
G栋3单元19层04号房,78.08,59574.00,58.69,79256.06,4651538.00,在售,住宅
G栋3单元19层03号房,78.08,59951.00,58.69,79757.61,4680974.00,在售,住宅
G栋3单元19层02号房,130.51,62965.00,98.09,83775.74,8217562.00,在售,住宅
G栋3单元19层01号房,86.30,60328.00,64.87,80257.53,5206306.00,在售,住宅
G栋3单元18层04号房,78.08,59494.00,58.69,79149.63,4645292.00,在售,住宅
G栋3单元18层03号房,78.08,59871.00,58.69,79651.18,4674728.00,在售,住宅
G栋3单元18层02号房,130.51,62885.00,98.09,83669.29,8207121.00,在售,住宅
G栋3单元18层01号房,86.30,60248.00,64.87,80151.10,5199402.00,在售,住宅
G栋3单元17层04号房,78.08,59414.00,58.69,79043.19,4639045.00,在售,住宅
G栋3单元17层03号房,78.08,59791.00,58.69,79544.74,4668481.00,在售,住宅
G栋3单元17层02号房,130.51,62805.00,98.09,83562.86,8196681.00,在售,住宅
G栋3单元17层01号房,86.30,60168.00,64.87,80044.67,5192498.00,在售,住宅
G栋3单元16层04号房,78.08,59334.00,58.69,78936.77,4632799.00,在售,住宅
G栋3单元16层03号房,78.08,59711.00,58.69,79438.32,4662235.00,在售,住宅
