房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
裙楼350,62.42,80000.00,31.51,158476.67,4993600.00,在售,商业
裙楼349,82.58,80000.00,41.69,158464.85,6606400.00,在售,商业
裙楼348,121.81,80000.00,61.49,158477.80,9744800.00,在售,商业
裙楼347,137.95,80000.00,69.64,158472.14,11036000.00,在售,商业
裙楼346,71.25,80000.00,35.97,158465.38,5700000.00,在售,商业
裙楼345,71.69,80000.00,36.19,158474.71,5735200.00,在售,商业
裙楼344,75.39,80000.00,38.06,158465.58,6031200.00,在售,商业
裙楼343,1050.90,80000.00,530.51,158473.92,84072000.00,在售,商业
裙楼342,139.56,80000.00,70.45,158478.35,11164800.00,在售,商业
裙楼341,51.96,80000.00,26.23,158475.02,4156800.00,在售,商业
裙楼340,49.04,80000.00,24.75,158513.13,3923200.00,在售,商业
裙楼339,57.69,80000.00,29.12,158489.01,4615200.00,在售,商业
裙楼338,79.62,80000.00,40.20,158447.76,6369600.00,在售,商业
裙楼337,54.42,80000.00,27.47,158485.62,4353600.00,在售,商业
裙楼336,73.65,80000.00,37.18,158472.29,5892000.00,在售,商业
裙楼335,36.95,80000.00,18.65,158498.65,2956000.00,在售,商业
裙楼334,39.21,80000.00,19.79,158504.29,3136800.00,在售,商业
裙楼333,59.19,80000.00,29.88,158473.89,4735200.00,在售,商业
裙楼332,82.50,80000.00,41.65,158463.38,6600000.00,在售,商业
裙楼331,82.03,80000.00,41.41,158473.79,6562400.00,在售,商业
裙楼330,81.43,80000.00,41.11,158462.66,6514400.00,在售,商业
裙楼329,77.33,80000.00,39.04,158463.11,6186400.00,在售,商业
裙楼328,127.07,80000.00,64.15,158466.09,10165600.00,在售,商业
裙楼327,32.24,80000.00,16.28,158427.51,2579200.00,在售,商业
裙楼326,31.93,80000.00,16.12,158461.53,2554400.00,在售,商业
裙楼325,34.94,80000.00,17.64,158458.04,2795200.00,在售,商业
裙楼324,45.02,80000.00,22.73,158451.38,3601600.00,在售,商业
裙楼323,18.28,80000.00,9.23,158439.86,1462400.00,在售,商业
裙楼322,28.41,80000.00,14.34,158493.72,2272800.00,在售,商业
裙楼321,37.10,80000.00,18.73,158462.35,2968000.00,在售,商业
裙楼320,24.44,80000.00,12.34,158444.08,1955200.00,在售,商业
裙楼319,30.51,80000.00,15.40,158493.50,2440800.00,在售,商业
裙楼318,40.97,80000.00,20.68,158491.29,3277600.00,在售,商业
裙楼317,29.63,80000.00,14.96,158449.19,2370400.00,在售,商业
裙楼316,31.29,80000.00,15.80,158430.37,2503200.00,在售,商业
裙楼315,51.30,80000.00,25.90,158455.59,4104000.00,在售,商业
裙楼314,36.18,80000.00,18.27,158423.64,2894400.00,在售,商业
裙楼313,41.18,80000.00,20.79,158460.79,3294400.00,在售,商业
裙楼312,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼311,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼310,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼309,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼308,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼307,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼306,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼305,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼304,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼303,42.65,80000.00,21.53,158476.54,3412000.00,在售,商业
裙楼278,34.94,100000.00,17.64,198072.56,3494000.00,在售,商业
裙楼277,30.90,100000.00,15.60,198076.92,3090000.00,在售,商业
裙楼276,31.20,100000.00,15.75,198095.23,3120000.00,在售,商业
裙楼275,126.43,100000.00,63.82,198104.04,12643000.00,在售,商业
裙楼274,77.97,100000.00,39.36,198094.51,7797000.00,在售,商业
裙楼273,80.49,100000.00,40.63,198104.84,8049000.00,在售,商业
裙楼272,81.51,100000.00,41.15,198080.19,8151000.00,在售,商业
裙楼271,83.86,100000.00,42.33,198110.08,8386000.00,在售,商业
裙楼270,92.63,100000.00,46.76,198096.66,9263000.00,在售,商业
裙楼269,52.44,100000.00,26.47,198111.06,5244000.00,在售,商业
裙楼268,56.34,100000.00,28.44,198101.26,5634000.00,在售,商业
裙楼267,54.42,100000.00,27.47,198107.02,5442000.00,在售,商业
裙楼266,36.95,100000.00,18.65,198123.32,3695000.00,在售,商业
裙楼265,39.21,100000.00,19.79,198130.36,3921000.00,在售,商业
裙楼264,73.65,100000.00,37.18,198090.37,7365000.00,在售,商业
裙楼263,52.43,100000.00,26.47,198073.29,5243000.00,在售,商业
裙楼262,34.05,100000.00,17.19,198080.27,3405000.00,在售,商业
裙楼261,58.59,100000.00,29.58,198073.02,5859000.00,在售,商业
裙楼260,77.20,100000.00,38.97,198101.10,7720000.00,在售,商业
裙楼259,69.85,100000.00,35.26,198099.82,6985000.00,在售,商业
裙楼258,69.85,100000.00,35.26,198099.82,6985000.00,在售,商业
裙楼257,72.71,100000.00,36.71,198065.92,7271000.00,在售,商业
裙楼256,72.33,100000.00,36.51,198110.10,7233000.00,在售,商业
裙楼255,95.98,100000.00,48.45,198101.13,9598000.00,在售,商业
裙楼254,81.62,100000.00,41.21,198058.72,8162000.00,在售,商业
裙楼253,81.62,100000.00,41.20,198106.79,8162000.00,在售,商业
裙楼252,81.62,100000.00,41.20,198106.79,8162000.00,在售,商业
裙楼251,81.62,100000.00,41.20,198106.79,8162000.00,在售,商业
裙楼250,81.62,100000.00,41.20,198106.79,8162000.00,在售,商业
裙楼249,60.10,100000.00,30.34,198088.33,6010000.00,在售,商业
裙楼248,45.64,100000.00,23.04,198090.27,4564000.00,在售,商业
裙楼247,46.36,100000.00,23.40,198119.65,4636000.00,在售,商业
裙楼246,29.15,100000.00,14.71,198164.51,2915000.00,在售,商业
裙楼245,26.86,100000.00,13.56,198082.59,2686000.00,在售,商业
裙楼244,36.08,100000.00,18.21,198132.89,3608000.00,在售,商业
裙楼243,24.35,100000.00,12.29,198128.55,2435000.00,在售,商业
裙楼242,31.29,100000.00,15.80,198037.97,3129000.00,在售,商业
裙楼241,40.97,100000.00,20.68,198114.11,4097000.00,在售,商业
