房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2015,149.70,27487.50,101.28,40628.73,4114878.75,在售,办公
2014,125.61,29987.50,84.98,44324.89,3766729.87,在售,办公
2013,115.74,29112.50,78.30,43032.95,3369480.75,在售,办公
2012,57.87,29612.50,39.15,43772.04,1713675.37,在售,办公
2011,57.87,29112.50,39.15,43032.95,1684740.37,在售,办公
2010,115.74,29112.50,78.30,43032.95,3369480.75,在售,办公
2009,216.06,29987.50,146.17,44325.77,6479099.25,在售,办公
2008,134.80,28237.50,91.20,41737.00,3806415.00,在售,办公
2007,91.30,28487.50,61.77,42106.34,2600908.75,在售,办公
2006,57.87,27550.00,39.15,40723.33,1594318.50,在售,办公
2005,63.01,27050.00,42.63,39981.71,1704420.50,在售,办公
2004,38.79,26800.00,26.24,39617.83,1039572.00,在售,办公
2003,38.79,27050.00,26.24,39987.40,1049269.50,在售,办公
2002,120.88,28550.00,81.78,42200.09,3451124.00,在售,办公
2001,216.06,29425.00,146.17,43494.32,6357565.50,在售,办公
