房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
中洲滨海华府一期D座50S,90.91,92024.42,65.07,128568.31,8365940.00,在售,住宅
中洲滨海华府一期D座49S,89.73,94050.76,64.54,130758.83,8439175.00,在售,住宅
中洲滨海华府一期D座48S,89.73,94050.76,64.54,130758.83,8439175.00,在售,住宅
中洲滨海华府一期D座47S,89.73,94050.76,64.54,130758.83,8439175.00,在售,住宅
中洲滨海华府一期D座46S,89.73,93594.84,64.54,130124.96,8398265.00,在售,住宅
中洲滨海华府一期D座45S,89.73,93594.84,64.54,130124.96,8398265.00,在售,住宅
中洲滨海华府一期D座44S,89.73,93594.84,64.54,130124.96,8398265.00,在售,住宅
中洲滨海华府一期D座43S,89.73,93594.84,64.54,130124.96,8398265.00,在售,住宅
中洲滨海华府一期D座42S,89.73,93594.84,64.54,130124.96,8398265.00,在售,住宅
中洲滨海华府一期D座41S,89.73,93594.84,64.54,130124.96,8398265.00,在售,住宅
中洲滨海华府一期D座40S,89.73,93594.84,64.54,130124.96,8398265.00,在售,住宅
中洲滨海华府一期D座39S,89.73,93442.86,64.54,129913.67,8384628.00,在售,住宅
中洲滨海华府一期D座38S,89.73,93290.88,64.54,129702.37,8370991.00,在售,住宅
中洲滨海华府一期D座37S,89.73,93138.92,64.54,129491.09,8357355.00,在售,住宅
中洲滨海华府一期D座36S,89.73,92986.94,64.54,129279.80,8343718.00,在售,住宅
中洲滨海华府一期D座35S,89.73,92834.96,64.54,129068.50,8330081.00,在售,住宅
中洲滨海华府一期D座34S,89.73,92682.98,64.54,128857.20,8316444.00,在售,住宅
中洲滨海华府一期D座32S,89.10,91213.88,64.10,126788.72,8127157.00,在售,住宅
中洲滨海华府一期D座31S,89.10,91112.57,64.10,126647.89,8118130.00,在售,住宅
中洲滨海华府一期D座30S,89.10,91011.26,64.10,126507.07,8109103.00,在售,住宅
中洲滨海华府一期D座29S,89.10,90909.93,64.10,126366.22,8100075.00,在售,住宅
中洲滨海华府一期D座28S,89.10,90808.62,64.10,126225.40,8091048.00,在售,住宅
中洲滨海华府一期D座27S,89.10,90707.30,64.10,126084.56,8082020.00,在售,住宅
中洲滨海华府一期D座26S,89.10,90605.98,64.10,125943.73,8072993.00,在售,住宅
中洲滨海华府一期D座25S,89.10,90504.67,64.10,125802.90,8063966.00,在售,住宅
中洲滨海华府一期D座24S,89.10,90403.34,64.10,125662.06,8054938.00,在售,住宅
中洲滨海华府一期D座23S,89.10,90302.03,64.10,125521.23,8045911.00,在售,住宅
中洲滨海华府一期D座22S,89.10,90200.72,64.10,125380.41,8036884.00,在售,住宅
中洲滨海华府一期D座21S,89.10,90099.39,64.10,125239.56,8027856.00,在售,住宅
中洲滨海华府一期D座20S,89.10,89998.08,64.10,125098.74,8018829.00,在售,住宅
中洲滨海华府一期D座19S,89.10,89896.77,64.10,124957.91,8009802.00,在售,住宅
中洲滨海华府一期D座18S,89.10,89795.44,64.10,124817.07,8000774.00,在售,住宅
中洲滨海华府一期D座17S,89.10,89694.13,64.10,124676.24,7991747.00,在售,住宅
中洲滨海华府一期D座16S,89.10,89592.82,64.10,124535.41,7982720.00,在售,住宅
中洲滨海华府一期D座14S,88.95,85793.42,63.99,119258.09,7631325.00,在售,住宅
中洲滨海华府一期D座13S,88.95,85692.11,63.99,119117.25,7622313.00,在售,住宅
中洲滨海华府一期D座12S,88.95,85590.78,63.99,118976.40,7613300.00,在售,住宅
中洲滨海华府一期D座11S,88.95,85489.47,63.99,118835.57,7604288.00,在售,住宅
中洲滨海华府一期D座10S,88.95,85438.81,63.99,118765.15,7599782.00,在售,住宅
中洲滨海华府一期D座09S,88.95,85388.15,63.99,118694.73,7595276.00,在售,住宅
中洲滨海华府一期D座08S,88.95,85337.49,63.99,118624.32,7590770.00,在售,住宅
中洲滨海华府一期D座07S,88.95,82601.93,63.99,114821.72,7347442.00,在售,住宅
中洲滨海华府一期D座06S,88.95,82551.28,63.99,114751.30,7342936.00,在售,住宅
中洲滨海华府一期D座06R,142.08,90997.07,102.21,126493.13,12928863.00,在售,住宅
中洲滨海华府一期D座05S,88.95,82500.62,63.99,114680.89,7338430.00,在售,住宅
中洲滨海华府一期D座05R,142.08,90895.75,102.21,126352.29,12914468.00,在售,住宅
中洲滨海华府一期D座04S,88.95,82449.95,63.99,114610.45,7333923.00,在售,住宅
中洲滨海华府一期D座04R,142.08,90794.43,102.21,126211.46,12900073.00,在售,住宅
中洲滨海华府一期C座46Q,127.62,93985.92,89.90,133420.28,11994483.00,在售,住宅
中洲滨海华府一期C座46P,88.82,91452.99,62.56,129841.03,8122855.00,在售,住宅
