房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋商业41,64.43,45619.00,60.05,48947.00,2939267.00,在售,商铺
1栋商业40,58.95,45619.77,54.94,48949.00,2689285.00,在售,商铺
1栋商业39,38.45,38002.58,35.83,40781.00,1461199.00,在售,商铺
1栋商业38,52.25,45670.13,48.70,48999.00,2386264.00,在售,商铺
1栋商业37,62.44,46164.42,58.19,49536.00,2882506.00,在售,商铺
1栋商业36,42.21,51816.40,39.34,55596.00,2187170.00,在售,商铺
1栋商业35,48.12,52570.91,44.85,56403.00,2529712.00,在售,商铺
1栋商业34,49.97,52570.93,46.58,56396.00,2626969.00,在售,商铺
1栋商业33,49.97,53107.37,46.58,56972.00,2653775.00,在售,商铺
1栋商业32,49.97,53107.37,46.57,56984.00,2653775.00,在售,商铺
1栋商业31,41.63,60631.11,38.80,65053.00,2524073.00,在售,商铺
1栋商业30,38.77,61771.96,36.14,66267.00,2394898.00,在售,商铺
1栋商业29,47.91,56660.26,44.66,60783.00,2714593.00,在售,商铺
1栋商业28,80.28,101653.89,74.82,109072.00,8160774.00,在售,商铺
1栋商业27,75.93,101594.62,70.76,109017.00,7714079.00,在售,商铺
1栋商业26,15.76,194764.66,14.69,208951.00,3069491.00,在售,商铺
1栋商业25,51.51,85639.64,48.00,91902.00,4411297.00,在售,商铺
1栋商业24,64.13,92610.85,59.77,99366.00,5939133.00,在售,商铺
1栋商业23,76.52,95709.17,71.31,102701.00,7323665.00,在售,商铺
1栋商业22,55.10,102935.16,51.35,110452.00,5671727.00,在售,商铺
1栋商业21,62.77,97584.85,58.50,104707.00,6125401.00,在售,商铺
1栋商业20,65.99,101905.79,61.50,109345.00,6724763.00,在售,商铺
1栋商业19,64.38,102935.15,60.00,110449.00,6626964.00,在售,商铺
1栋商业18,66.79,100886.73,62.25,108244.00,6738224.00,在售,商铺
1栋商业17,63.57,102935.15,59.25,110440.00,6543587.00,在售,商铺
1栋商业16,39.77,104644.38,37.07,112266.00,4161706.00,在售,商铺
1栋商业15,39.12,99506.34,36.46,106765.00,3892688.00,在售,商铺
1栋商业14,88.16,58965.44,82.16,63271.00,5198393.00,在售,商铺
1栋商业13,13.04,117009.51,12.16,125477.00,1525804.00,在售,商铺
1栋商业12,13.03,195656.52,12.14,210000.00,2549404.00,在售,商铺
