房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋6311,43.33,150000.00,24.85,261549.29,6499500.00,在售,预售
5栋6310,75.40,150000.00,43.24,261563.36,11310000.00,在售,预售
5栋6309,60.52,150000.00,34.71,261538.46,9078000.00,在售,预售
5栋6308,105.26,150000.00,60.37,261537.18,15789000.00,在售,预售
5栋6307,29.87,150000.00,17.13,261558.66,4480500.00,在售,预售
5栋6306,74.52,150000.00,42.74,261534.86,11178000.00,在售,预售
5栋6305,72.88,150000.00,41.80,261531.10,10932000.00,在售,预售
5栋6304,76.52,150000.00,43.89,261517.42,11478000.00,在售,预售
5栋6303,71.06,150000.00,40.76,261506.37,10659000.00,在售,预售
5栋6302,55.85,150000.00,32.03,261551.67,8377500.00,在售,预售
5栋6301,95.13,150000.00,54.56,261537.75,14269500.00,在售,预售
5栋5390,124.02,100000.00,71.13,174356.81,12402000.00,在售,预售
5栋5389,83.41,100000.00,47.84,174352.00,8341000.00,在售,预售
5栋5388,72.79,100000.00,41.75,174347.30,7279000.00,在售,预售
5栋5387,29.72,100000.00,17.04,174413.14,2972000.00,在售,预售
5栋5386,63.97,100000.00,36.69,174352.68,6397000.00,在售,预售
5栋5385,32.19,100000.00,18.46,174377.03,3219000.00,在售,预售
5栋5384,38.72,100000.00,22.21,174335.88,3872000.00,在售,预售
5栋5383,72.86,100000.00,41.79,174347.93,7286000.00,在售,预售
5栋5382,88.30,100000.00,50.65,174333.66,8830000.00,在售,预售
5栋5381,73.03,100000.00,41.89,174337.55,7303000.00,在售,预售
5栋5380,69.60,100000.00,39.92,174348.69,6960000.00,在售,预售
5栋5379,43.02,100000.00,24.67,174381.84,4302000.00,在售,预售
5栋5378,39.42,100000.00,22.61,174347.63,3942000.00,在售,预售
5栋5377,65.23,100000.00,37.41,174365.14,6523000.00,在售,预售
5栋5376,60.40,100000.00,34.64,174364.89,6040000.00,在售,预售
5栋5375,55.48,100000.00,31.82,174355.75,5548000.00,在售,预售
5栋5374,59.21,100000.00,33.96,174352.17,5921000.00,在售,预售
5栋5373,76.43,100000.00,43.83,174378.27,7643000.00,在售,预售
5栋5372,62.07,100000.00,35.60,174353.93,6207000.00,在售,预售
5栋5371,132.06,100000.00,75.74,174359.65,13206000.00,在售,预售
5栋5370,33.80,100000.00,19.39,174316.65,3380000.00,在售,预售
5栋5369,66.60,100000.00,38.20,174345.54,6660000.00,在售,预售
5栋5368,50.11,100000.00,28.74,174356.29,5011000.00,在售,预售
5栋5367,73.36,100000.00,42.07,174376.03,7336000.00,在售,预售
