房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
6栋22,32.43,99471.11,31.47,102505.50,3225848.10,在售,商业
6栋21,44.20,90397.42,42.89,93158.45,3995565.96,在售,商业
6栋20,48.27,94372.20,46.83,97274.10,4555346.09,在售,商业
6栋18,38.59,134749.94,37.45,138851.80,5200000.00,在售,商业
6栋17,42.01,178897.65,40.76,184383.97,7515490.00,在售,商业
6栋16,33.31,160612.43,32.32,165532.18,5350000.00,在售,商业
6栋15,42.00,133936.76,40.76,138011.38,5625344.00,在售,商业
6栋14,48.13,124929.06,46.70,128754.52,6012836.00,在售,商业
6栋13,48.23,124929.06,46.80,128746.34,6025329.00,在售,商业
6栋12,47.89,124929.06,46.47,128746.57,5982853.00,在售,商业
,76.00,97202.85,7387417.00,在售,住宅
5栋B座13D,94.49,77681.99,76.00,96581.21,7340172.00,在售,住宅
5栋B座12D,94.49,77181.99,76.00,95959.56,7292927.00,在售,住宅
5栋B座10D,94.49,76181.99,76.00,94716.27,7198437.00,在售,住宅
5栋B座8D,94.49,75181.99,76.00,93472.98,7103947.00,在售,住宅
5栋B座7D,94.49,74681.99,76.00,92851.34,7056702.00,在售,住宅
5栋B座6D,94.49,74181.99,76.00,92229.69,7009457.00,在售,住宅
5栋B座5D,94.49,73681.99,76.00,91608.05,6962212.00,在售,住宅
5栋B座4D,94.49,73181.99,76.00,90986.40,6914967.00,在售,住宅
5栋B座3D,94.49,72681.99,76.00,90364.76,6867722.00,在售,住宅
5栋B座2D,94.49,71681.99,76.00,89121.47,6773232.00,在售,住宅
5栋B座6B,110.94,82720.00,89.23,102846.09,9176957.00,在售,住宅
5栋B座5B,110.94,81720.00,89.23,101602.79,9066017.00,在售,住宅
5栋B座4B,110.94,80720.00,89.23,100359.48,8955077.00,在售,住宅
5栋B座3B,110.94,79720.00,89.23,99116.18,8844137.00,在售,住宅
5栋B座2B,110.94,77220.00,89.23,96007.92,8566787.00,在售,住宅
5栋B座2A,110.94,77420.00,89.23,96256.58,8588975.00,在售,住宅
5栋A座3A,100.75,81376.00,80.53,101808.41,8198632.00,在售,住宅
5栋A座3C,121.04,81396.00,96.74,101841.76,9852172.00,在售,住宅
5栋A座2D,101.00,74423.00,80.73,93109.41,7516723.00,在售,住宅
5栋A座2C,121.04,77896.00,96.74,97462.60,9428532.00,在售,住宅
5栋A座2B,100.75,78676.00,80.52,98442.70,7926607.00,在售,住宅
5栋A座2A,100.75,78876.00,80.53,98680.70,7946757.00,在售,住宅
4栋2C,180.54,83814.99,150.64,100451.14,15131960.00,在售,住宅
3栋3B,110.25,81875.00,90.47,99775.82,9026719.00,在售,住宅
3栋2B,110.25,79475.00,90.47,96851.09,8762119.00,在售,住宅
2栋4D,130.52,82011.99,106.71,100311.17,10704206.00,在售,住宅
2栋2D,130.52,79011.99,106.71,96641.79,10312646.00,在售,住宅
2栋2C,161.23,81512.00,131.81,99705.48,13142180.00,在售,住宅
2栋2A,99.93,82374.00,81.70,100754.39,8231634.00,在售,住宅
1栋3C,120.13,80407.99,97.41,99162.43,9659413.00,在售,住宅
