房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3-2705,84.24,76555.55,63.80,101082.13,6449040.00,在售,未销售
3-2704,84.24,76444.44,63.80,100935.42,6439680.00,在售,未销售
3-2703,84.24,73222.22,63.81,96665.72,6168240.00,在售,未销售
3-2702,84.23,73555.55,63.80,97109.46,6195584.00,在售,未销售
3-2701,83.89,77666.67,63.54,102541.02,6515457.00,在售,未销售
3-2605,84.24,76555.55,63.80,101082.13,6449040.00,在售,未销售
3-2604,84.24,76444.44,63.80,100935.42,6439680.00,在售,未销售
3-2603,84.24,73222.22,63.81,96665.72,6168240.00,在售,未销售
3-2602,84.23,73555.55,63.80,97109.46,6195584.00,在售,未销售
3-2601,83.89,77666.67,63.54,102541.02,6515457.00,在售,未销售
3-2505,84.24,76333.33,63.80,100788.71,6430320.00,在售,未销售
3-2504,84.24,76222.22,63.80,100642.00,6420960.00,在售,未销售
3-2503,84.24,73000.00,63.81,96372.35,6149520.00,在售,未销售
3-2502,84.23,73333.33,63.80,96816.09,6176867.00,在售,未销售
3-2501,83.89,77444.43,63.54,102247.62,6496814.00,在售,未销售
3-2405,84.24,76111.11,63.80,100495.29,6411600.00,在售,未销售
3-2404,84.24,76000.00,63.80,100348.58,6402240.00,在售,未销售
3-2403,84.24,72777.77,63.81,96078.98,6130800.00,在售,未销售
3-2402,84.23,73111.11,63.80,96522.71,6158149.00,在售,未销售
3-2401,83.89,77222.21,63.54,101954.23,6478172.00,在售,未销售
3-2305,84.24,75888.88,63.80,100201.88,6392880.00,在售,未销售
3-2304,84.24,75777.77,63.80,100055.17,6383520.00,在售,未销售
3-2303,84.24,72555.55,63.81,95785.61,6112080.00,在售,未销售
3-2302,84.23,72888.88,63.80,96229.32,6139431.00,在售,未销售
3-2301,83.89,77000.00,63.54,101660.84,6459530.00,在售,未销售
3-2205,84.24,75666.66,63.80,99908.46,6374160.00,在售,未销售
3-2204,84.24,75555.55,63.80,99761.75,6364800.00,在售,未销售
3-2203,84.24,72333.33,63.81,95492.24,6093360.00,在售,未销售
3-2202,84.23,72666.66,63.80,95935.94,6120713.00,在售,未销售
3-2201,83.89,76777.78,63.54,101367.45,6440888.00,在售,未销售
3-2105,84.24,75444.44,63.80,99615.04,6355440.00,在售,未销售
3-2104,84.24,75333.33,63.80,99468.33,6346080.00,在售,未销售
3-2103,84.24,72111.11,63.81,95198.87,6074640.00,在售,未销售
3-2102,84.23,72444.44,63.80,95642.57,6101996.00,在售,未销售
3-2101,83.89,76555.56,63.54,101074.06,6422246.00,在售,未销售
3-2005,84.24,75222.22,63.80,99321.63,6336720.00,在售,未销售
3-2004,84.24,75111.11,63.80,99174.92,6327360.00,在售,未销售
3-2003,84.24,71888.88,63.81,94905.50,6055920.00,在售,未销售
3-2002,84.23,72222.22,63.80,95349.18,6083278.00,在售,未销售
3-2001,83.89,76333.32,63.54,100780.65,6403603.00,在售,未销售
3-1905,84.24,75000.00,63.80,99028.21,6318000.00,在售,未销售
3-1904,84.24,74888.88,63.80,98881.50,6308640.00,在售,未销售
3-1903,84.24,71666.66,63.81,94612.12,6037200.00,在售,未销售
3-1902,84.23,72000.00,63.80,95055.79,6064560.00,在售,未销售
3-1901,83.89,76111.10,63.54,100487.26,6384961.00,在售,未销售
3-1805,84.24,74777.77,63.80,98734.79,6299280.00,在售,未销售
3-1804,84.24,74666.66,63.80,98588.08,6289920.00,在售,未销售
3-1803,84.24,71444.44,63.81,94318.75,6018480.00,在售,未销售
3-1802,84.23,71777.77,63.80,94762.41,6045842.00,在售,未销售
3-1801,83.89,75888.89,63.54,100193.87,6366319.00,在售,未销售
3-1705,84.24,74555.55,63.80,98441.37,6280560.00,在售,未销售
3-1704,84.24,74444.44,63.80,98294.67,6271200.00,在售,未销售
3-1703,84.24,71222.22,63.81,94025.38,5999760.00,在售,未销售
3-1702,84.23,71555.55,63.80,94469.02,6027124.00,在售,未销售
3-1701,83.89,75666.67,63.54,99900.48,6347677.00,在售,未销售
3-1605,84.24,74333.33,63.80,98147.96,6261840.00,在售,未销售
3-1604,84.24,74222.22,63.80,98001.25,6252480.00,在售,未销售
3-1603,84.24,71000.00,63.81,93732.01,5981040.00,在售,未销售
3-1602,84.23,71333.33,63.80,94175.65,6008407.00,在售,未销售
3-1601,83.89,75444.43,63.54,99607.08,6329034.00,在售,未销售
3-1505,84.24,74111.11,63.80,97854.54,6243120.00,在售,未销售
3-1504,84.24,74000.00,63.80,97707.83,6233760.00,在售,未销售
3-1503,84.24,70777.77,63.81,93438.64,5962320.00,在售,未销售
3-1502,84.23,71111.11,63.80,93882.27,5989689.00,在售,未销售
3-1501,83.89,75222.21,63.54,99313.69,6310392.00,在售,未销售
3-1405,84.24,73888.88,63.80,97561.12,6224400.00,在售,未销售
3-1404,84.24,73777.77,63.80,97414.42,6215040.00,在售,未销售
3-1403,84.24,70555.55,63.81,93145.27,5943600.00,在售,未销售
3-1402,84.23,70888.88,63.80,93588.88,5970971.00,在售,未销售
3-1401,83.89,75000.00,63.54,99020.30,6291750.00,在售,未销售
3-1305,84.24,73666.66,63.80,97267.71,6205680.00,在售,未销售
3-1304,84.24,73555.55,63.80,97121.00,6196320.00,在售,未销售
3-1303,84.24,70333.33,63.81,92851.90,5924880.00,在售,未销售
3-1302,84.23,70666.66,63.80,93295.50,5952253.00,在售,未销售
3-1301,83.89,74777.78,63.54,98726.91,6273108.00,在售,未销售
3-1205,84.24,73444.44,63.80,96974.29,6186960.00,在售,未销售
3-1204,84.24,73333.33,63.80,96827.58,6177600.00,在售,未销售
3-1203,84.24,70111.11,63.81,92558.53,5906160.00,在售,未销售
3-1202,84.23,70444.44,63.80,93002.13,5933536.00,在售,未销售
3-1201,83.89,74555.56,63.54,98433.52,6254466.00,在售,未销售
3-1105,84.24,73222.22,63.80,96680.87,6168240.00,在售,未销售
3-1104,84.24,73111.11,63.80,96534.16,6158880.00,在售,未销售
3-1103,84.24,69888.88,63.81,92265.16,5887440.00,在售,未销售
3-1102,84.23,70222.22,63.80,92708.74,5914818.00,在售,未销售
3-1101,83.89,74333.32,63.54,98140.11,6235823.00,在售,未销售
3-1005,84.24,73000.00,63.80,96387.46,6149520.00,在售,未销售
3-1004,84.24,72888.88,63.80,96240.75,6140160.00,在售,未销售
3-1003,84.24,69666.66,63.81,91971.79,5868720.00,在售,未销售
3-1002,84.23,70000.00,63.80,92415.36,5896100.00,在售,未销售
3-1001,83.89,74111.10,63.54,97846.72,6217181.00,在售,未销售
3-905,84.24,72666.66,63.80,95947.33,6121440.00,在售,未销售
3-904,84.24,72555.55,63.80,95800.62,6112080.00,在售,未销售
3-903,84.24,69333.33,63.81,91531.73,5840640.00,在售,未销售
3-902,84.23,69666.66,63.80,91975.28,5868023.00,在售,未销售
3-901,83.89,73777.78,63.54,97406.64,6189218.00,在售,未销售
3-805,84.24,72333.33,63.80,95507.21,6093360.00,在售,未销售
3-804,84.24,72222.22,63.80,95360.50,6084000.00,在售,未销售
3-803,84.24,69000.00,63.81,91091.67,5812560.00,在售,未销售
3-802,84.23,69333.33,63.80,91535.21,5839947.00,在售,未销售
3-801,83.89,73444.43,63.54,96966.54,6161254.00,在售,未销售
3-705,84.24,72000.00,63.80,95067.08,6065280.00,在售,未销售
3-704,84.24,71888.88,63.80,94920.37,6055920.00,在售,未销售
3-703,84.24,68777.77,63.81,90798.30,5793840.00,在售,未销售
3-702,84.23,69000.00,63.80,91095.14,5811870.00,在售,未销售
3-701,83.89,73111.10,63.54,96526.45,6133291.00,在售,未销售
3-605,84.24,71666.66,63.80,94626.95,6037200.00,在售,未销售
3-604,84.24,71555.55,63.80,94480.25,6027840.00,在售,未销售
3-603,84.24,68444.44,63.81,90358.25,5765760.00,在售,未销售
3-602,84.23,68666.66,63.80,90655.06,5783793.00,在售,未销售
3-601,83.89,72777.78,63.54,96086.37,6105328.00,在售,未销售
3-505,84.24,71333.33,63.80,94186.83,6009120.00,在售,未销售
3-504,84.24,71222.22,63.80,94040.12,5999760.00,在售,未销售
3-503,84.24,68111.11,63.81,89918.19,5737680.00,在售,未销售
