房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
8栋110,80.28,120000.00,77.83,123777.46,9633600.00,在售,商业
8栋109,102.51,120000.00,99.38,123779.43,12301200.00,在售,商业
8栋108,80.11,120000.00,77.66,123785.73,9613200.00,在售,商业
8栋107,67.39,120000.00,65.34,123764.92,8086800.00,在售,商业
8栋106,107.77,120000.00,104.48,123778.71,12932400.00,在售,商业
8栋105,68.80,120000.00,66.70,123778.11,8256000.00,在售,商业
8栋104,71.97,120000.00,69.78,123766.12,8636400.00,在售,商业
8栋103,60.94,120000.00,59.08,123777.92,7312800.00,在售,商业
8栋102,57.44,120000.00,55.69,123770.87,6892800.00,在售,商业
8栋101,87.25,120000.00,84.59,123773.49,10470000.00,在售,商业
