房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋3207,65.81,40930.46,45.13,59686.10,2693634.00,在售,住宅
2栋3206,62.96,39848.15,43.18,58101.89,2508840.00,在售,住宅
2栋3205,62.96,39848.15,43.18,58101.89,2508840.00,在售,住宅
2栋3204,62.37,42561.87,42.77,62066.49,2654584.00,在售,住宅
2栋3203,63.07,40936.40,43.26,59682.36,2581859.00,在售,住宅
2栋3202,63.07,40936.40,43.26,59682.36,2581859.00,在售,住宅
2栋3201,65.17,42562.45,44.69,62067.46,2773795.00,在售,住宅
2栋3107,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋3106,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋3105,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋3104,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋3103,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋3102,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋3101,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋3007,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋3006,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋3005,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋3004,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋3003,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋3002,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋3001,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋2907,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋2906,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2905,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2904,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋2903,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2902,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2901,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋2807,65.81,41583.31,45.13,60638.11,2736598.00,在售,住宅
2栋2806,62.96,40501.09,43.18,59053.93,2549949.00,在售,住宅
2栋2805,62.96,40501.09,43.18,59053.93,2549949.00,在售,住宅
2栋2804,62.37,43214.70,42.77,63018.49,2695301.00,在售,住宅
2栋2803,63.07,41589.36,43.26,60634.32,2623041.00,在售,住宅
2栋2802,63.07,41589.36,43.26,60634.32,2623041.00,在售,住宅
2栋2801,65.17,43215.29,44.69,63019.48,2816341.00,在售,住宅
2栋2707,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋2706,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2705,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2704,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋2703,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2702,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2701,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋2607,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋2606,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2605,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2604,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋2603,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2602,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2601,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋2507,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋2506,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2505,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2504,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋2503,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2502,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2501,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋2407,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋2406,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2405,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2404,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋2403,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2402,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2401,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋2307,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋2306,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2305,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2304,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋2303,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2302,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2301,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋2207,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋2206,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2205,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2204,62.37,43649.92,42.77,63653.16,2722446.00,在售,住宅
2栋2203,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2202,63.07,42024.65,43.26,61268.95,2650495.00,在售,住宅
2栋2201,65.17,43650.52,44.69,63654.17,2844705.00,在售,住宅
2栋2107,65.81,42018.53,45.13,61272.76,2765240.00,在售,住宅
2栋2106,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
2栋2105,62.96,40936.40,43.18,59688.65,2577356.00,在售,住宅
