房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2号楼3层2305,91.28,29463.54,69.52,38685.73,2689432.00,在售,配套商业
2号楼3层2304,188.62,27877.48,143.65,36604.60,5258252.00,在售,配套商业
2号楼3层2303,101.67,26291.45,77.43,34522.17,2673052.00,在售,配套商业
2号楼3层2302,88.33,26851.22,67.27,35257.45,2371769.00,在售,配套商业
2号楼3层2301,94.07,27317.71,71.64,35870.70,2569777.00,在售,配套商业
5号楼2层5214,219.29,37681.59,139.67,59162.28,8263197.00,在售,配套商业
5号楼2层5213,168.34,37187.12,107.22,58385.37,6260080.00,在售,配套商业
5号楼2层5212,48.36,39146.36,30.80,61464.87,1893118.00,在售,配套商业
5号楼2层5211,49.93,40732.40,31.80,63955.00,2033769.00,在售,配套商业
5号楼2层5210,82.21,39332.95,52.36,61756.34,3233562.00,在售,配套商业
5号楼2层5209,88.43,38306.68,56.32,60146.66,3387460.00,在售,配套商业
5号楼2层5208,92.11,38306.68,58.67,60140.25,3528429.00,在售,配套商业
5号楼2层5207,62.17,38399.98,39.60,60286.03,2387327.00,在售,配套商业
5号楼2层5206,173.84,37093.82,110.72,58240.52,6448391.00,在售,配套商业
5号楼2层5205,356.03,25169.20,226.76,39517.51,8960992.00,在售,配套商业
5号楼2层5203,277.92,25411.77,177.01,39898.54,7062441.00,在售,配套商业
5号楼2层5202,256.09,25411.77,163.11,39897.62,6507702.00,在售,配套商业
5号楼2层5201,320.75,24077.16,204.29,37802.88,7722751.00,在售,配套商业
4号楼2层4211,106.50,38959.76,67.83,61170.79,4149215.00,在售,配套商业
4号楼2层4210,61.20,39612.84,38.98,62193.58,2424306.00,在售,配套商业
4号楼2层4209,58.72,39519.55,37.40,62047.80,2320588.00,在售,配套商业
4号楼2层4208,53.38,39519.53,34.00,62045.67,2109553.00,在售,配套商业
4号楼2层4207,55.27,40265.91,35.20,63224.34,2225497.00,在售,配套商业
4号楼2层4206,56.40,39519.53,35.92,62051.83,2228902.00,在售,配套商业
4号楼2层4205,45.15,39332.95,28.76,61748.36,1775883.00,在售,配套商业
4号楼2层4204,60.29,38026.80,38.40,59704.06,2292636.00,在售,配套商业
4号楼2层4203,99.05,38493.27,63.08,60443.23,3812759.00,在售,配套商业
4号楼2层4202,30.38,39146.37,19.35,61460.82,1189267.00,在售,配套商业
4号楼2层4201,49.65,38306.68,31.62,60149.49,1901927.00,在售,配套商业
3号楼2层3216,66.57,37438.56,42.40,58780.30,2492285.00,在售,配套商业
3号楼2层3215,54.79,37718.45,34.90,59214.72,2066594.00,在售,配套商业
3号楼2层3214,54.56,40079.32,34.75,62927.42,2186728.00,在售,配套商业
3号楼2层3213,49.93,38773.18,31.80,60878.77,1935945.00,在售,配套商业
3号楼2层3212,49.93,38399.97,31.80,60292.79,1917311.00,在售,配套商业
3号楼2层3211,58.22,38260.04,37.08,60072.81,2227500.00,在售,配套商业
3号楼2层3210,58.22,38260.04,37.08,60072.81,2227500.00,在售,配套商业
3号楼2层3209,54.07,38399.98,34.44,60287.07,2076287.00,在售,配套商业
3号楼2层3208,54.07,38399.98,34.44,60287.07,2076287.00,在售,配套商业
3号楼2层3207,56.25,38399.98,35.83,60284.64,2159999.00,在售,配套商业
3号楼2层3206,114.18,35787.67,72.72,56191.37,4086237.00,在售,配套商业
3号楼2层3205,55.47,37653.61,35.33,59118.19,2088646.00,在售,配套商业
3号楼2层3204,47.68,36785.48,30.37,57752.12,1753932.00,在售,配套商业
3号楼2层3203,39.58,37625.16,25.21,59071.95,1489204.00,在售,配套商业
3号楼2层3202,101.81,38493.28,64.84,60441.10,3919001.00,在售,配套商业
3号楼2层3201,49.37,36412.29,31.45,57159.77,1797675.00,在售,配套商业
2号楼2层2254,67.50,41012.29,42.99,64394.74,2768330.00,在售,配套商业
2号楼2层2253,71.00,41012.29,45.22,64393.47,2911873.00,在售,配套商业
2号楼2层2252,49.96,42131.84,31.82,66150.43,2104907.00,在售,配套商业
2号楼2层2251,69.29,41012.29,44.13,64394.78,2841742.00,在售,配套商业
2号楼2层2250,92.68,42318.43,59.03,66442.02,3922073.00,在售,配套商业
2号楼2层2249,74.66,41851.95,47.55,65713.29,3124667.00,在售,配套商业
2号楼2层2248,76.40,41105.58,48.66,64538.98,3140467.00,在售,配套商业
2号楼2层2247,126.41,41105.58,80.52,64532.50,5196157.00,在售,配套商业
2号楼2层2246,86.18,39892.72,54.89,62633.53,3437955.00,在售,配套商业
2号楼2层2245,87.49,39146.35,55.72,61466.52,3424915.00,在售,配套商业
2号楼2层2244,96.47,38306.68,61.44,60147.23,3695446.00,在售,配套商业
2号楼2层2243,84.70,38959.76,53.95,61165.74,3299892.00,在售,配套商业
2号楼2层2242,112.04,37933.49,71.36,59558.14,4250069.00,在售,配套商业
2号楼2层2241,75.13,38586.58,47.85,60585.37,2899010.00,在售,配套商业
2号楼2层2240,124.36,38120.09,79.21,59848.69,4740615.00,在售,配套商业
