房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
7栋商业01层113,44.39,53542.37,42.81,55518.00,2376745.00,在售,商业
7栋商业01层112,46.72,50711.52,45.05,52591.00,2369242.00,在售,商业
7栋商业01层111,42.05,50003.78,40.55,51853.00,2102658.00,在售,商业
7栋商业01层110,70.63,53188.50,68.11,55156.00,3756703.00,在售,商业
7栋商业01层109,24.44,64511.91,23.57,66893.00,1576671.00,在售,商业
7栋商业01层108,43.44,53896.20,41.89,55890.00,2341250.00,在售,商业
7栋商业01层107,75.52,30541.67,72.83,31669.00,2306506.00,在售,商业
7栋商业01层106,29.09,47880.65,28.06,49638.00,1392848.00,在售,商业
7栋商业01层105,38.40,46819.06,37.03,48551.00,1797851.00,在售,商业
7栋商业01层104,32.76,46465.23,31.59,48186.00,1522200.00,在售,商业
7栋商业01层103,31.14,45403.63,30.03,47081.00,1413869.00,在售,商业
7栋商业01层102,31.95,45403.66,30.81,47083.00,1450646.00,在售,商业
7栋商业01层101,32.76,45757.51,31.59,47452.00,1499016.00,在售,商业
7栋商业01层100,32.76,45757.51,31.59,47452.00,1499016.00,在售,商业
7栋商业01层099,32.76,45757.51,31.59,47452.00,1499016.00,在售,商业
7栋商业01层098,32.76,48234.52,31.59,50020.00,1580162.00,在售,商业
7栋商业01层097,34.38,53188.48,33.15,55161.00,1828619.00,在售,商业
6栋商业01层096,37.59,31603.22,33.01,35988.00,1187965.00,在售,商业
6栋商业01层095,40.12,30187.81,35.24,34368.00,1211134.00,在售,商业
6栋商业01层094,40.12,30011.42,35.24,34167.00,1204058.00,在售,商业
6栋商业01层093,40.05,30011.41,35.18,34165.00,1201956.00,在售,商业
6栋商业01层092,40.13,28949.86,35.24,32967.00,1161757.00,在售,商业
6栋商业01层091,40.09,28949.84,35.21,32962.00,1160599.00,在售,商业
6栋商业01层090,42.07,28949.85,36.95,32961.00,1217920.00,在售,商业
6栋商业01层089,47.19,28772.37,41.45,32756.00,1357768.00,在售,商业
6栋商业01层088,35.68,29975.48,31.34,34126.00,1069525.00,在售,商业
6栋商业01层087,43.04,28064.66,37.80,31955.00,1207902.00,在售,商业
6栋商业01层086,48.12,27923.13,42.26,31795.00,1343661.00,在售,商业
6栋商业01层085,50.16,27923.11,44.05,31796.00,1400623.00,在售,商业
6栋商业01层084,43.35,28949.85,38.07,32964.00,1254975.00,在售,商业
6栋商业01层083,40.81,30011.42,35.84,34173.00,1224766.00,在售,商业
6栋商业01层082,80.11,32842.27,70.36,37393.00,2630994.00,在售,商业
6栋商业01层081,81.96,31072.99,71.98,35381.00,2546742.00,在售,商业
6栋商业01层080,112.34,28949.85,98.66,32963.00,3252226.00,在售,商业
6栋商业01层079,83.24,30719.13,73.11,34975.00,2557060.00,在售,商业
6栋商业01层078,114.45,28949.85,100.52,32961.00,3313310.00,在售,商业
6栋商业01层077,65.07,31426.83,57.15,35782.00,2044943.00,在售,商业
6栋商业01层076,45.87,33196.12,40.29,37793.00,1522706.00,在售,商业
6栋商业01层075,72.18,32842.28,63.39,37396.00,2370555.00,在售,商业
6栋半地下01层049,51.43,51065.35,45.55,57657.00,2626290.00,在售,商业
6栋半地下01层048,54.87,44695.94,48.60,50462.00,2452466.00,在售,商业
6栋半地下01层047,54.85,43280.49,48.57,48876.00,2373934.00,在售,商业
6栋半地下01层046,54.84,41865.08,48.57,47269.00,2295880.00,在售,商业
6栋半地下01层045,54.87,41865.08,48.60,47266.00,2297136.00,在售,商业
6栋半地下01层044,54.84,41511.23,48.57,46869.00,2276475.00,在售,商业
