房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2B614,87.35,33103.63,60.46,47826.69,2891602.00,在售,公寓式办公
2B613,73.95,34196.85,51.19,49401.38,2528857.00,在售,公寓式办公
2B612,36.40,34861.26,25.20,50355.15,1268950.00,在售,公寓式办公
2B611,36.32,34861.26,25.14,50364.39,1266161.00,在售,公寓式办公
2B610,48.01,34695.67,33.23,50127.56,1665739.00,在售,公寓式办公
2B609,48.38,33921.08,33.49,49002.74,1641102.00,在售,公寓式办公
2B608,48.01,34695.67,33.23,50127.56,1665739.00,在售,公寓式办公
2B607,48.18,33921.09,33.35,49005.03,1634318.00,在售,公寓式办公
2B606,47.70,35095.66,33.02,50698.45,1674063.00,在售,公寓式办公
2B605,47.48,33521.08,32.86,48435.20,1591581.00,在售,公寓式办公
