房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋3310,134.69,54265.45,85.99,84998.41,7309013.52,在售,办公
1栋3309,156.27,50616.93,99.77,79281.43,7909908.53,在售,办公
1栋3308,156.35,49255.54,99.82,77149.92,7701105.16,在售,办公
1栋3307,131.73,52604.55,84.10,82397.12,6929598.61,在售,办公
1栋3306,113.50,52441.19,72.47,82131.57,5952075.41,在售,办公
1栋3305,110.97,52277.82,70.85,81881.02,5801270.43,在售,办公
1栋3304,131.73,54156.53,84.10,84828.07,7134040.96,在售,办公
1栋3303,155.04,51270.40,98.98,80308.77,7948962.96,在售,办公
1栋3302,156.35,52223.37,99.82,81798.47,8165124.10,在售,办公
1栋3301,131.73,54410.50,84.10,85225.86,7167495.16,在售,办公
1栋3211,229.87,82807.85,151.04,126026.48,19035040.47,在售,办公
1栋3210,118.89,54115.45,78.12,82357.73,6433785.90,在售,办公
1栋3209,151.84,50466.93,99.77,76805.64,7662899.50,在售,办公
1栋3208,151.91,49105.54,99.82,74730.75,7459624.02,在售,办公
1栋3207,127.99,52454.55,84.10,79829.47,6713659.05,在售,办公
1栋3206,110.28,52291.19,72.46,79584.22,5766672.77,在售,办公
1栋3205,107.83,52127.82,70.85,79335.83,5620943.55,在售,办公
1栋3204,127.99,54006.53,84.10,82191.40,6912297.00,在售,办公
1栋3203,150.64,51120.40,98.98,77801.34,7700777.20,在售,办公
1栋3202,151.92,52073.37,99.82,79252.52,7910986.56,在售,办公
1栋3201,127.99,54260.50,84.10,82577.90,6944801.39,在售,办公
1栋3110,134.69,53965.45,85.99,84528.50,7268606.52,在售,办公
1栋3109,156.27,50316.93,99.77,78811.54,7863027.53,在售,办公
1栋3108,156.35,48955.54,99.82,76680.02,7654200.16,在售,办公
1栋3107,131.73,52304.55,84.10,81927.22,6890079.61,在售,办公
1栋3106,113.50,52141.19,72.47,81661.72,5918025.41,在售,办公
1栋3105,110.97,51977.82,70.85,81411.14,5767979.43,在售,办公
1栋3104,131.73,53856.53,84.10,84358.16,7094521.96,在售,办公
1栋3103,155.04,50970.40,98.98,79838.86,7902450.96,在售,办公
1栋3102,156.35,51923.37,99.82,81328.58,8118219.10,在售,办公
1栋3101,131.73,54110.50,84.10,84755.95,7127976.16,在售,办公
1栋3011,229.87,82552.85,151.04,125638.39,18976423.62,在售,办公
1栋3010,118.89,53815.45,78.12,81901.16,6398118.90,在售,办公
1栋3009,151.84,50166.93,99.77,76349.07,7617347.50,在售,办公
1栋3008,151.91,48805.54,99.82,74274.20,7414051.02,在售,办公
1栋3007,127.99,52154.55,84.10,79372.91,6675262.05,在售,办公
1栋3006,110.28,51991.19,72.46,79127.63,5733588.77,在售,办公
1栋3005,107.83,51827.82,70.85,78879.24,5588594.55,在售,办公
1栋3004,127.99,53706.53,84.10,81734.83,6873900.00,在售,办公
1栋3003,150.64,50820.40,98.98,77344.76,7655585.20,在售,办公
1栋3002,151.92,51773.37,99.82,78795.93,7865410.56,在售,办公
1栋3001,127.99,53960.50,84.10,82121.33,6906404.39,在售,办公
1栋2914,72.73,51980.01,47.69,79272.52,3780506.60,在售,办公
1栋2913,153.50,50107.97,100.65,76419.02,7691574.72,在售,办公
1栋2912,147.46,47998.97,96.70,73194.71,7077928.69,在售,办公
1栋2911,147.54,46898.50,96.75,71518.39,6919404.69,在售,办公
1栋2910,153.42,49539.25,100.60,75549.83,7600313.00,在售,办公
1栋2909,72.73,51482.38,47.69,78513.60,3744313.95,在售,办公
1栋2908,110.49,49468.16,72.45,75441.51,5465737.90,在售,办公
1栋2907,107.79,49444.47,70.68,75404.91,5329619.58,在售,办公
1栋2906,72.73,51766.74,47.69,78947.27,3764995.46,在售,办公
1栋2905,153.42,50771.48,100.61,77421.34,7789361.34,在售,办公
1栋2904,146.35,48638.78,95.97,74171.99,7118286.09,在售,办公
1栋2903,147.54,49373.38,96.75,75292.49,7284548.70,在售,办公
1栋2902,153.42,51316.50,100.61,78252.44,7872978.88,在售,办公
1栋2901,72.73,51998.50,47.69,79300.71,3781850.90,在售,办公
1栋2815,230.79,78367.45,154.41,117132.46,18086423.78,在售,办公
1栋2814,144.20,50095.55,96.48,74873.33,7223779.58,在售,办公
1栋2813,57.87,52198.50,38.71,78034.80,3020727.19,在售,办公
1栋2812,144.53,47851.07,96.70,71519.29,6915915.65,在售,办公
1栋2811,144.61,46779.38,96.75,69920.06,6764766.48,在售,办公
1栋2810,150.37,49408.05,100.60,73851.78,7429489.80,在售,办公
1栋2809,71.28,51329.01,47.69,76719.06,3658732.16,在售,办公
1栋2808,108.29,49306.95,72.45,73698.41,5339450.25,在售,办公
1栋2807,105.64,49286.73,70.68,73665.12,5206650.71,在售,办公
1栋2806,71.28,51632.32,47.69,77172.40,3680352.02,在售,办公
1栋2805,150.37,50621.29,100.61,75657.72,7611923.99,在售,办公
1栋2804,143.44,48538.57,95.97,72547.38,6962372.98,在售,办公
1栋2803,144.61,49266.51,96.75,73637.52,7124430.69,在售,办公
1栋2802,150.37,51187.47,100.61,76503.92,7697059.95,在售,办公
