房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋B座4506,88.24,84421.51,65.73,113332.64,7449354.49,在售,住宅
2栋B座4505,72.19,87310.40,53.78,117198.55,6302938.06,在售,住宅
2栋B座4504,89.11,86977.07,66.39,116742.38,7750526.77,在售,住宅
2栋B座4503,89.18,87532.62,66.43,117509.55,7806159.61,在售,住宅
2栋B座4502,88.43,90643.73,65.88,121670.09,8015625.69,在售,住宅
2栋B座4501,89.97,89977.07,67.02,120788.37,8095237.05,在售,住宅
2栋B座4406,88.24,84365.95,65.73,113258.05,7444452.27,在售,住宅
2栋B座4405,72.19,87254.84,53.78,117123.97,6298927.51,在售,住宅
2栋B座4404,89.11,86921.51,66.39,116667.81,7745576.21,在售,住宅
2栋B座4403,89.18,87477.07,66.43,117434.97,7801205.16,在售,住宅
