房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
半地下商业03层-328,46.20,56624.96,31.36,83420.71,2616073.55,在售,商业
半地下商业03层-327,46.20,57224.96,31.36,84304.64,2643793.55,在售,商业
半地下商业03层-326,46.20,57224.96,31.36,84304.64,2643793.55,在售,商业
半地下商业03层-325,46.20,57224.96,31.36,84304.64,2643793.55,在售,商业
半地下商业03层-324,46.20,57224.96,31.36,84304.64,2643793.55,在售,商业
半地下商业03层-323,46.20,57224.96,31.36,84304.64,2643793.55,在售,商业
半地下商业03层-322,46.33,57224.96,31.44,84326.74,2651232.80,在售,商业
半地下商业03层-314,46.20,56624.96,31.36,83420.71,2616073.55,在售,商业
半地下商业03层-313,46.20,56824.96,31.36,83715.35,2625313.55,在售,商业
半地下商业03层-312,46.20,57024.96,31.36,84009.99,2634553.55,在售,商业
半地下商业03层-311,46.20,57024.96,31.36,84009.99,2634553.55,在售,商业
半地下商业03层-310,46.20,57024.96,31.36,84009.99,2634553.55,在售,商业
半地下商业03层-309,46.20,57024.96,31.36,84009.99,2634553.55,在售,商业
半地下商业03层-308,46.20,57024.96,31.36,84009.99,2634553.55,在售,商业
半地下商业03层-307,46.20,57024.96,31.36,84009.99,2634553.55,在售,商业
半地下商业03层-306,46.20,57024.96,31.36,84009.99,2634553.55,在售,商业
半地下商业03层-305,46.20,56824.96,31.36,83715.35,2625313.55,在售,商业
半地下商业02层-228,46.20,56574.96,31.36,83347.05,2613763.55,在售,商业
半地下商业02层-227,46.20,57174.96,31.36,84230.98,2641483.55,在售,商业
半地下商业02层-226,46.20,57174.96,31.36,84230.98,2641483.55,在售,商业
半地下商业02层-225,46.20,57174.96,31.36,84230.98,2641483.55,在售,商业
半地下商业02层-224,46.20,57174.96,31.36,84230.98,2641483.55,在售,商业
半地下商业02层-223,46.20,57174.96,31.36,84230.98,2641483.55,在售,商业
半地下商业02层-222,46.32,57174.96,31.44,84234.87,2648344.55,在售,商业
半地下商业02层-214,46.20,56574.96,31.36,83347.05,2613763.55,在售,商业
