房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2单元2202,87.66,24037.00,58.54,35994.00,2107083.00,在售,住宅
2单元2201,92.74,24037.00,61.93,35995.00,2229191.00,在售,住宅
2单元2103,85.06,16670.00,58.29,24326.00,1417950.00,在售,住宅
2单元2102,89.70,24788.00,61.47,36172.00,2223484.00,在售,住宅
2单元2101,175.16,20276.00,120.03,29588.00,3551544.00,在售,住宅
2单元2003,85.71,16646.00,58.73,24293.00,1426729.00,在售,住宅
2单元2002,88.75,24825.00,60.81,36231.00,2203219.00,在售,住宅
2单元2001,195.29,20123.00,133.83,29364.00,3929820.00,在售,住宅
2单元1903,85.06,16582.00,58.29,24197.00,1410465.00,在售,住宅
2单元1902,89.70,24658.00,61.47,35982.00,2211823.00,在售,住宅
2单元1901,175.16,20151.00,120.03,29406.00,3529649.00,在售,住宅
2单元1803,85.71,16558.00,58.73,24165.00,1419186.00,在售,住宅
2单元1802,88.75,24694.00,60.81,36040.00,2191593.00,在售,住宅
2单元1801,195.29,20058.00,133.83,29269.00,3917126.00,在售,住宅
2单元1703,85.06,16494.00,58.29,24069.00,1402980.00,在售,住宅
2单元1702,89.70,24527.00,61.47,35791.00,2200072.00,在售,住宅
2单元1701,175.16,20056.00,120.03,29267.00,3513008.00,在售,住宅
2单元1603,85.71,16470.00,58.73,24036.00,1411644.00,在售,住宅
2单元1602,88.75,24563.00,60.81,35849.00,2179966.00,在售,住宅
2单元1601,195.29,19993.00,133.83,29174.00,3904432.00,在售,住宅
2单元1503,85.06,16390.00,58.29,23917.00,1394133.00,在售,住宅
2单元1502,89.70,24372.00,61.47,35565.00,2186168.00,在售,住宅
2单元1501,175.16,19458.00,120.03,28395.00,3408263.00,在售,住宅
2单元1403,85.71,16350.00,58.73,23861.00,1401359.00,在售,住宅
2单元1402,88.75,24384.00,60.81,35588.00,2164080.00,在售,住宅
2单元1401,195.29,19632.00,133.83,28647.00,3833933.00,在售,住宅
2单元1303,85.06,16270.00,58.29,23742.00,1383926.00,在售,住宅
2单元1302,89.70,24194.00,61.47,35305.00,2170202.00,在售,住宅
2单元1301,175.16,23457.00,120.03,34231.00,4108728.00,在售,住宅
2单元1203,85.71,16230.00,58.73,23686.00,1391073.00,在售,住宅
2单元1202,88.62,24211.00,60.73,35330.00,2145579.00,在售,住宅
2单元1201,195.18,19610.00,133.75,28616.00,3827479.00,在售,住宅
2单元1103,85.06,16150.00,58.29,23567.00,1373719.00,在售,住宅
2单元1102,89.70,24015.00,61.47,35044.00,2154146.00,在售,住宅
2单元1101,175.16,19401.00,120.03,28311.00,3398279.00,在售,住宅
2单元1003,85.71,16110.00,58.73,23511.00,1380788.00,在售,住宅
2单元1002,88.62,24032.00,60.73,35069.00,2129716.00,在售,住宅
2单元1001,195.18,19446.00,133.75,28377.00,3795470.00,在售,住宅
2单元903,85.06,16046.00,58.29,23415.00,1364873.00,在售,住宅
2单元902,89.70,23861.00,61.47,34819.00,2140332.00,在售,住宅
2单元901,175.16,18925.00,120.03,27617.00,3314903.00,在售,住宅
2单元803,85.71,16022.00,58.73,23382.00,1373246.00,在售,住宅
2单元802,88.62,23900.00,60.73,34876.00,2118018.00,在售,住宅
2单元801,195.18,19381.00,133.75,28282.00,3782783.00,在售,住宅
2单元703,85.06,15958.00,58.29,23287.00,1357387.00,在售,住宅
2单元702,89.70,23730.00,61.47,34628.00,2128581.00,在售,住宅
2单元701,175.16,23067.00,120.03,33662.00,4040416.00,在售,住宅
2单元603,85.71,15934.00,58.73,23254.00,1365703.00,在售,住宅
2单元602,88.62,23769.00,60.73,34685.00,2106409.00,在售,住宅
2单元601,195.18,18752.00,133.75,27364.00,3660015.00,在售,住宅
2单元503,85.06,15254.00,58.29,22259.00,1297505.00,在售,住宅
2单元502,89.70,22683.00,61.47,33100.00,2034665.00,在售,住宅
2单元501,175.16,18148.00,120.03,26483.00,3178803.00,在售,住宅
2单元403,85.71,14694.00,58.73,21444.00,1259423.00,在售,住宅
2单元402,88.62,21919.00,60.73,31985.00,1942462.00,在售,住宅
2单元401,195.18,15889.00,133.75,23186.00,3101215.00,在售,住宅
2单元303,85.06,14654.00,58.29,21384.00,1246469.00,在售,住宅
2单元302,89.70,17179.00,61.47,25068.00,1540956.00,在售,住宅
2单元301,175.16,15877.00,120.03,23170.00,2781095.00,在售,住宅
2单元203,85.71,14654.00,58.73,21386.00,1255994.00,在售,住宅
2单元202,88.62,21860.00,60.73,31899.00,1937233.00,在售,住宅
2单元201,201.61,14885.00,138.15,21722.00,3000964.00,在售,住宅
1单元2202,87.64,24917.00,58.54,37303.00,2183726.00,在售,住宅
1单元2201,92.72,24917.00,61.93,37305.00,2310304.00,在售,住宅
1单元2103,85.04,17384.00,58.29,25362.00,1478335.00,在售,住宅
