房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋2905,80.57,74527.14,66.10,90841.93,6004652.00,在售,住宅
5栋2904,80.47,74291.84,66.02,90552.33,5978265.00,在售,住宅
5栋2805,80.57,74467.14,66.10,90768.80,5999818.00,在售,住宅
5栋2804,80.47,74231.85,66.02,90479.20,5973437.00,在售,住宅
5栋2705,80.57,74407.14,66.10,90695.67,5994984.00,在售,住宅
5栋2704,80.47,74171.85,66.02,90406.07,5968609.00,在售,住宅
5栋2605,80.57,74347.15,66.10,90622.54,5990150.00,在售,住宅
5栋2604,80.47,74111.85,66.02,90332.94,5963781.00,在售,住宅
5栋2505,80.57,74087.14,66.10,90305.61,5969201.00,在售,住宅
5栋2504,80.47,73851.85,66.02,90016.04,5942859.00,在售,住宅
5栋2405,80.57,73727.14,66.10,89866.80,5940196.00,在售,住宅
5栋2404,80.47,73491.84,66.02,89577.23,5913889.00,在售,住宅
5栋2305,80.57,73667.14,66.10,89793.67,5935362.00,在售,住宅
5栋2304,80.47,73431.85,66.02,89504.10,5909061.00,在售,住宅
5栋2205,80.57,73607.14,66.10,89720.54,5930528.00,在售,住宅
5栋2204,80.47,73371.85,66.02,89430.97,5904233.00,在售,住宅
5栋2105,80.57,73547.15,66.10,89647.41,5925694.00,在售,住宅
5栋2104,80.47,73311.85,66.02,89357.84,5899405.00,在售,住宅
5栋2005,80.57,73487.14,66.10,89574.26,5920859.00,在售,住宅
5栋2004,80.47,73251.85,66.02,89284.71,5894577.00,在售,住宅
5栋1905,80.57,73427.14,66.10,89501.13,5916025.00,在售,住宅
5栋1904,80.47,73191.84,66.02,89211.57,5889748.00,在售,住宅
5栋1805,80.57,73367.14,66.10,89428.00,5911191.00,在售,住宅
5栋1804,80.47,73131.85,66.02,89138.44,5884920.00,在售,住宅
5栋1705,80.57,73307.14,66.10,89354.87,5906357.00,在售,住宅
5栋1704,80.47,73071.85,66.02,89065.31,5880092.00,在售,住宅
5栋1605,80.57,73247.15,66.10,89281.73,5901523.00,在售,住宅
5栋1604,80.47,73011.85,66.02,88992.18,5875264.00,在售,住宅
5栋1505,80.57,73187.14,66.10,89208.59,5896688.00,在售,住宅
5栋1504,80.47,72951.85,66.02,88919.05,5870436.00,在售,住宅
5栋1405,80.57,73127.14,66.10,89135.46,5891854.00,在售,住宅
5栋1404,80.47,72891.84,66.02,88845.91,5865607.00,在售,住宅
5栋1305,80.57,73067.14,66.10,89062.32,5887020.00,在售,住宅
5栋1304,80.47,72831.85,66.02,88772.78,5860779.00,在售,住宅
5栋1205,80.57,73007.14,66.10,88989.19,5882186.00,在售,住宅
5栋1204,80.47,72771.85,66.02,88699.65,5855951.00,在售,住宅
5栋1105,80.57,72947.15,66.10,88916.06,5877352.00,在售,住宅
5栋1104,80.47,72711.85,66.02,88626.52,5851123.00,在售,住宅
5栋1005,80.57,72887.14,66.10,88842.91,5872517.00,在售,住宅
5栋1004,80.47,72651.85,66.02,88553.39,5846295.00,在售,住宅
