房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
11号008,67.41,72515.97,65.54,74585.01,4888302.00,在售,商业
11号007,65.74,74472.22,63.93,76580.69,4895804.00,在售,商业
11号006,65.74,76406.57,63.93,78569.81,5022968.00,在售,商业
11号005,65.74,78340.91,63.93,80558.92,5150132.00,在售,商业
11号004,99.79,70414.56,97.03,72417.48,7026669.00,在售,商业
11号003,109.31,89554.60,106.29,92099.10,9789214.00,在售,商业
11号002,104.58,89557.19,101.69,92102.37,9365891.00,在售,商业
11号001,162.00,41113.00,157.52,42282.88,6660399.00,在售,商业
5号077,92.78,53861.00,90.21,55395.53,4997230.00,在售,商业
5号076,88.45,65116.75,86.01,66964.03,5759577.00,在售,商业
5号075,174.53,29304.00,169.70,30138.96,5114581.00,在售,商业
5号074,174.41,29313.95,169.57,30150.00,5112646.00,在售,商业
5号073,97.51,49619.00,94.81,51032.60,4838400.00,在售,商业
5号072,116.12,60461.00,112.92,62174.57,7020752.00,在售,商业
5号071,100.95,48958.00,98.15,50355.26,4942368.00,在售,商业
5号070,110.89,46661.00,107.83,47986.03,5174333.00,在售,商业
5号069,236.52,23504.00,229.97,24174.38,5559382.00,在售,商业
5号068,200.22,27777.00,194.68,28568.20,5561657.00,在售,商业
5号067,89.78,68831.00,87.30,70787.29,6179730.00,在售,商业
5号066,89.06,72204.00,86.60,74255.25,6430504.00,在售,商业
4号065,114.83,58415.22,111.66,60073.00,6707819.00,在售,商业
4号064,97.58,38149.38,94.88,39234.00,3722616.00,在售,商业
4号063,86.41,46374.93,84.01,47699.00,4007257.00,在售,商业
4号062,110.38,35934.83,107.33,36955.00,3966487.00,在售,商业
4号061,99.60,34465.22,96.85,35443.00,3432735.00,在售,商业
