房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
02层72,11.48,158294.41,6.37,285277.85,1817219.90,在售,商业
02层71,11.22,158294.41,6.23,285082.40,1776063.35,在售,商业
02层70,11.22,158294.41,6.23,285082.40,1776063.35,在售,商业
02层69,11.22,158294.41,6.23,285082.40,1776063.35,在售,商业
02层68,11.22,158294.41,6.23,285082.40,1776063.35,在售,商业
02层67,11.22,158294.41,6.23,285082.40,1776063.35,在售,商业
02层66,9.27,158294.41,5.15,284929.95,1467389.24,在售,商业
02层65,9.27,160025.18,5.14,288605.73,1483433.47,在售,商业
02层64,9.27,160025.18,5.14,288605.73,1483433.47,在售,商业
02层63,9.27,172717.49,5.14,311496.34,1601091.16,在售,商业
02层62,25.50,172717.49,14.15,311257.67,4404296.08,在售,商业
02层61,25.50,164640.57,14.15,296702.09,4198334.54,在售,商业
02层60,27.00,166948.26,14.98,300908.08,4507603.09,在售,商业
02层59,28.00,166948.26,15.54,300807.68,4674551.35,在售,商业
02层58,27.00,166948.26,14.98,300908.08,4507603.09,在售,商业
02层57,29.54,166948.26,16.39,300893.94,4931651.68,在售,商业
02层56,29.54,166948.26,16.39,300893.94,4931651.68,在售,商业
02层55,27.00,164640.57,14.98,296748.69,4445295.40,在售,商业
02层54,28.00,164640.57,15.54,296649.68,4609935.97,在售,商业
02层53,27.00,164640.57,14.98,296748.69,4445295.40,在售,商业
02层52,25.50,164640.57,14.15,296702.09,4198334.54,在售,商业
02层51,25.50,172717.49,14.15,311257.67,4404296.08,在售,商业
02层50,9.27,172717.49,5.14,311496.34,1601091.16,在售,商业
02层49,9.27,148486.72,5.14,267796.10,1376471.93,在售,商业
02层48,9.27,148486.72,5.14,267796.10,1376471.93,在售,商业
02层47,9.27,144448.26,5.14,260512.72,1339035.39,在售,商业
02层46,11.22,144448.26,6.23,260145.99,1620709.50,在售,商业
02层45,11.22,153102.10,6.23,275731.25,1717805.66,在售,商业
02层44,11.22,156563.64,6.23,281965.35,1756644.12,在售,商业
02层43,11.22,156563.64,6.23,281965.35,1756644.12,在售,商业
02层42,11.22,153102.10,6.23,275731.25,1717805.66,在售,商业
02层41,11.48,156563.64,6.37,282158.66,1797350.67,在售,商业
02层40,11.19,158871.33,6.21,286275.41,1777770.29,在售,商业
02层39,13.89,143871.33,7.71,259192.34,1998372.90,在售,商业
02层38,13.51,143871.33,7.50,259160.24,1943701.79,在售,商业
02层37,14.12,143871.33,7.84,259115.22,2031463.31,在售,商业
02层36,12.39,143871.33,6.87,259471.02,1782565.89,在售,商业
02层35,25.57,149640.57,14.19,269648.30,3826309.38,在售,商业
02层34,15.92,139832.87,8.84,251825.73,2226139.42,在售,商业
02层33,14.01,151371.33,7.78,272585.15,2120712.46,在售,商业
02层32,45.28,137525.18,25.13,247797.07,6227140.41,在售,商业
02层31,55.62,144448.26,30.87,260259.55,8034212.37,在售,商业
02层30,21.29,164640.57,11.82,296548.03,3505197.74,在售,商业
02层29,42.37,161179.03,23.52,290355.25,6829155.58,在售,商业
02层28,71.79,170986.72,39.85,308033.55,12275136.94,在售,商业
02层27,41.49,171563.64,23.03,309082.75,7118175.73,在售,商业
02层26,25.73,171563.64,14.28,309126.94,4414332.64,在售,商业
02层25,48.28,136371.33,26.80,245671.95,6584008.28,在售,商业
02层24,35.04,136371.33,19.45,245678.75,4778451.74,在售,商业
02层23,22.29,134063.64,12.37,241574.67,2988278.70,在售,商业
02层22,72.18,141563.64,40.06,255069.00,10218064.07,在售,商业
02层21,39.50,143294.41,21.92,258217.58,5660129.45,在售,商业
02层20,40.99,143294.41,22.75,258181.90,5873638.13,在售,商业
02层19,86.72,141563.64,48.14,255014.53,12276399.50,在售,商业
02层18,65.86,151371.33,36.56,272683.71,9969316.43,在售,商业
02层17,53.33,138679.03,29.60,249856.51,7395752.77,在售,商业
02层16,53.29,146755.95,29.58,264388.94,7820624.84,在售,商业
02层15,54.59,153102.10,30.30,275836.44,8357844.12,在售,商业
02层14,57.04,158871.33,31.66,286229.35,9062021.21,在售,商业
02层13,17.14,171563.64,9.51,309211.45,2940600.91,在售,商业
02层12,18.81,171563.64,10.44,309110.36,3227112.20,在售,商业
02层11,71.76,158871.33,39.83,286231.67,11400607.33,在售,商�
