房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
31B,158.68,101009.00,103.05,155537.34,16028123.00,在售,住宅
30B,158.68,46784.00,103.05,72039.78,7423700.00,在售,住宅
29B,158.68,46398.00,103.05,71444.84,7362391.00,在售,住宅
28B,158.68,46011.00,103.05,70849.90,7301083.00,在售,住宅
27B,158.68,45625.00,103.05,70254.97,7239775.00,在售,住宅
26B,158.68,45239.00,103.05,69660.03,7178467.00,在售,住宅
25B,158.68,41443.00,103.05,63815.66,6576204.00,在售,住宅
24B,158.68,41057.00,103.05,63220.72,6514896.00,在售,住宅
23B,158.68,40670.00,103.05,62625.79,6453588.00,在售,住宅
22B,158.68,40284.00,103.05,62030.85,6392280.00,在售,住宅
21B,158.68,39898.00,103.05,61435.91,6330971.00,在售,住宅
20B,158.68,39511.00,103.05,60840.98,6269663.00,在售,住宅
19B,158.68,39125.00,103.05,60246.04,6208355.00,在售,住宅
18B,158.68,38739.00,103.05,59651.11,6147047.00,在售,住宅
17B,158.68,38352.00,103.05,59056.17,6085739.00,在售,住宅
16B,158.68,37966.00,103.05,58461.23,6024430.00,在售,住宅
15B,157.79,37580.00,102.47,57867.43,5929676.00,在售,住宅
14B,157.79,37193.00,102.47,57272.48,5868712.00,在售,住宅
13B,157.79,36807.00,102.47,56677.54,5807748.00,在售,住宅
12B,157.79,36420.00,102.47,56082.59,5746784.00,在售,住宅
11B,157.79,36034.00,102.47,55487.64,5685819.00,在售,住宅
10B,157.79,35648.00,102.47,54892.70,5624855.00,在售,住宅
9B,157.79,35261.00,102.47,54297.75,5563891.00,在售,住宅
8B,157.79,34875.00,102.47,53702.80,5502926.00,在售,住宅
7B,157.95,34034.00,102.58,52404.80,5375685.00,在售,住宅
