房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
29号楼B座2103b,56.63,15530.00,44.27,19865.91,879464.00,在售,住宅
29号楼B座2103a,70.83,18165.00,55.38,23232.70,1286627.00,在售,住宅
29号楼B座2102,231.30,22262.00,180.83,28475.37,5149201.00,在售,住宅
29号楼B座2101,221.70,22262.00,173.33,28474.50,4935485.00,在售,住宅
29号楼B座2003b,57.62,15500.00,44.27,20174.16,893110.00,在售,住宅
29号楼B座2003a,72.08,18135.00,55.38,23603.67,1307171.00,在售,住宅
29号楼B座2002b,54.73,15500.00,42.05,20173.96,848315.00,在售,住宅
29号楼B座2002a,82.09,18135.00,63.07,23603.96,1488702.00,在售,住宅
29号楼B座2001b,54.72,15500.00,42.05,20170.27,848160.00,在售,住宅
29号楼B座2001a,82.09,18135.00,63.07,23603.96,1488702.00,在售,住宅
29号楼B座1903b,57.62,15470.00,44.27,20135.10,891381.00,在售,住宅
29号楼B座1903a,72.08,18105.00,55.38,23564.61,1305008.00,在售,住宅
29号楼B座1902b,54.73,15470.00,42.05,20134.91,846673.00,在售,住宅
29号楼B座1902a,82.09,18105.00,63.07,23564.91,1486239.00,在售,住宅
29号楼B座1901b,54.72,15470.00,42.05,20131.22,846518.00,在售,住宅
29号楼B座1901a,82.09,18105.00,63.07,23564.91,1486239.00,在售,住宅
29号楼B座1803b,57.62,15440.00,44.27,20096.07,889653.00,在售,住宅
29号楼B座1803a,72.08,18075.00,55.38,23525.57,1302846.00,在售,住宅
29号楼B座1802b,54.73,15440.00,42.05,20095.86,845031.00,在售,住宅
29号楼B座1802a,82.09,18075.00,63.07,23525.88,1483777.00,在售,住宅
29号楼B座1801b,54.72,15440.00,42.05,20092.20,844877.00,在售,住宅
29号楼B座1801a,82.09,18075.00,63.07,23525.88,1483777.00,在售,住宅
29号楼B座1703b,57.62,15410.00,44.27,20057.01,887924.00,在售,住宅
29号楼B座1703a,72.08,18045.00,55.38,23486.53,1300684.00,在售,住宅
29号楼B座1702b,54.73,15410.00,42.05,20056.81,843389.00,在售,住宅
29号楼B座1702a,82.09,18045.00,63.07,23486.82,1481314.00,在售,住宅
29号楼B座1701b,54.72,15410.00,42.05,20053.15,843235.00,在售,住宅
29号楼B座1701a,82.09,18045.00,63.07,23486.82,1481314.00,在售,住宅
29号楼B座1603b,57.62,15380.00,44.27,20017.98,886196.00,在售,住宅
29号楼B座1603a,72.08,18015.00,55.38,23447.47,1298521.00,在售,住宅
29号楼B座1602b,54.73,15380.00,42.05,20017.76,841747.00,在售,住宅
29号楼B座1602a,82.09,18015.00,63.07,23447.77,1478851.00,在售,住宅
29号楼B座1601b,54.72,15380.00,42.05,20014.13,841594.00,在售,住宅
29号楼B座1601a,82.09,18015.00,63.07,23447.77,1478851.00,在售,住宅
29号楼B座1503b,57.62,15350.00,44.27,19978.92,884467.00,在售,住宅
29号楼B座1503a,72.08,17985.00,55.38,23408.43,1296359.00,在售,住宅
29号楼B座1502b,54.73,15350.00,42.05,19978.74,840106.00,在售,住宅
29号楼B座1502a,82.09,17985.00,63.07,23408.74,1476389.00,在售,住宅
29号楼B座1501b,54.72,15350.00,42.05,19975.08,839952.00,在售,住宅
29号楼B座1501a,82.09,17985.00,63.07,23408.74,1476389.00,在售,住宅
29号楼B座1403b,57.62,15320.00,44.27,19939.87,882738.00,在售,住宅
29号楼B座1403a,72.08,17955.00,55.38,23369.38,1294196.00,在售,住宅
29号楼B座1402b,54.73,15320.00,42.05,19939.69,838464.00,在售,住宅
29号楼B座1402a,82.09,17955.00,63.07,23369.68,1473926.00,在售,住宅
29号楼B座1401b,54.72,15320.00,42.05,19936.03,838310.00,在售,住宅
29号楼B座1401a,82.09,17955.00,63.07,23369.68,1473926.00,在售,住宅
29号楼B座1303b,57.62,15290.00,44.27,19900.84,881010.00,在售,住宅
29号楼B座1303a,72.08,17925.00,55.38,23330.34,1292034.00,在售,住宅
29号楼B座1302b,54.73,15290.00,42.05,19900.64,836822.00,在售,住宅
29号楼B座1302a,82.09,17925.00,63.07,23330.63,1471463.00,在售,住宅
29号楼B座1301b,54.72,15290.00,42.05,19897.00,836669.00,在售,住宅
29号楼B座1301a,82.09,17925.00,63.07,23330.63,1471463.00,在售,住宅
29号楼B座1203b,57.62,15260.00,44.27,19861.78,879281.00,在售,住宅
29号楼B座1203a,72.08,17895.00,55.38,23291.30,1289872.00,在售,住宅
29号楼B座1202b,54.73,15260.00,42.05,19861.59,835180.00,在售,住宅
29号楼B座1202a,82.09,17895.00,63.07,23291.60,1469001.00,在售,住宅
29号楼B座1201b,54.72,15260.00,42.05,19857.95,835027.00,在售,住宅
29号楼B座1201a,82.09,17895.00,63.07,23291.60,1469001.00,在售,住宅
29号楼B座1103b,57.62,15230.00,44.27,19822.75,877553.00,在售,住宅
29号楼B座1103a,72.08,17865.00,55.38,23252.24,1287709.00,在售,住宅
29号楼B座1102b,54.73,15230.00,42.05,19822.54,833538.00,在售,住宅
29号楼B座1102a,82.09,17865.00,63.07,23252.54,1466538.00,在售,住宅
29号楼B座1101b,54.72,15230.00,42.05,19818.93,833386.00,在售,住宅
29号楼B座1101a,82.09,17865.00,63.07,23252.54,1466538.00,在售,住宅
29号楼B座1003b,57.62,15200.00,44.27,19783.69,875824.00,在售,住宅
