房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋29层29D,125.64,47493.37,102.18,58397.60,5967067.00,在售,住宅
4栋29层29C,94.87,47166.36,77.15,57999.65,4474673.00,在售,住宅
4栋29层29B,94.87,47248.11,77.15,58100.17,4482428.00,在售,住宅
4栋29层29A,95.75,48903.60,77.86,60140.25,4682520.00,在售,住宅
4栋28层28D,125.64,47432.06,102.18,58322.22,5959364.00,在售,住宅
4栋28层28C,94.87,47105.05,77.15,57924.25,4468856.00,在售,住宅
4栋28层28B,94.87,47186.80,77.15,58024.78,4476612.00,在售,住宅
4栋28层28A,95.75,48842.29,77.86,60064.85,4676649.00,在售,住宅
4栋27层27D,125.64,47370.74,102.18,58246.82,5951660.00,在售,住宅
4栋26层26D,125.64,47309.42,102.18,58171.42,5943956.00,在售,住宅
4栋25层25D,125.64,47248.11,102.18,58096.04,5936253.00,在售,住宅
4栋24层24D,125.64,47186.80,102.18,58020.64,5928549.00,在售,住宅
4栋23层23D,125.64,47125.49,102.18,57945.25,5920846.00,在售,住宅
4栋22层22D,125.64,47064.17,102.18,57869.86,5913142.00,在售,住宅
4栋21层21D,125.64,47002.86,102.18,57794.47,5905439.00,在售,住宅
4栋20层20D,125.64,46941.54,102.18,57719.07,5897735.00,在售,住宅
4栋19层19D,125.64,46890.45,102.18,57656.25,5891316.00,在售,住宅
4栋18层18D,125.64,46839.35,102.18,57593.42,5884896.00,在售,住宅
4栋17层17D,125.64,46788.26,102.18,57530.60,5878477.00,在售,住宅
4栋16层16D,125.64,46737.16,102.18,57467.77,5872057.00,在售,住宅
4栋15层15D,125.64,46686.06,102.18,57404.94,5865637.00,在售,住宅
4栋14层14D,125.64,46634.97,102.18,57342.12,5859218.00,在售,住宅
4栋13层13D,125.64,46583.87,102.18,57279.29,5852798.00,在售,住宅
4栋12层12D,125.64,46532.78,102.18,57216.46,5846378.00,在售,住宅
4栋11层11D,125.64,46481.69,102.18,57153.64,5839959.00,在售,住宅
4栋10层10D,125.64,46532.78,102.18,57216.46,5846378.00,在售,住宅
4栋9层9D,125.64,46430.59,102.18,57090.81,5833539.00,在售,住宅
4栋8层8D,125.64,46328.40,102.18,56965.16,5820700.00,在售,住宅
4栋7层7D,125.64,46226.21,102.18,56839.51,5807861.00,在售,住宅
4栋6层6D,125.64,46124.02,102.18,56713.86,5795022.00,在售,住宅
