房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋F座305,88.81,13321.20,66.44,17806.38,1183056.39,已产权备案,住宅
1栋F座405,88.75,12687.70,66.40,16958.34,1126034.05,已产权备案,住宅
1栋F座505,88.80,13422.76,66.44,17940.12,1191941.60,已产权备案,住宅
1栋F座605,88.75,12789.16,66.40,17093.95,1135038.39,已产权备案,住宅
1栋F座705,88.80,13524.22,66.44,18075.72,1200951.01,已产权备案,住宅
1栋F座805,88.75,12890.62,66.40,17229.55,1144042.73,已产权备案,住宅
1栋F座905,88.80,13625.68,66.44,18211.32,1209960.42,已产权备案,住宅
1栋F座1005,88.75,12992.07,66.40,17365.16,1153047.06,已产权备案,住宅
1栋F座1105,88.80,13706.84,66.44,18319.80,1217167.95,已产权备案,住宅
1栋F座1205,88.75,13052.95,66.40,17446.53,1158449.67,已产权备案,住宅
1栋F座1305,88.80,13767.72,66.44,18401.16,1222573.60,已产权备案,住宅
1栋F座1405,88.75,13113.82,66.40,17527.89,1163852.27,已产权备案,住宅
1栋F座1505,88.80,13828.59,66.44,18482.52,1227979.24,已产权备案,住宅
1栋F座1605,88.75,13174.70,66.40,17609.26,1169254.87,已产权备案,住宅
1栋F座1705,88.80,13889.46,66.44,18563.89,1233384.89,已产权备案,住宅
1栋F座1805,88.75,13235.57,66.40,17690.62,1174657.48,已签预售合同,住宅
1栋F座1905,88.80,13950.34,66.44,18645.25,1238790.54,已产权备案,住宅
1栋F座2005,88.75,13296.45,66.40,17771.98,1180060.08,已产权备案,住宅
1栋F座2105,88.80,13990.92,66.44,18699.49,1242394.30,已产权备案,住宅
1栋F座2205,88.75,13316.74,66.40,17799.11,1181860.95,已产权备案,住宅
1栋F座2305,88.80,14011.21,66.44,18726.61,1244196.19,已产权备案,住宅
1栋F座2405,88.75,13337.03,66.40,17826.23,1183661.82,已产权备案,住宅
1栋F座2505,88.80,14031.50,66.44,18753.73,1245998.07,已产权备案,住宅
1栋F座2605,88.75,13357.32,66.40,17853.35,1185462.68,已产权备案,住宅
1栋F座2705,88.80,14051.80,66.44,18780.85,1247799.95,已产权备案,住宅
宅
1栋D座2703,89.17,14908.25,66.53,19981.49,1329369.00,已产权备案,住宅
1栋D座2702,88.84,13497.90,66.28,18092.24,1199154.00,已产权备案,住宅
1栋D座2701,88.84,13563.96,66.28,18180.79,1205023.00,已产权备案,住宅
1栋D座2604,88.45,14159.59,65.99,18978.87,1252416.00,已产权备案,住宅
1栋D座2603,89.12,14152.98,66.49,18969.98,1261314.00,已产权备案,住宅
1栋D座2602,88.79,12868.16,66.24,17248.85,1142564.00,已产权备案,住宅
1栋D座2601,88.79,12933.11,66.24,17335.91,1148331.00,已产权备案,住宅
1栋D座2504,88.51,14892.83,66.03,19963.12,1318165.00,已产权备案,住宅
1栋D座2503,89.17,14886.23,66.53,19951.99,1327406.00,已产权备案,住宅
1栋D座2502,88.84,13475.88,66.28,18062.73,1197198.00,已产权备案,住宅
1栋D座2501,88.84,13541.95,66.28,18151.28,1203067.00,已产权备案,住宅
1栋D座2404,88.45,14137.58,65.99,18949.37,1250469.00,已产权备案,住宅
1栋D座2403,89.12,14130.96,66.49,18940.47,1259352.00,已产权备案,住宅
1栋D座2402,88.79,12846.13,66.24,17219.32,1140608.00,已产权备案,住宅
1栋D座2401,88.79,12911.09,66.24,17306.40,1146376.00,已产权备案,住宅
1栋D座2304,88.51,14870.81,66.03,19933.60,1316216.00,已产权备案,住宅
1栋D座2303,89.17,14864.21,66.53,19922.47,1325442.00,已产权备案,住宅
1栋D座2302,88.84,13453.87,66.28,18033.22,1195242.00,已产权备案,住宅
1栋D座2301,88.84,13519.93,66.28,18121.77,1201111.00,已产权备案,住宅
1栋D座2204,88.45,14115.55,65.99,18919.85,1248521.00,已产权备案,住宅
1栋D座2203,89.12,14108.95,66.49,18910.96,1257390.00,已产权备案,住宅
1栋D座2202,88.79,12824.11,66.24,17189.80,1138653.00,已产权备案,住宅
1栋D座2201,88.79,12889.07,66.24,17276.88,1144421.00,已产权备案,住宅
1栋D座2104,88.51,14848.79,66.03,19904.08,1314267.00,已产权备案,住宅
1栋D座2103,89.17,14842.20,66.53,19892.96,1323479.00,已产权备案,住宅
1栋D座2102,88.84,13431.85,66.28,18003.71,1193286.00,已产权备案,住宅
1栋D座2101,88.84,13497.90,66.28,18092.24,1199154.00,已产权备案,住宅
1栋D座2004,88.45,14093.53,65.99,18890.33,1246573.00,已产权备案,住宅
1栋D座2003,89.12,14086.92,66.49,18881.44,1255427.00,已产权备案,住宅
1栋D座2002,88.79,12802.09,66.24,17160.29,1136698.00,已产权备案,住宅
1栋D座2001,88.79,12867.05,66.24,17247.37,1142466.00,已产权备案,住宅
1栋D座1904,88.51,14804.76,66.03,19845.07,1310370.00,已产权备案,住宅
1栋D座1903,89.17,14798.16,66.53,19833.93,1319552.00,已产权备案,住宅
1栋D座1902,88.84,13387.80,66.28,17944.67,1189373.00,已产权备案,住宅
1栋D座1901,88.84,13453.87,66.28,18033.22,1195242.00,已产权备案,住宅
