房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋商业31,397.79,23500.00,377.78,24744.73,9348065.00,在售,商铺
2栋商业30,69.54,23500.00,66.04,24745.45,1634190.00,在售,商铺
2栋商业27,124.22,23500.00,115.07,25368.64,2919170.00,在售,商铺
2栋商业26,108.91,23500.00,100.89,25368.07,2559385.00,在售,商铺
2栋商业25,118.09,23500.00,112.15,24744.67,2775115.00,在售,商铺
1栋F座3205,88.95,16528.74,66.40,22142.04,1470232.00,已产权备案,住宅
1栋F座3204,78.50,16988.50,58.60,22757.64,1333598.00,已产权备案,住宅
1栋F座3203,89.78,17218.38,67.02,23065.75,1545867.00,已产权备案,住宅
1栋F座3202,88.87,16528.74,66.34,22142.14,1468910.00,已产权备案,住宅
1栋F座3201,89.70,17908.04,66.96,23989.72,1606352.00,已产权备案,住宅
1栋F座3105,89.00,17293.11,66.44,23165.06,1539087.00,已产权备案,住宅
1栋F座3104,78.55,17712.65,58.64,23726.62,1391329.00,已产权备案,住宅
1栋F座3103,89.83,18110.34,67.06,24259.64,1626852.00,已产权备案,住宅
1栋F座3102,88.91,17420.69,66.38,23333.44,1548874.00,已产权备案,住宅
1栋F座3101,89.74,18931.04,67.00,25356.29,1698872.00,已产权备案,住宅
1栋F座3005,88.95,16505.75,66.40,22111.25,1468187.00,已产权备案,住宅
1栋F座3004,78.50,16965.52,58.60,22726.86,1331794.00,已产权备案,住宅
1栋F座3003,89.78,17195.41,67.02,23034.97,1543804.00,已产权备案,住宅
1栋F座3002,88.87,16505.74,66.34,22111.33,1466866.00,已产权备案,住宅
1栋F座3001,89.70,17885.06,66.96,23958.93,1604290.00,已产权备案,住宅
1栋F座2905,89.00,22986.00,66.44,30790.00,2045754.00,已产权备案,住宅
1栋F座2904,78.55,17689.66,58.64,23695.82,1389523.00,已产权备案,住宅
1栋F座2903,89.83,18087.36,67.06,24228.86,1624788.00,已产权备案,住宅
1栋F座2902,88.91,17397.70,66.38,23302.65,1546830.00,已产权备案,住宅
1栋F座2901,89.74,18908.05,67.00,25325.50,1696809.00,已产权备案,住宅
1栋F座2805,88.95,16482.76,66.40,22080.45,1466142.00,已产权备案,住宅
1栋F座2804,78.50,16942.53,58.60,22696.05,1329989.00,已产权备案,住宅
1栋F座2803,89.78,17172.42,67.02,23004.17,1541740.00,已产权备案,住宅
1栋F座2802,88.87,16482.76,66.34,22080.53,1464823.00,已产权备案,住宅
1栋F座2801,89.70,17862.07,66.96,23928.13,1602228.00,已产权备案,住宅
