房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋B座32D,141.14,22945.88,112.42,28807.87,3238581.83,在售,住宅
2栋B座32C,85.13,22909.41,67.80,28765.16,1950278.22,在售,住宅
2栋B座32B,80.49,22320.00,64.11,28022.72,1796536.80,在售,住宅
2栋B座32A,142.75,23640.00,113.70,29679.94,3374610.00,在售,住宅
2栋B座31D,141.63,22910.58,112.80,28766.19,3244826.61,在售,住宅
2栋B座31C,86.99,22897.64,69.29,28746.80,1991866.31,在售,住宅
2栋B座31B,80.49,22308.23,64.11,28007.95,1795589.85,在售,住宅
2栋B座31A,142.75,23604.70,113.70,29635.63,3369571.76,在售,住宅
2栋B座30D,142.12,22875.29,113.20,28719.40,3251036.80,在售,住宅
2栋B座30C,87.80,22885.88,69.93,28734.16,2009380.47,在售,住宅
2栋B座30B,81.29,22296.47,64.75,27991.97,1812480.09,在售,住宅
2栋B座30A,142.75,23569.41,113.70,29591.32,3364533.52,在售,住宅
2栋B座29D,142.07,22840.00,113.15,28677.67,3244878.80,在售,住宅
2栋B座29C,87.27,22874.11,69.51,28718.51,1996224.24,在售,住宅
2栋B座29B,80.95,22284.70,64.48,27976.84,1803946.94,在售,住宅
2栋B座29A,142.75,23534.11,113.70,29547.01,3359495.29,在售,住宅
2栋B座28D,142.56,22804.70,113.55,28630.90,3251038.87,在售,住宅
2栋B座28C,87.80,22862.35,69.93,28704.62,2007314.58,在售,住宅
2栋B座28B,81.76,22272.94,65.12,27964.30,1821035.67,在售,住宅
2栋B座28A,142.75,23498.82,113.70,29502.70,3354457.05,在售,住宅
2栋B座27D,142.07,22769.41,113.15,28589.04,3234850.32,在售,住宅
2栋B座27C,87.27,22850.58,69.51,28688.97,1994170.83,在售,住宅
2栋B座27B,80.95,22261.17,64.48,27947.30,1802042.23,在售,住宅
2栋B座27A,142.75,23463.52,113.70,29458.38,3349418.82,在售,住宅
2栋B座26D,142.56,22734.11,113.55,28542.27,3240975.81,在售,住宅
2栋B座26C,87.80,22838.82,69.93,28675.08,2005248.70,在售,住宅
2栋B座26B,81.76,22249.41,65.12,27934.76,1819111.90,在售,住宅
2栋B座26A,142.75,23428.23,113.70,29414.07,3344380.58,在售,住宅
2栋B座25D,142.07,22698.82,113.15,28500.41,3224821.85,在售,住宅
2栋B座25C,87.27,22827.05,69.51,28659.43,1992117.42,在售,住宅
2栋B座25B,80.95,22237.64,64.48,27917.76,1800137.52,在售,住宅
2栋B座25A,142.75,23392.94,113.70,29369.76,3339342.35,在售,住宅
2栋B座24D,142.56,22663.52,113.55,28453.65,3230912.75,在售,住宅
2栋B座24C,87.80,22768.23,69.93,28586.45,1999051.05,在售,住宅
2栋B座24B,81.76,22178.82,65.12,27846.13,1813340.61,在售,住宅
2栋B座24A,142.75,23334.11,113.70,29295.91,3330945.29,在售,住宅
2栋B座23D,142.07,22628.23,113.15,28411.78,3214793.38,在售,住宅
2栋B座23C,87.27,22709.41,69.51,28511.73,1981850.36,在售,住宅
2栋B座23B,80.95,22120.00,64.48,27770.06,1790614.00,在售,住宅
2栋B座23A,142.75,23275.29,113.70,29222.06,3322548.23,在售,住宅
