房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋3938,86.13,41200.00,54.04,65665.36,3548556.00,在售,公寓
3栋3838,83.55,41100.00,54.04,63543.76,3433905.00,在售,公寓
3栋3638,83.55,40900.00,54.04,63234.55,3417195.00,在售,公寓
3栋3538,83.55,40868.00,54.04,63185.07,3414521.40,在售,公寓
3栋3438,83.55,40783.00,54.04,63053.66,3407419.65,在售,公寓
3栋3338,83.55,40600.00,54.04,62770.73,3392130.00,在售,公寓
3栋3138,83.55,40500.00,54.04,62616.12,3383775.00,在售,公寓
3栋3038,83.55,40400.00,54.04,62461.51,3375420.00,在售,公寓
3栋2938,83.55,40359.00,54.04,62398.12,3371994.45,在售,公寓
3栋2838,83.55,40274.00,54.04,62266.70,3364892.70,在售,公寓
3栋3937,85.65,41200.00,53.73,65676.16,3528780.00,在售,公寓
3栋3837,83.09,41100.00,53.73,63558.51,3414999.00,在售,公寓
3栋3637,83.09,40953.00,53.73,63331.19,3402784.77,在售,公寓
3栋3537,83.09,40868.00,53.73,63199.74,3395722.12,在售,公寓
3栋3437,83.09,40783.00,53.73,63068.29,3388659.47,在售,公寓
3栋3337,83.09,40699.00,53.73,62938.39,3381679.91,在售,公寓
3栋3137,83.09,40500.00,53.73,62630.65,3365145.00,在售,公寓
3栋3037,83.09,40400.00,53.73,62476.01,3356836.00,在售,公寓
3栋2937,83.09,40320.00,53.73,62352.29,3350188.80,在售,公寓
3栋2837,83.09,40274.00,53.73,62281.16,3346366.66,在售,公寓
3栋3936,90.78,43980.00,57.78,69098.38,3992504.40,在售,公寓
3栋3836,88.07,40900.00,57.78,62341.00,3602063.00,在售,公寓
3栋3736,88.16,41000.00,54.04,66886.75,3614560.00,在售,公寓
3栋3636,88.07,40762.00,57.78,62130.66,3589909.34,在售,公寓
3栋3536,88.07,40660.00,57.78,61975.19,3580926.20,在售,公寓
3栋3436,88.07,40592.00,57.78,61871.54,3574937.44,在售,公寓
3栋3336,88.07,47712.00,57.78,72724.06,4201996.00,在售,公寓
3栋3236,88.16,40600.00,54.04,66234.20,3579296.00,在售,公寓
3栋3136,88.07,40300.00,57.78,61426.46,3549221.00,在售,公寓
3栋3036,88.07,47412.00,57.78,72266.79,4175575.00,在售,公寓
