房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋D座2611,42.28,35797.00,29.04,52118.00,1513498.00,在售,商务公寓
1栋D座2610,39.90,34597.00,27.41,50362.00,1380421.00,在售,商务公寓
1栋D座2609,47.95,36497.00,32.93,53145.00,1750032.00,在售,商务公寓
1栋D座2608,67.59,32797.00,46.43,47744.00,2216750.00,在售,商务公寓
1栋D座2607,67.09,34197.00,46.08,49789.00,2294277.00,在售,商务公寓
1栋D座2606,39.91,35797.00,27.42,52103.00,1428659.00,在售,商务公寓
1栋D座2605,47.94,37597.00,32.93,54735.00,1802401.00,在售,商务公寓
1栋D座2603,47.94,37797.00,32.93,55026.00,1811989.00,在售,商务公寓
1栋D座2602,39.90,36097.00,27.41,52546.00,1440271.00,在售,商务公寓
1栋D座2601,42.28,36797.00,29.04,53574.00,1555778.00,在售,商务公寓
1栋D座2511,42.28,35997.00,29.04,52409.00,1521954.00,在售,商务公寓
1栋D座2510,39.90,34797.00,27.41,50654.00,1388401.00,在售,商务公寓
1栋D座2509,47.95,36697.00,32.93,53436.00,1759622.00,在售,商务公寓
1栋D座2508,67.59,32997.00,46.43,48036.00,2230268.00,在售,商务公寓
1栋D座2507,67.09,34397.00,46.08,50081.00,2307695.00,在售,商务公寓
1栋D座2506,39.91,35997.00,27.42,52394.00,1436641.00,在售,商务公寓
1栋D座2505,47.94,37797.00,32.93,55026.00,1811989.00,在售,商务公寓
1栋D座2502,39.90,36297.00,27.41,52837.00,1448251.00,在售,商务公寓
1栋D座2501,42.28,36997.00,29.04,53865.00,1564234.00,在售,商务公寓
1栋D座2411,42.28,35997.00,29.04,52409.00,1521954.00,在售,商务公寓
1栋D座2410,39.90,34797.00,27.41,50654.00,1388401.00,在售,商务公寓
1栋D座2409,47.95,36697.00,32.93,53436.00,1759622.00,在售,商务公寓
1栋D座2408,67.59,32997.00,46.43,48036.00,2230268.00,在售,商务公寓
1栋D座2407,67.09,34397.00,46.08,50081.00,2307695.00,在售,商务公寓
1栋D座2406,39.91,35997.00,27.42,52394.00,1436641.00,在售,商务公寓
1栋D座2405,47.94,37797.00,32.93,55026.00,1811989.00,在售,商务公寓
1栋D座2403,47.94,37997.00,32.93,55317.00,1821577.00,在售,商务公寓
1栋D座2402,39.90,36297.00,27.41,52837.00,1448251.00,在售,商务公寓
1栋D座2401,42.28,36997.00,29.04,53865.00,1564234.00,在售,商务公寓
1栋D座2311,42.28,35997.00,29.04,52409.00,1521954.00,在售,商务公寓
1栋D座2310,39.90,34797.00,27.41,50654.00,1388401.00,在售,商务公寓
1栋D座2309,47.95,36697.00,32.93,53436.00,1759622.00,在售,商务公寓
1栋D座2308,67.59,32997.00,46.43,48036.00,2230268.00,在售,商务公寓
1栋D座2307,67.09,34397.00,46.08,50081.00,2307695.00,在售,商务公寓
1栋D座2306,39.91,35997.00,27.42,52394.00,1436641.00,在售,商务公寓
1栋D座2305,47.94,37797.00,32.93,55026.00,1811989.00,在售,商务公寓
1栋D座2303,47.94,37997.00,32.93,55317.00,1821577.00,在售,商务公寓
1栋D座2302,39.90,36297.00,27.41,52837.00,1448251.00,在售,商务公寓
1栋D座2211,42.28,35997.00,29.04,52409.00,1521954.00,在售,商务公寓
1栋D座2210,39.90,34797.00,27.41,50654.00,1388401.00,在售,商务公寓
1栋D座2209,47.95,36697.00,32.93,53436.00,1759622.00,在售,商务公寓
1栋D座2208,67.59,32997.00,46.43,48036.00,2230268.00,在售,商务公寓
1栋D座2207,67.09,34397.00,46.08,50081.00,2307695.00,在售,商务公寓
1栋D座2206,39.91,35997.00,27.42,52394.00,1436641.00,在售,商务公寓
1栋D座2205,47.94,37797.00,32.93,55026.00,1811989.00,在售,商务公寓
1栋D座2203,47.94,37997.00,32.93,55317.00,1821577.00,在售,商务公寓
1栋D座2202,39.90,36297.00,27.41,52837.00,1448251.00,在售,商务公寓
1栋D座2201,42.28,36997.00,29.04,53865.00,1564234.00,在售,商务公寓
1栋D座2111,42.28,35997.00,29.04,52409.00,1521954.00,在售,商务公寓
1栋D座2110,39.90,34797.00,27.41,50654.00,1388401.00,在售,商务公寓
1栋D座2109,47.95,36697.00,32.93,53436.00,1759622.00,在售,商务公寓
1栋D座2108,67.59,32997.00,46.43,48036.00,2230268.00,在售,商务公寓
1栋D座2107,67.09,34397.00,46.08,50081.00,2307695.00,在售,商务公寓
1栋D座2106,39.91,35997.00,27.42,52394.00,1436641.00,在售,商务公寓
1栋D座2105,47.94,37797.00,32.93,55026.00,1811989.00,在售,商务公寓
1栋D座2103,47.94,37997.00,32.93,55317.00,1821577.00,在售,商务公寓
1栋D座2102,39.90,36297.00,27.41,52837.00,1448251.00,在售,商务公寓
1栋D座2101,42.28,36997.00,29.04,53865.00,1564234.00,在售,商务公寓
1栋D座2011,42.28,35997.00,29.04,52409.00,1521954.00,在售,商务公寓
1栋D座2010,39.90,34797.00,27.41,50654.00,1388401.00,在售,商务公寓
