房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋B座40E,71.46,63328.36,55.43,81642.52,4525445.18,在售,住宅
2栋B座39E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座38E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座37E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座36E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座35E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座34E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座32E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座31E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座30E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座29E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座28E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座27E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座26E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座25E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座24E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座23E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座22E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座21E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座20E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座19E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座18E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座16E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座15E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座14E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座13E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座12E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座11E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座10E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座9E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座8E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座7E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座6E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座5E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座4E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座3E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座2E,73.08,52028.36,55.43,68595.22,3802233.14,在售,住宅
2栋B座40D,71.47,63031.16,55.44,81256.08,4504837.58,在售,住宅
2栋B座39D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座38D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座37D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座36D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座35D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座34D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座32D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座31D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座30D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座29D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座28D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座27D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
