房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋B单元105,85.65,78679.00,67.87,99290.00,6738856.00,在售,住宅
4栋B单元205,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元305,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元405,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元505,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元605,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元705,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元805,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元905,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元1005,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元1105,86.96,23565.16,67.87,30193.40,2049226.50,在售,住宅
4栋B单元1205,86.96,24165.16,67.87,30962.17,2101402.50,在售,住宅
4栋B单元1305,86.96,24165.16,67.87,30962.17,2101402.50,在售,住宅
4栋B单元1405,86.96,24165.16,67.87,30962.17,2101402.50,在售,住宅
4栋B单元1505,86.95,24165.16,67.87,30958.60,2101160.85,在售,住宅
4栋B单元1605,86.95,24165.16,67.87,30958.60,2101160.85,在售,住宅
4栋B单元1705,86.95,24165.16,67.87,30958.60,2101160.85,在售,住宅
4栋B单元1805,86.95,24165.16,67.87,30958.60,2101160.85,在售,住宅
4栋B单元1905,86.95,24165.16,67.87,30958.60,2101160.85,在售,住宅
4栋B单元2005,86.95,24165.16,67.87,30958.60,2101160.85,在售,住宅
4栋B单元2105,86.95,24165.16,67.87,30958.60,2101160.85,在售,住宅
4栋B单元2205,86.95,24165.16,67.87,30958.60,2101160.85,在售,住宅
4栋B单元2305,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元2405,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元2505,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元2605,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元2705,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元2805,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元2905,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元3005,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元3105,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元3205,86.95,24765.16,67.87,31727.28,2153330.85,在售,住宅
4栋B单元3305,86.96,24765.16,67.87,31730.93,2153578.50,在售,住宅
4栋B单元103,85.09,78962.00,67.43,99642.00,6718876.00,在售,住宅
4栋B单元203,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元303,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元403,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元503,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元603,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元703,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元803,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元903,86.39,21845.00,67.43,27987.00,1887189.00,在售,住宅
4栋B单元1003,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元1103,86.39,23236.26,67.43,29769.84,2007380.78,在售,住宅
4栋B单元1203,86.39,22360.00,67.43,28647.00,1931680.00,在售,住宅
4栋B单元1303,86.39,23836.26,67.43,30538.55,2059214.78,在售,住宅
4栋B单元1403,86.39,23836.26,67.43,30538.55,2059214.78,在售,住宅
4栋B单元1503,86.44,23836.26,67.47,30538.11,2060406.59,在售,住宅
4栋B单元1603,86.44,23836.26,67.47,30538.11,2060406.59,在售,住宅
4栋B单元1703,86.44,23836.26,67.47,30538.11,2060406.59,在售,住宅
4栋B单元1803,86.44,23836.26,67.47,30538.11,2060406.59,在售,住宅
4栋B单元1903,86.44,23836.26,67.47,30538.11,2060406.59,在售,住宅
4栋B单元2003,86.44,23836.26,67.47,30538.11,2060406.59,在售,住宅
4栋B单元2103,86.44,23836.26,67.47,30538.11,2060406.59,在售,住宅
4栋B单元2203,86.44,23836.26,67.47,30538.11,2060406.59,在售,住宅
