房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋129,47.91,94189.00,42.77,105508.41,4512595.00,在售,商业
2栋128,63.90,91189.00,57.05,102138.08,5826978.00,在售,商业
2栋127,58.03,88189.00,51.81,98776.45,5117608.00,在售,商业
2栋126,58.99,87189.00,52.66,97669.57,5143280.00,在售,商业
2栋125,54.54,88189.00,48.69,98784.74,4809829.00,在售,商业
2栋123,105.22,78189.00,93.93,87587.00,8227047.00,在售,商业
2栋122,44.12,94239.00,39.39,105555.34,4157825.00,在售,商业
2栋121,36.67,93239.00,32.74,104431.12,3419075.00,在售,商业
2栋120,61.56,78530.00,54.95,87976.46,4834307.00,在售,商业
2栋119,57.92,72530.00,51.71,81240.34,4200938.00,在售,商业
2栋118,96.06,69530.00,85.76,77880.73,6679052.00,在售,商业
2栋117,74.30,65530.00,66.33,73403.87,4868879.00,在售,商业
2栋116,46.69,64530.00,41.68,72286.61,3012906.00,在售,商业
2栋115,48.48,63530.00,43.28,71163.00,3079935.00,在售,商业
2栋113,48.48,62530.00,43.28,70042.86,3031455.00,在售,商业
2栋112,48.48,62530.00,43.28,70042.86,3031455.00,在售,商业
2栋111,48.48,63530.00,43.28,71163.00,3079935.00,在售,商业
2栋110,48.48,64530.00,43.28,72283.15,3128415.00,在售,商业
2栋109,54.08,65530.00,48.28,73402.29,3543863.00,在售,商业
2栋108,55.91,68530.00,49.92,76753.06,3831513.00,在售,商业
2栋107,61.23,72530.00,54.66,81247.93,4441012.00,在售,商业
2栋106,44.84,71307.00,40.03,79875.24,3197406.00,在售,商业
2栋105,57.85,77307.00,51.64,86603.60,4472210.00,在售,商业
2栋103,51.00,72307.00,45.53,80994.00,3687657.00,在售,商业
2栋102,30.09,71307.00,26.86,79881.90,2145628.00,在售,商业
2栋101,19.45,94807.00,17.37,106159.87,1843997.00,在售,商业
1栋107,45.41,69307.00,43.70,72019.01,3147231.00,在售,商业
1栋106,49.34,70307.00,47.48,73061.24,3468948.00,在售,商业
1栋105,40.12,71307.00,38.61,74095.75,2860837.00,在售,商业
1栋103,34.12,72307.00,32.83,75148.18,2467115.00,在售,商业
1栋102,26.16,75807.00,25.18,78757.42,1983112.00,在售,商业
1栋101,23.65,78807.00,22.76,81888.66,1863786.00,在售,商业
2B106,88.45,45597.00,69.51,58021.21,4033055.00,在售,住宅
2B206,88.94,46397.00,69.89,59043.49,4126550.00,在售,住宅
