房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋F座3207,91.52,43102.00,69.07,57112.00,3944696.00,在售,住宅
1栋F座3206,121.11,44702.00,91.41,59227.00,5413860.00,在售,住宅
1栋F座3202,76.37,44502.00,57.65,58953.00,3398618.00,在售,住宅
1栋F座3201,69.08,45302.00,52.14,60021.00,3129463.00,在售,住宅
1栋F座3107,91.52,43402.00,69.07,57510.00,3972152.00,在售,住宅
1栋F座3106,121.11,45002.00,91.41,59624.00,5450193.00,在售,住宅
1栋F座3102,76.37,44802.00,57.65,59351.00,3421529.00,在售,住宅
1栋F座3007,91.52,43402.00,69.07,57510.00,3972152.00,在售,住宅
1栋F座2907,91.52,43402.00,69.07,57510.00,3972152.00,在售,住宅
1栋F座2906,121.11,45002.00,91.41,59624.00,5450193.00,在售,住宅
1栋F座2807,91.52,43402.00,69.07,57510.00,3972152.00,在售,住宅
1栋F座2806,121.11,45002.00,91.41,59624.00,5450193.00,在售,住宅
1栋F座2707,91.52,43402.00,69.07,57510.00,3972152.00,在售,住宅
1栋F座2607,91.52,43402.00,69.07,57510.00,3972152.00,在售,住宅
1栋F座2606,121.11,45002.00,91.41,59624.00,5450193.00,在售,住宅
1栋F座2505,68.78,46702.00,51.91,61880.00,3212164.00,在售,住宅
1栋F座2503,76.38,45402.00,57.65,60153.00,3467805.00,在售,住宅
1栋F座2502,76.37,44802.00,57.65,59351.00,3421529.00,在售,住宅
1栋F座2406,121.11,45002.00,91.41,59624.00,5450193.00,在售,住宅
1栋F座2402,76.37,44802.00,57.65,59351.00,3421529.00,在售,住宅
1栋F座2302,76.37,44802.00,57.65,59351.00,3421529.00,在售,住宅
1栋F座2206,121.11,45002.00,91.41,59624.00,5450193.00,在售,住宅
1栋F座2203,76.38,45402.00,57.65,60153.00,3467805.00,在售,住宅
1栋F座2106,121.11,45002.00,91.41,59624.00,5450193.00,在售,住宅
1栋F座2007,91.52,43402.00,69.07,57510.00,3972152.00,在售,住宅
1栋F座2003,76.38,45402.00,57.65,60153.00,3467805.00,在售,住宅
1栋F座1906,121.11,45002.00,91.41,59624.00,5450193.00,在售,住宅
1栋F座1902,76.37,44802.00,57.65,59351.00,3421529.00,在售,住宅
1栋F座1803,76.38,45402.00,57.65,60153.00,3467805.00,在售,住宅
1栋F座1707,91.52,43402.00,69.07,57510.00,3972152.00,在售,住宅
1栋F座1701,69.08,45602.00,52.14,60418.00,3150187.00,在售,住宅
1栋F座1606,121.11,44102.00,91.41,58432.00,5341194.00,在售,住宅
1栋F座1603,76.38,44502.00,57.65,58961.00,3399063.00,在售,住宅
1栋F座1506,121.11,44102.00,91.41,58432.00,5341194.00,在售,住宅
1栋F座1503,76.38,44502.00,57.65,58961.00,3399063.00,在售,住宅
1栋F座1307,91.52,42502.00,69.07,56317.00,3889784.00,在售,住宅
1栋F座1305,68.78,45802.00,51.91,60687.00,3150262.00,在售,住宅
1栋F座1206,121.11,44102.00,91.41,58432.00,5341194.00,在售,住宅
1栋F座1203,76.38,44502.00,57.65,58961.00,3399063.00,在售,住宅
1栋F座1107,91.52,42502.00,69.07,56317.00,3889784.00,在售,住宅
1栋F座1102,76.37,43902.00,57.65,58158.00,3352796.00,在售,住宅
1栋F座1007,91.52,42502.00,69.07,56317.00,3889784.00,在售,住宅
1栋F座1006,121.11,44102.00,91.41,58432.00,5341194.00,在售,住宅
1栋F座1003,76.38,44502.00,57.65,58961.00,3399063.00,在售,住宅
1栋F座1002,76.37,43902.00,57.65,58158.00,3352796.00,在售,住宅
1栋F座907,91.52,42502.00,69.07,56317.00,3889784.00,在售,住宅
1栋F座906,121.11,44102.00,91.41,58432.00,5341194.00,在售,住宅
1栋F座807,91.52,42502.00,69.07,56317.00,3889784.00,在售,住宅
1栋F座806,121.11,44102.00,91.41,58432.00,5341194.00,在售,住宅
1栋F座802,76.37,43902.00,57.65,58158.00,3352796.00,在售,住宅
1栋F座706,121.11,44102.00,91.41,58432.00,5341194.00,在售,住宅
1栋F座701,69.08,44702.00,52.14,59226.00,3088015.00,在售,住宅
