房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
11号楼13B,309.80,50361.00,231.76,67318.94,15601837.80,在售,产业用房
11号楼13A,330.38,48661.00,247.15,65048.03,16076621.18,在售,产业用房
11号楼12C,320.67,50061.00,231.76,69265.88,16053060.87,在售,产业用房
11号楼12A,317.37,48361.00,229.37,66915.16,15348330.57,在售,产业用房
11号楼11D,230.93,49461.00,160.45,71187.46,11422028.73,在售,产业用房
11号楼11C,230.93,46961.00,160.45,67589.30,10844703.73,在售,产业用房
11号楼11B,230.93,48061.00,160.45,69172.49,11098726.73,在售,产业用房
11号楼11A,230.93,45561.00,160.45,65574.33,10521401.73,在售,产业用房
11号楼10D,230.93,49161.00,160.45,70755.68,11352749.73,在售,产业用房
11号楼10C,230.93,46661.00,160.45,67157.52,10775424.73,在售,产业用房
11号楼10B,230.93,48011.00,160.45,69100.53,11087180.23,在售,产业用房
11号楼10A,230.93,45511.00,160.45,65502.36,10509855.23,在售,产业用房
11号楼9D,230.93,49161.00,160.45,70755.68,11352749.73,在售,产业用房
11号楼9C,230.93,46661.00,160.45,67157.52,10775424.73,在售,产业用房
11号楼9B,230.93,48011.00,160.45,69100.53,11087180.23,在售,产业用房
11号楼9A,230.93,45511.00,160.45,65502.36,10509855.23,在售,产业用房
11号楼8D,230.93,49161.00,160.45,70755.68,11352749.73,在售,产业用房
11号楼8C,230.93,46661.00,160.45,67157.52,10775424.73,在售,产业用房
11号楼8B,230.93,48011.00,160.45,69100.53,11087180.23,在售,产业用房
11号楼8A,230.93,45511.00,160.45,65502.36,10509855.23,在售,产业用房
11号楼7D,230.93,48861.00,160.45,70323.90,11283470.73,在售,产业用房
11号楼7C,230.93,46361.00,160.45,66725.74,10706145.73,在售,产业用房
11号楼7B,230.93,47711.00,160.45,68668.75,11017901.23,在售,产业用房
11号楼7A,230.93,45211.00,160.45,65070.59,10440576.23,在售,产业用房
11号楼6D,230.93,48561.00,160.45,69892.12,11214191.73,在售,产业用房
11号楼6C,230.93,46061.00,160.45,66293.96,10636866.73,在售,产业用房
11号楼6B,230.93,47411.00,160.45,68236.97,10948622.23,在售,产业用房
11号楼6A,230.93,44911.00,160.45,64638.81,10371297.23,在售,产业用房
11号楼5D,230.93,48111.00,160.45,69244.45,11110273.23,在售,产业用房
11号楼5C,230.93,45611.00,160.45,65646.29,10532948.23,在售,产业用房
11号楼5B,230.93,47111.00,160.45,67805.19,10879343.23,在售,产业用房
11号楼5A,230.93,44611.00,160.45,64207.03,10302018.23,在售,产业用房
11号楼4D,230.93,47811.00,160.45,68812.67,11040994.23,在售,产业用房
11号楼4C,230.93,45311.00,160.45,65214.51,10463669.23,在售,产业用房
11号楼4B,230.93,46811.00,160.45,67373.41,10810064.23,在售,产业用房
11号楼4A,230.93,44311.00,160.45,63775.25,10232739.23,在售,产业用房
11号楼3D,230.93,47511.00,160.45,68380.89,10971715.23,在售,产业用房
11号楼3C,230.93,45011.00,160.45,64782.73,10394390.23,在售,产业用房
11号楼3B,230.93,46761.00,160.45,67301.45,10798517.73,在售,产业用房
11号楼3A,230.93,44261.00,160.45,63703.28,10221192.73,在售,产业用房
11号楼2D,230.93,47211.00,160.45,67949.11,10902436.23,在售,产业用房
11号楼2C,230.93,44711.00,160.45,64350.95,10325111.23,在售,产业用房
11号楼2B,230.93,46711.00,160.45,67229.48,10786971.23,在售,产业用房
11号楼2A,230.93,44211.00,160.45,63631.32,10209646.23,在售,产业用房
10号楼13B,309.80,51053.00,231.76,68243.95,15816219.40,在售,产业用房
10号楼13A,330.38,51303.00,247.15,68579.74,16949485.14,在售,产业用房
10号楼12B,320.67,50753.00,231.76,70223.35,16274964.51,在售,产业用房
10号楼12A,317.37,51003.00,229.37,70570.79,16186822.11,在售,产业用房
10号楼11D,230.93,50153.00,160.45,72183.43,11581832.29,在售,产业用房
10号楼11C,230.93,47653.00,160.45,68585.27,11004507.29,在售,产业用房
10号楼11B,230.93,50703.00,160.45,72975.03,11708843.79,在售,产业用房
10号楼11A,230.93,48203.00,160.45,69376.86,11131518.79,在售,产业用房
10号楼10D,230.93,49853.00,160.45,71751.65,11512553.29,在售,产业用房
10号楼10C,230.93,47353.00,160.45,68153.49,10935228.29,在售,产业用房
10号楼10B,230.93,50403.00,160.45,72543.25,11639564.79,在售,产业用房
10号楼10A,230.93,47903.00,160.45,68945.09,11062239.79,在售,产业用房
10号楼9D,230.93,49553.00,160.45,71319.87,11443274.29,在售,产业用房
10号楼9C,230.93,47053.00,160.45,67721.71,10865949.29,在售,产业用房
10号楼9B,230.93,50103.00,160.45,72111.47,11570285.79,在售,产业用房
10号楼9A,230.93,47603.00,160.45,68513.31,10992960.79,在售,产业用房
