房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋C座3227,52.09,24107.00,37.56,33433.60,1255766.00,在售,商务公寓
3栋C座3226,52.08,24146.74,37.55,33490.00,1257562.00,在售,商务公寓
3栋C座3225,51.87,24616.26,37.40,34140.00,1276845.00,在售,商务公寓
3栋C座3223,49.26,24092.00,35.52,33412.00,1186794.00,在售,商务公寓
3栋C座3222,49.29,23217.51,35.54,32200.00,1144391.00,在售,商务公寓
3栋C座3221,49.30,23038.77,35.54,31958.00,1135811.00,在售,商务公寓
3栋C座3220,49.48,22975.63,35.68,31861.00,1136834.00,在售,商务公寓
3栋C座3219,49.48,22975.63,35.68,31861.00,1136834.00,在售,商务公寓
3栋C座3218,49.24,22937.41,35.51,31806.00,1129438.00,在售,商务公寓
3栋C座3217,49.49,23077.03,35.69,32000.00,1142082.00,在售,商务公寓
3栋C座3216,49.49,23076.00,35.69,32000.00,1142080.00,在售,商务公寓
3栋C座3215,49.26,23268.19,35.52,32268.00,1146191.00,在售,商务公寓
3栋C座3213,51.88,24248.12,37.41,33627.00,1257992.00,在售,商务公寓
3栋C座3212,51.88,24184.99,37.41,33539.00,1254717.00,在售,商务公寓
3栋C座3127,52.09,24094.28,37.56,33415.00,1255071.00,在售,商务公寓
3栋C座3126,52.08,24133.42,37.55,33471.00,1256868.00,在售,商务公寓
3栋C座3125,51.87,24602.92,37.40,34121.00,1276153.00,在售,商务公寓
3栋C座3123,49.26,24074.73,35.52,33387.00,1185921.00,在售,商务公寓
3栋C座3122,49.29,23199.72,35.54,32175.00,1143514.00,在售,商务公寓
3栋C座3121,49.30,23020.98,35.54,31933.00,1134934.00,在售,商务公寓
3栋C座3120,49.48,22957.85,35.68,31837.00,1135954.00,在售,商务公寓
3栋C座3119,49.48,22957.85,35.68,31837.00,1135954.00,在售,商务公寓
3栋C座3118,49.24,22919.62,35.51,31781.00,1128562.00,在售,商务公寓
3栋C座3117,49.49,23059.23,35.69,31975.00,1141201.00,在售,商务公寓
3栋C座3116,49.49,23059.23,35.69,31975.00,1141201.00,在售,商务公寓
3栋C座3115,49.26,23250.41,35.52,32244.00,1145315.00,在售,商务公寓
3栋C座3113,51.88,24234.78,37.41,33608.00,1257300.00,在售,商务公寓
3栋C座3112,51.88,24171.65,37.41,33521.00,1254025.00,在售,商务公寓
3栋C座3028,53.67,23903.99,38.70,33150.00,1282927.00,在售,商务公寓
3栋C座3027,52.09,24080.94,37.56,33396.00,1254376.00,在售,商务公寓
3栋C座3026,52.08,24120.07,37.55,33453.00,1256173.00,在售,商务公寓
3栋C座3025,51.87,30736.95,37.40,42629.03,1594326.00,在售,商务公寓
3栋C座3023,49.26,24056.93,35.52,33362.00,1185044.00,在售,商务公寓
3栋C座3022,49.29,23181.95,35.54,32150.00,1142638.00,在售,商务公寓
3栋C座3021,49.30,23003.21,35.54,31909.00,1134058.00,在售,商务公寓
3栋C座3020,49.48,22940.06,35.68,31812.00,1135074.00,在售,商务公寓
3栋C座3019,49.48,22940.06,35.68,31812.00,1135074.00,在售,商务公寓
3栋C座3018,49.24,22901.83,35.51,31756.00,1127686.00,在售,商务公寓
3栋C座3017,49.49,23041.45,35.69,31950.00,1140321.00,在售,商务公寓
3栋C座3016,49.49,23041.45,35.69,31950.00,1140321.00,在售,商务公寓
3栋C座3015,49.26,23232.63,35.52,32219.00,1144439.00,在售,商务公寓
3栋C座3013,51.88,30276.79,37.41,41987.70,1570760.00,在售,商务公寓
3栋C座3012,51.88,24158.31,37.41,33502.00,1253333.00,在售,商务公寓
3栋C座2928,53.67,23890.65,38.70,33132.00,1282211.00,在售,商务公寓
3栋C座2927,52.09,24067.62,37.56,33378.00,1253682.00,在售,商务公寓
3栋C座2926,52.08,30133.41,37.55,41793.55,1569348.00,在售,商务公寓
3栋C座2925,51.87,30720.30,37.40,42605.93,1593462.00,在售,商务公寓
3栋C座2923,49.26,24039.14,35.52,33338.00,1184168.00,在售,商务公寓
3栋C座2922,49.29,23164.16,35.54,32126.00,1141761.00,在售,商务公寓
3栋C座2921,49.30,22985.44,35.54,31884.00,1133182.00,在售,商务公寓
3栋C座2920,49.48,22922.28,35.68,31787.00,1134194.00,在售,商务公寓
3栋C座2919,49.48,22922.28,35.68,31787.00,1134194.00,在售,商务公寓
3栋C座2918,49.24,22884.04,35.51,31732.00,1126810.00,在售,商务公寓
3栋C座2917,49.49,23023.67,35.69,31926.00,1139441.00,在售,商务公寓
3栋C座2916,49.49,23023.67,35.69,31926.00,1139441.00,在售,商务公寓
3栋C座2915,49.26,23214.84,35.52,32194.00,1143563.00,在售,商务公寓
3栋C座2913,51.88,24208.10,37.41,33571.00,1255916.00,在售,商务公寓
3栋C座2912,51.88,24144.97,37.41,33484.00,1252641.00,在售,商务公寓
3栋C座2828,53.67,23877.31,38.70,33113.00,1281495.00,在售,商务公寓
3栋C座2827,52.09,24054.26,37.56,33359.00,1252986.00,在售,商务公寓
