房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
7栋H座02,244.18,160699.56,223.39,175655.22,39239621.00,在售,住宅
7栋H座01,244.18,161770.89,223.39,176826.25,39501218.00,在售,住宅
7栋G座02,244.18,160699.56,223.39,175655.22,39239621.00,在售,住宅
7栋G座01,244.18,160699.56,223.39,175655.22,39239621.00,在售,住宅
7栋F座02,244.18,161770.89,223.39,176826.25,39501218.00,在售,住宅
7栋F座01,244.18,159628.23,223.39,174484.18,38978023.00,在售,住宅
7栋E座02,244.18,160699.56,223.39,175655.22,39239621.00,在售,住宅
7栋E座01,244.18,158235.51,223.39,172961.84,38637947.00,在售,住宅
7栋D座3802,308.63,121078.55,225.49,165721.20,37368474.00,在售,住宅
7栋D座3801,311.36,121852.05,227.49,166775.92,37939856.00,在售,住宅
