房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋2单元3910,88.91,62130.78,65.73,84041.50,5524048.00,在售,住宅
5栋2单元3909,88.91,62320.15,65.73,84297.65,5540885.00,在售,住宅
5栋2单元3908,89.20,64878.76,65.95,87751.11,5787186.00,在售,住宅
5栋2单元3907,89.20,65599.65,65.95,88726.14,5851489.00,在售,住宅
5栋2单元3810,88.91,65326.36,65.73,88364.01,5808166.00,在售,住宅
5栋2单元3809,88.91,65515.72,65.73,88620.16,5825003.00,在售,住宅
5栋2单元3808,89.20,68074.34,65.95,92073.25,6072231.00,在售,住宅
5栋2单元3807,89.20,68795.22,65.95,93048.28,6136534.00,在售,住宅
5栋2单元3710,88.91,62066.23,65.73,83954.18,5518308.00,在售,住宅
5栋2单元3709,88.91,62255.59,65.73,84210.33,5535145.00,在售,住宅
5栋2单元3708,89.20,64814.20,65.95,87663.79,5781427.00,在售,住宅
5栋2单元3707,89.20,65535.09,65.95,88638.82,5845730.00,在售,住宅
5栋2单元3610,88.91,65369.40,65.73,88422.23,5811993.00,在售,住宅
5栋2单元3609,88.91,65558.76,65.73,88678.37,5828830.00,在售,住宅
5栋2单元3608,89.20,68117.37,65.95,92131.46,6076070.00,在售,住宅
5栋2单元3607,89.20,68838.26,65.95,93106.49,6140373.00,在售,住宅
5栋2单元3510,88.91,62001.67,65.73,83866.86,5512568.00,在售,住宅
5栋2单元3509,88.91,62191.04,65.73,84123.00,5529405.00,在售,住宅
5栋2单元3508,89.20,64749.65,65.95,87576.48,5775669.00,在售,住宅
5栋2单元3507,89.20,65470.53,65.95,88551.50,5839972.00,在售,住宅
5栋2单元3410,88.91,65197.24,65.73,88189.36,5796687.00,在售,住宅
5栋2单元3409,88.91,65386.61,65.73,88445.51,5813524.00,在售,住宅
5栋2单元3408,89.20,67945.22,65.95,91898.62,6060714.00,在售,住宅
5栋2单元3407,89.20,68666.11,65.95,92873.65,6125017.00,在售,住宅
5栋2单元3310,88.91,61937.11,65.73,83779.53,5506829.00,在售,住宅
5栋2单元3309,88.91,62126.48,65.73,84035.68,5523665.00,在售,住宅
5栋2单元3308,89.20,64685.09,65.95,87489.16,5769910.00,在售,住宅
5栋2单元3307,89.20,65405.98,65.95,88464.19,5834213.00,在售,住宅
5栋2单元3210,88.91,65132.69,65.73,88102.04,5790947.00,在售,住宅
5栋2单元3209,88.91,65322.05,65.73,88358.19,5807784.00,在售,住宅
5栋2单元3208,89.20,67880.66,65.95,91811.30,6054955.00,在售,住宅
5栋2单元3207,89.20,68601.55,65.95,92786.33,6119258.00,在售,住宅
5栋2单元3110,88.91,61872.55,65.73,83692.21,5501089.00,在售,住宅
5栋2单元3109,88.91,62061.92,65.73,83948.36,5517926.00,在售,住宅
5栋2单元3108,89.20,64620.53,65.95,87401.84,5764152.00,在售,住宅
5栋2单元3107,89.20,65341.42,65.95,88376.87,5828455.00,在售,住宅
5栋2单元3010,88.91,65068.13,65.73,88014.72,5785207.00,在售,住宅
5栋2单元3009,88.91,65257.50,65.73,88270.87,5802044.00,在售,住宅
5栋2单元3008,89.20,67816.11,65.95,91723.98,6049197.00,在售,住宅
5栋2单元3007,89.20,68536.99,65.95,92699.01,6113500.00,在售,住宅
5栋2单元2910,88.91,61808.00,65.73,83604.88,5495349.00,在售,住宅
5栋2单元2909,88.91,61997.37,65.73,83861.03,5512186.00,在售,住宅
5栋2单元2908,89.20,64555.98,65.95,87314.53,5758393.00,在售,住宅
5栋2单元2907,89.20,65276.86,65.95,88289.56,5822696.00,在售,住宅
5栋2单元2810,88.91,65003.57,65.73,87927.39,5779468.00,在售,住宅
5栋2单元2809,88.91,65192.94,65.73,88183.54,5796304.00,在售,住宅
5栋2单元2808,89.20,67751.55,65.95,91636.67,6043438.00,在售,住宅
5栋2单元2807,89.20,68472.44,65.95,92611.70,6107741.00,在售,住宅
5栋2单元2710,88.91,61743.44,65.73,83517.56,5489609.00,在售,住宅
5栋2单元2709,88.91,61932.81,65.73,83773.71,5506446.00,在售,住宅
5栋2单元2708,89.20,64491.42,65.95,87227.21,5752635.00,在售,住宅
5栋2单元2707,89.20,65212.31,65.95,88202.24,5816938.00,在售,住宅
5栋2单元2610,88.91,65046.61,65.73,87985.61,5783294.00,在售,住宅
5栋2单元2609,88.91,65235.98,65.73,88241.76,5800131.00,在售,住宅
5栋2单元2608,89.20,67794.59,65.95,91694.88,6047277.00,在售,住宅
5栋2单元2607,89.20,68515.48,65.95,92669.91,6111580.00,在售,住宅
5栋2单元2510,88.91,61678.88,65.73,83430.24,5483870.00,在售,住宅
