房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
14G,269.43,93144.96,181.27,138445.67,25096047.00,在售,办公
14F,242.45,94639.03,163.12,140664.74,22945233.00,在售,办公
14E,269.43,94372.97,181.27,140270.92,25426909.00,在售,办公
14C,267.35,92300.70,179.87,137191.26,24676592.00,在售,办公
14A,267.35,92019.29,179.87,136772.99,24601357.00,在售,办公
13H,239.32,93106.97,159.10,140052.55,22282360.00,在售,办公
13G,272.19,92799.96,180.96,139584.55,25259221.00,在售,办公
13F,148.08,90855.62,98.45,136657.19,13453900.00,在售,办公
13E,288.75,94027.97,191.97,141431.35,27150576.00,在售,办公
13D,226.09,94283.80,150.31,141817.74,21316624.00,在售,办公
13C,270.09,91955.70,179.56,138317.64,24836315.00,在售,办公
13B,171.26,89729.95,113.86,134965.32,15367151.00,在售,办公
13A,270.09,91674.29,179.56,137894.35,24760309.00,在售,办公
11G,272.91,108210.71,178.92,165055.81,29531785.00,在售,办公
11F,171.99,89628.37,112.76,136707.90,15415183.00,在售,办公
11E,273.87,93337.97,179.55,142369.65,25562470.00,在售,办公
11D,244.44,93593.80,160.25,142764.85,22878068.00,在售,办公
11C,273.87,91265.70,179.55,139208.78,24994937.00,在售,办公
11B,174.30,89039.95,114.27,135815.73,15519663.00,在售,办公
11A,272.91,107085.04,178.92,163338.80,29224578.00,在售,办公
10G,267.29,91764.96,178.64,137303.27,24527856.00,在售,办公
10F,168.71,89283.37,112.76,133584.58,15062997.00,在售,办公
10E,268.23,92992.97,179.27,139139.31,24943504.00,在售,办公
10D,239.78,93248.80,160.25,139526.97,22359197.00,在售,办公
10C,268.23,90920.70,179.27,136038.71,24387659.00,在售,办公
