房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋3层004,60.75,50000.00,37.21,81631.28,3037500.00,在售,商业
2栋3层003,2153.96,50000.00,1319.32,81631.44,107698000.00,在售,商业
2栋3层002,104.26,50000.00,63.86,81631.69,5213000.00,在售,商业
2栋3层001,1948.24,50000.00,1193.31,81631.76,97412000.00,在售,商业
2栋2层004,60.75,50000.00,37.21,81631.28,3037500.00,在售,商业
2栋2层003,2156.73,50000.00,1321.01,81631.85,107836500.00,在售,商业
2栋2层002,104.26,50000.00,63.86,81631.69,5213000.00,在售,商业
2栋2层001,2098.23,50000.00,1285.18,81631.75,104911500.00,在售,商业
2栋1层015,32.45,50000.00,19.87,81655.76,1622500.00,在售,商业
2栋1层014,87.60,50000.00,53.66,81625.04,4380000.00,在售,商业
2栋1层013,70.18,50000.00,42.99,81623.63,3509000.00,在售,商业
2栋1层012,159.08,50000.00,97.44,81629.72,7954000.00,在售,商业
2栋1层011,155.60,50000.00,95.31,81628.37,7780000.00,在售,商业
2栋1层010,243.82,50000.00,149.34,81632.51,12191000.00,在售,商业
2栋1层009,208.72,50000.00,127.84,81633.29,10436000.00,在售,商业
2栋1层007,245.92,50000.00,150.63,81630.48,12296000.00,在售,商业
2栋1层006,159.23,50000.00,97.53,81631.29,7961500.00,在售,商业
2栋1层005,246.59,50000.00,151.04,81630.69,12329500.00,在售,商业
2栋1层004,100.13,50000.00,61.33,81632.15,5006500.00,在售,商业
2栋1层003,117.98,50000.00,72.27,81624.46,5899000.00,在售,商业
2栋1层002,32.45,50000.00,19.87,81655.76,1622500.00,在售,商业
2栋1层001,2440.64,50000.00,1494.91,81631.67,122032000.00,在售,商业
2栋B座3107,89.25,42239.00,64.52,58428.87,3769831.00,在售,住宅
2栋B座3106,76.18,50801.00,55.07,70274.55,3870020.00,在售,住宅
2栋B座3105,78.30,55818.00,56.61,77204.53,4370549.00,在售,住宅
2栋B座3104,82.50,42258.00,59.64,58455.48,3486285.00,在售,住宅
2栋B座3103,82.50,42862.00,59.64,59290.99,3536115.00,在售,住宅
2栋B座3102,89.15,44801.00,64.44,61980.27,3994009.00,在售,住宅
2栋B座3101,89.15,44592.00,64.45,61681.56,3975377.00,在售,住宅
2栋B座3007,89.14,22319.00,64.52,30835.64,1989516.00,在售,住宅
2栋B座3004,82.40,22288.00,59.64,30793.61,1836531.00,在售,住宅
2栋B座3003,82.40,22892.00,59.64,31628.11,1886301.00,在售,住宅
2栋B座3002,89.04,24831.00,64.44,34310.24,2210952.00,在售,住宅
2栋B座3001,89.04,24622.00,64.45,34016.18,2192343.00,在售,住宅
2栋B座2907,89.25,22269.00,64.52,30804.52,1987508.00,在售,住宅
2栋B座2906,121.04,30851.00,87.54,42657.12,3734205.00,在售,住宅
2栋B座2905,128.13,35868.00,92.67,49592.82,4595767.00,在售,住宅
2栋B座2904,82.50,22238.00,59.64,30761.82,1834635.00,在售,住宅
2栋B座2903,82.50,22842.00,59.64,31597.33,1884465.00,在售,住宅
2栋B座2902,89.15,24781.00,64.44,34283.45,2209226.00,在售,住宅
2栋B座2901,89.15,24572.00,64.45,33989.04,2190594.00,在售,住宅
2栋B座2807,89.14,22279.00,64.52,30780.37,1985950.00,在售,住宅
2栋B座2804,82.40,22248.00,59.64,30738.34,1833235.00,在售,住宅
2栋B座2803,82.40,22852.00,59.64,31572.85,1883005.00,在售,住宅
2栋B座2802,89.04,24791.00,64.44,34254.98,2207391.00,在售,住宅
2栋B座2801,89.04,24582.00,64.45,33960.91,2188781.00,在售,住宅
2栋B座2707,89.25,22229.00,64.52,30749.19,1983938.00,在售,住宅
2栋B座2706,121.04,30651.00,87.54,42380.59,3709997.00,在售,住宅
2栋B座2705,128.13,35668.00,92.67,49316.29,4570141.00,在售,住宅
2栋B座2704,82.50,22198.00,59.64,30706.48,1831335.00,在售,住宅
2栋B座2703,82.50,22802.00,59.64,31542.00,1881165.00,在售,住宅
2栋B座2702,89.15,24741.00,64.44,34228.11,2205660.00,在售,住宅
2栋B座2701,89.15,24532.00,64.45,33933.71,2187028.00,在售,住宅
2栋B座2607,89.14,22239.00,64.52,30725.10,1982384.00,在售,住宅
2栋B座2604,82.40,22208.00,59.64,30683.08,1829939.00,在售,住宅
2栋B座2603,82.40,22812.00,59.64,31517.58,1879709.00,在售,住宅
2栋B座2602,89.04,24751.00,64.44,34199.70,2203829.00,在售,住宅
2栋B座2601,89.04,24542.00,64.45,33905.66,2185220.00,在售,住宅
2栋B座2507,89.25,22189.00,64.52,30693.86,1980368.00,在售,住宅
2栋B座2506,121.04,30451.00,87.54,42104.05,3685789.00,在售,住宅
2栋B座2505,128.13,35468.00,92.67,49039.76,4544515.00,在售,住宅
2栋B座2504,82.50,22158.00,59.64,30651.15,1828035.00,在售,住宅
2栋B座2503,82.50,22762.00,59.64,31486.67,1877865.00,在售,住宅
2栋B座2502,89.15,24701.00,64.44,34172.78,2202094.00,在售,住宅
2栋B座2501,89.15,24492.00,64.45,33878.38,2183462.00,在售,住宅
2栋B座2407,89.14,22199.00,64.52,30669.85,1978819.00,在售,住宅
2栋B座2404,82.40,22168.00,59.64,30627.81,1826643.00,在售,住宅
2栋B座2403,82.40,22772.00,59.64,31462.32,1876413.00,在售,住宅
2栋B座2402,89.04,24711.00,64.44,34144.42,2200267.00,在售,住宅
2栋B座2401,89.04,24502.00,64.45,33850.39,2181658.00,在售,住宅
