房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
裙楼405,110.56,183394.99,68.36,296608.41,20276151.00,在售,商业
裙楼404,31.87,183395.01,19.70,296690.30,5844799.00,在售,商业
裙楼403,74.23,183395.00,45.89,296653.10,13613411.00,在售,商业
裙楼401,787.87,183395.00,487.11,296629.95,144491419.00,在售,商业
裙楼312,103.82,244528.00,60.13,422200.18,25386897.00,在售,商业
裙楼311,37.84,244528.01,21.92,422123.17,9252940.00,在售,商业
裙楼310,28.16,244527.98,16.31,422189.33,6885908.00,在售,商业
裙楼309,23.26,244527.98,13.47,422251.00,5687721.00,在售,商业
裙楼308,21.16,244527.97,12.25,422384.65,5174212.00,在售,商业
裙楼307,42.86,244527.99,24.82,422259.06,10480470.00,在售,商业
裙楼306,124.99,244528.00,72.39,422206.86,30563555.00,在售,商业
裙楼305,229.80,244527.99,133.08,422246.27,56192534.00,在售,商业
裙楼304,410.13,244528.00,237.52,422230.83,100288269.00,在售,商业
裙楼303,287.19,244527.99,166.32,422234.22,70225996.00,在售,商业
裙楼302,363.70,244528.00,210.63,422232.51,88934834.00,在售,商业
裙楼301,117.77,244528.00,68.20,422258.98,28798063.00,在售,商业
裙楼240,357.87,305659.99,239.44,456843.23,109386544.00,在售,商业
裙楼239,65.73,305660.00,43.98,456822.01,20091032.00,在售,商业
裙楼238,129.63,305660.00,86.73,456851.21,39622706.00,在售,商业
裙楼236,11.37,305659.98,7.61,456682.52,3475354.00,在售,商业
