房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋4608,63.20,36392.00,49.28,46672.05,2299998.00,在售,公寓
5栋4607,63.20,36574.00,49.28,46905.41,2311498.00,在售,公寓
5栋4606,106.31,26256.00,82.90,33670.00,2791238.00,在售,公寓
5栋4605,106.31,24398.00,82.90,31288.00,2593794.00,在售,公寓
5栋4604,63.06,25088.00,49.17,32176.00,1582075.00,在售,公寓
5栋4603,63.06,35014.00,49.17,44905.40,2207998.00,在售,公寓
5栋4602,106.31,23248.00,82.89,29817.00,2471537.00,在售,公寓
5栋4601,106.31,32993.00,82.90,42309.99,3507498.00,在售,公寓
5栋4504,63.06,25433.00,49.17,32618.00,1603830.00,在售,公寓
5栋4503,63.06,25278.00,49.17,32419.00,1594040.00,在售,公寓
5栋4502,106.31,23593.00,82.89,30260.00,2508214.00,在售,公寓
5栋4501,106.31,24763.00,82.90,31756.00,2632549.00,在售,公寓
5栋4506,106.31,26256.00,82.90,33670.00,2791238.00,在售,公寓
5栋4507,63.20,26923.00,49.28,34527.00,1701511.00,在售,公寓
5栋4505,106.31,24743.00,82.90,31731.00,2630471.00,在售,公寓
5栋4508,63.20,36756.00,49.28,47138.77,2322998.00,在售,公寓
5栋4404,63.06,25433.00,49.17,32618.00,1603830.00,在售,公寓
5栋4403,63.06,30764.00,49.17,39454.00,1939977.00,在售,公寓
5栋4402,106.31,23593.00,82.89,30260.00,2508214.00,在售,公寓
5栋4401,106.31,24763.00,82.90,31756.00,2632549.00,在售,公寓
5栋4408,63.20,36756.00,49.28,47138.77,2322998.00,在售,公寓
5栋4407,63.20,26923.00,49.28,34527.00,1701511.00,在售,公寓
5栋4406,106.31,26256.00,82.90,33670.00,2791238.00,在售,公寓
5栋4405,106.31,24743.00,82.90,31731.00,2630471.00,在售,公寓
5栋4305,106.31,24743.00,82.90,31731.00,2630471.00,在售,公寓
5栋4304,63.06,25433.00,49.17,32618.00,1603830.00,在售,公寓
5栋4303,63.06,25278.00,49.17,32419.00,1594040.00,在售,公寓
5栋4302,106.31,23593.00,82.89,30260.00,2508214.00,在售,公寓
5栋4301,106.31,24763.00,82.90,31756.00,2632549.00,在售,公寓
5栋4308,63.20,36756.00,49.28,47138.77,2322998.00,在售,公寓
5栋4307,63.20,26923.00,49.28,34527.00,1701511.00,在售,公寓
5栋4306,106.31,26256.00,82.90,33670.00,2791238.00,在售,公寓
5栋4204,63.06,25433.00,49.17,32618.00,1603830.00,在售,公寓
5栋4203,63.06,25278.00,49.17,32419.00,1594040.00,在售,公寓
5栋4202,106.31,23593.00,82.89,30260.00,2508214.00,在售,公寓
5栋4201,106.31,24763.00,82.90,31756.00,2632549.00,在售,公寓
5栋4208,63.20,31962.00,49.28,40990.00,2019998.00,在售,公寓
5栋4207,63.20,32120.00,49.28,41192.00,2029984.00,在售,公寓
5栋4206,106.31,26256.00,82.90,33670.00,2791238.00,在售,公寓
5栋4205,106.31,24743.00,82.90,31731.00,2630471.00,在售,公寓
