房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
6102,1055.52,102201.00,603.56,178731.52,107875199.52,在售,办公
6101,1059.91,110131.00,606.07,192599.77,116728948.21,在售,办公
6002,1191.13,99889.00,727.50,163547.47,118980784.57,在售,办公
6001,1072.56,105814.00,655.08,173248.86,113491863.84,在售,办公
5903,829.45,94619.00,515.17,152341.42,78481729.55,在售,办公
5902,826.55,99132.00,513.37,159607.21,81937554.60,在售,办公
5901,790.82,103863.00,491.18,167223.70,82136937.66,在售,办公
5803,837.61,92971.00,520.75,149540.93,77873439.31,在售,办公
5802,829.26,97406.00,515.56,156674.10,80774899.56,在售,办公
5801,791.67,102054.00,492.19,164150.20,80793090.18,在售,办公
5703,844.02,91323.00,524.26,147023.30,77078438.46,在售,办公
5702,833.08,95679.00,517.46,154037.53,79708261.32,在售,办公
5701,790.90,100245.00,491.26,161388.61,79283770.50,在售,办公
5603,852.24,89675.00,529.90,144224.61,76424622.00,在售,办公
5602,836.11,93952.00,519.87,151103.55,78554206.72,在售,办公
5601,791.88,98435.00,492.37,158313.27,77948707.80,在售,办公
5404,506.46,87792.00,302.44,147014.73,44463136.32,在售,办公
5403,746.50,88308.00,445.78,147879.94,65921922.00,在售,办公
5402,659.94,90758.00,394.09,151982.62,59894834.52,在售,办公
5401,593.02,95013.00,354.13,159107.13,56344609.26,在售,办公
