房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋305,47.79,63740.38,37.42,81404.40,3046153.00,在售,
4栋705,47.79,65180.39,37.42,83243.47,3114971.00,在售,
4栋1305,47.79,67340.38,37.42,86002.05,3218197.00,在售,
4栋202,88.32,63403.20,69.15,80980.05,5599771.00,在售,
4栋302,88.32,63643.20,69.15,81286.59,5620968.00,在售,
4栋402,88.32,63883.20,69.15,81593.13,5642165.00,在售,
4栋502,88.32,64123.21,69.15,81899.66,5663362.00,在售,
4栋602,88.32,64363.20,69.15,82206.18,5684558.00,在售,
4栋802,88.32,65443.20,69.15,83585.59,5779944.00,在售,
4栋902,88.32,65683.20,69.15,83892.13,5801141.00,在售,
4栋1102,88.32,66163.20,69.15,84505.19,5843534.00,在售,
4栋1202,88.32,66403.20,69.15,84811.72,5864731.00,在售,
4栋1302,88.32,66643.20,69.15,85118.26,5885928.00,在售,
4栋1402,88.32,66883.21,69.15,85424.00,5907125.00,在售,
4栋1502,88.32,67123.21,69.15,85731.33,5928322.00,在售,
4栋1602,88.32,67363.21,69.15,86037.00,5949518.00,在售,
4栋1702,88.32,67603.21,69.15,86344.00,5970715.00,在售,
4栋1802,88.32,67843.21,69.15,86650.00,5991912.00,在售,
4栋1902,88.32,68083.21,69.15,86957.00,6013109.00,在售,
4栋2002,88.32,68323.22,69.15,87264.00,6034306.00,在售,
4栋2102,88.32,68563.21,69.15,87570.00,6055502.00,在售,
4栋2202,88.32,68803.21,69.15,87877.00,6076699.00,在售,
