房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
A座2127,62.21,67052.99,43.08,96828.38,4171367.00,在售,
A座2027,62.21,67052.99,43.08,96828.38,4171367.00,在售,
A座1927,62.21,66847.00,43.08,96530.91,4158552.00,在售,
A座1827,62.21,66641.00,43.08,96233.44,4145737.00,在售,
A座1727,62.21,66434.99,43.08,95935.95,4132921.00,在售,
A座1627,62.21,66228.99,43.08,95638.48,4120106.00,在售,
A座1527,62.21,66023.00,43.08,95341.01,4107291.00,在售,
A座1427,62.21,65817.00,43.08,95043.54,4094476.00,在售,
A座1327,62.21,65610.99,43.08,94746.05,4081660.00,在售,
A座1227,62.21,65404.99,43.08,94448.58,4068845.00,在售,
A座1127,62.21,65199.00,43.08,94151.11,4056030.00,在售,
A座1027,62.21,64993.00,43.08,93853.64,4043215.00,在售,
A座927,62.21,64786.99,43.08,93556.15,4030399.00,在售,
A座827,62.21,64580.99,43.08,93258.68,4017584.00,在售,
A座727,62.21,64375.00,43.08,92961.21,4004769.00,在售,
A座627,62.21,63757.00,43.08,92068.77,3966323.00,在售,
A座527,62.21,63551.00,43.08,91771.30,3953508.00,在售,
A座427,62.21,63344.99,43.08,91473.81,3940692.00,在售,
A座2126,55.20,71688.00,38.22,103536.83,3957178.00,在售,
A座2026,55.20,71688.00,38.22,103536.83,3957178.00,在售,
A座1926,55.20,71481.99,38.22,103239.29,3945806.00,在售,
A座1826,55.20,71275.99,38.22,102941.78,3934435.00,在售,
A座1726,55.20,71070.00,38.22,102644.27,3923064.00,在售,
A座1626,55.20,70864.00,38.22,102346.75,3911693.00,在售,
A座1526,55.20,70658.00,38.22,102049.24,3900322.00,在售,
A座1426,55.20,70451.99,38.22,101751.70,3888950.00,在售,
A座1326,55.20,70245.99,38.22,101454.18,3877579.00,在售,
A座1226,55.20,70040.00,38.22,101156.67,3866208.00,在售,
A座1126,55.20,69834.00,38.22,100859.15,3854837.00,在售,
A座1026,55.20,69628.00,38.22,100561.64,3843466.00,在售,
A座926,55.20,69421.99,38.22,100264.10,3832094.00,在售,
A座826,55.20,69215.99,38.22,99966.58,3820723.00,在售,
A座726,55.20,69010.00,38.22,99669.07,3809352.00,在售,
A座626,55.20,68391.99,38.22,98776.50,3775238.00,在售,
A座526,55.20,67155.99,38.22,96991.39,3707011.00,在售,
A座426,55.20,66950.00,38.22,96693.87,3695640.00,在售,
A座2125,55.20,70143.00,38.22,101305.44,3871894.00,在售,
A座2025,55.20,70143.00,38.22,101305.44,3871894.00,在售,
A座1925,55.20,69936.99,38.22,101007.90,3860522.00,在售,
A座1825,55.20,69730.99,38.22,100710.38,3849151.00,在售,
A座1725,55.20,69525.00,38.22,100412.87,3837780.00,在售,
A座1625,55.20,69319.00,38.22,100115.35,3826409.00,在售,
A座1525,55.20,69113.00,38.22,99817.84,3815038.00,在售,
A座1425,55.20,68906.99,38.22,99520.30,3803666.00,在售,
A座1325,55.20,68700.99,38.22,99222.78,3792295.00,在售,
A座1225,55.20,68495.00,38.22,98925.27,3780924.00,在售,
A座1125,55.20,68289.00,38.22,98627.76,3769553.00,在售,
A座1025,55.20,68083.00,38.22,98330.24,3758182.00,在售,
A座925,55.20,67876.99,38.22,98032.70,3746810.00,在售,
A座825,55.20,67670.99,38.22,97735.19,3735439.00,在售,
A座725,55.20,67465.00,38.22,97437.67,3724068.00,在售,
A座625,55.20,66846.99,38.22,96545.10,3689954.00,在售,
A座525,55.20,65610.99,38.22,94759.99,3621727.00,在售,
A座425,55.20,65405.00,38.22,94462.48,3610356.00,在售,
A座2123,55.20,70143.00,38.22,101305.44,3871894.00,在售,
A座2023,55.20,70143.00,38.22,101305.44,3871894.00,在售,
A座1923,55.20,69936.99,38.22,101007.90,3860522.00,在售,
A座1823,55.20,69730.99,38.22,100710.38,3849151.00,在售,
A座1723,55.20,69525.00,38.22,100412.87,3837780.00,在售,
A座1623,55.20,69319.00,38.22,100115.35,3826409.00,在售,
