房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋B座3304,131.97,44280.00,102.69,56905.56,5843632.00,在售,住宅
5栋B座3204,131.97,44480.00,102.69,57162.58,5870026.00,在售,住宅
5栋B座3104,131.97,44480.00,102.69,57162.58,5870026.00,在售,住宅
5栋B座3004,131.97,44480.00,102.69,57162.58,5870026.00,在售,住宅
5栋B座2904,131.97,44580.00,102.69,57291.09,5883223.00,在售,住宅
5栋B座2804,131.97,44580.00,102.69,57291.09,5883223.00,在售,住宅
5栋B座2704,131.97,44980.00,102.69,57805.15,5936011.00,在售,住宅
5栋B座2604,131.97,44980.00,102.69,57805.15,5936011.00,在售,住宅
5栋B座2504,131.97,45280.00,102.69,58190.69,5975602.00,在售,住宅
5栋B座2404,131.97,45280.00,102.69,58190.69,5975602.00,在售,住宅
5栋B座2304,131.97,45280.00,102.69,58190.69,5975602.00,在售,住宅
5栋B座2204,131.97,45280.00,102.69,58190.69,5975602.00,在售,住宅
5栋B座2104,131.97,45280.00,102.69,58190.69,5975602.00,在售,住宅
5栋B座2004,131.97,44980.00,102.69,57805.15,5936011.00,在售,住宅
5栋B座1904,131.97,44980.00,102.69,57805.15,5936011.00,在售,住宅
5栋B座1804,131.97,44980.00,102.69,57805.15,5936011.00,在售,住宅
5栋B座1704,131.97,44980.00,102.69,57805.15,5936011.00,在售,住宅
5栋B座1604,131.97,44980.00,102.69,57805.15,5936011.00,在售,住宅
5栋B座1504,131.97,44680.00,102.69,57419.61,5896420.00,在售,住宅
5栋B座1404,131.97,44680.00,102.69,57419.61,5896420.00,在售,住宅
5栋B座1304,131.97,44680.00,102.69,57419.61,5896420.00,在售,住宅
5栋B座1204,131.97,44680.00,102.69,57419.61,5896420.00,在售,住宅
5栋B座1104,131.97,44680.00,102.69,57419.61,5896420.00,在售,住宅
5栋B座1004,131.97,44380.00,102.69,57034.07,5856829.00,在售,住宅
5栋B座904,131.97,44380.00,102.69,57034.07,5856829.00,在售,住宅
5栋B座804,131.97,44380.00,102.69,57034.07,5856829.00,在售,住宅
5栋B座704,131.97,44380.00,102.69,57034.07,5856829.00,在售,住宅
5栋B座604,131.97,44380.00,102.69,57034.07,5856829.00,在售,住宅
5栋B座504,131.97,44080.00,102.69,56648.53,5817238.00,在售,住宅
5栋B座404,131.97,44080.00,102.69,56648.53,5817238.00,在售,住宅
5栋B座304,131.97,44080.00,102.69,56648.53,5817238.00,在售,住宅
5栋B座2503,103.30,44780.00,80.38,57548.81,4625774.00,在售,住宅
5栋B座2403,103.30,44780.00,80.38,57548.81,4625774.00,在售,住宅
5栋B座2303,103.30,44780.00,80.38,57548.81,4625774.00,在售,住宅
5栋B座2203,103.30,44780.00,80.38,57548.81,4625774.00,在售,住宅
5栋B座2103,103.30,44780.00,80.38,57548.81,4625774.00,在售,住宅
5栋B座2003,103.30,44480.00,80.38,57163.27,4594784.00,在售,住宅
5栋B座1903,103.30,44480.00,80.38,57163.27,4594784.00,在售,住宅
5栋B座1603,103.30,44480.00,80.38,57163.27,4594784.00,在售,住宅
5栋B座1503,103.30,44180.00,80.38,56777.73,4563794.00,在售,住宅
��3905,98.09,42500.00,72.71,57334.96,4168825.00,在售,住宅
4栋3805,98.09,42500.00,72.71,57334.96,4168825.00,在售,住宅
4栋3705,98.09,42500.00,72.71,57334.96,4168825.00,在售,住宅
4栋3605,98.09,42500.00,72.71,57334.96,4168825.00,在售,住宅
4栋3505,98.09,42800.00,72.71,57739.67,4198252.00,在售,住宅
4栋3405,98.09,42800.00,72.71,57739.67,4198252.00,在售,住宅
4栋3305,98.09,42800.00,72.71,57739.67,4198252.00,在售,住宅
4栋3205,98.09,42800.00,72.71,57739.67,4198252.00,在售,住宅
4栋3005,97.89,42800.00,72.49,57796.82,4189692.00,在售,住宅
4栋2905,97.89,42800.00,72.49,57796.82,4189692.00,在售,住宅
4栋2805,97.89,42800.00,72.49,57796.82,4189692.00,在售,住宅
4栋2705,97.89,42800.00,72.49,57796.82,4189692.00,在售,住宅
4栋2605,97.89,42800.00,72.49,57796.82,4189692.00,在售,住宅
