房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋B座1109,77.83,27647.00,58.08,37049.00,2151805.00,在售,待售
5栋B座1108,77.29,27648.00,57.64,37073.00,2136913.00,在售,待售
5栋B座1107,77.95,24000.00,58.17,32160.90,1870800.00,在售,待售
5栋B座1106,77.82,27648.00,58.08,37044.00,2151567.00,在售,待售
5栋B座1105,84.24,27648.00,62.81,37081.00,2329067.00,在售,待售
5栋B座1104,77.69,27648.00,57.99,37040.00,2147973.00,在售,待售
5栋B座1103,77.95,24000.00,58.17,32160.90,1870800.00,在售,待售
5栋B座1102,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座1101,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座909,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座908,77.29,27648.00,57.64,37073.00,2136913.00,在售,待售
5栋B座907,77.95,24000.00,58.17,32160.90,1870800.00,在售,待售
5栋B座906,77.82,27647.00,58.08,37044.00,2151515.00,在售,待售
5栋B座905,84.24,24000.00,62.81,32188.50,2021760.00,在售,待售
5栋B座904,77.69,24000.00,57.99,32153.12,1864560.00,在售,待售
5栋B座903,77.95,24000.00,58.17,32160.90,1870800.00,在售,待售
5栋B座902,77.83,24000.00,58.08,32161.15,1867920.00,在售,待售
5栋B座901,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座709,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座708,77.29,27648.00,57.64,37073.00,2136913.00,在售,待售
5栋B座707,77.95,24000.00,58.17,32160.90,1870800.00,在售,待售
5栋B座706,77.82,27648.00,58.08,37044.00,2151567.00,在售,待售
5栋B座705,84.24,24000.00,62.81,32188.50,2021760.00,在售,待售
5栋B座704,77.69,27647.00,57.99,37040.00,2147949.00,在售,待售
5栋B座703,77.95,24000.00,58.17,32160.90,1870800.00,在售,待售
5栋B座702,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座701,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座509,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座508,77.29,27647.00,57.64,37073.00,2136887.00,在售,待售
5栋B座507,77.95,27647.00,58.17,37049.00,2155140.00,在售,待售
5栋B座506,77.82,27648.00,58.08,37044.00,2151567.00,在售,待售
5栋B座505,84.24,27648.00,62.81,37081.00,2329067.00,在售,待售
5栋B座504,77.69,27648.00,57.99,37040.00,2147973.00,在售,待售
5栋B座503,77.95,24000.00,58.17,32160.90,1870800.00,在售,待售
5栋B座502,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座501,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座309,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋B座308,77.29,27648.00,57.64,37073.00,2136913.00,在售,待售
5栋B座307,77.95,27648.00,58.17,37049.00,2155161.00,在售,待售
5栋B座306,77.82,27648.00,58.08,37044.00,2151567.00,在售,待售
5栋B座305,84.24,27648.00,62.81,37081.00,2329067.00,在售,待售
5栋B座304,77.69,27648.00,57.99,37040.00,2147973.00,在售,待售
5栋B座303,77.95,24000.00,58.17,32160.90,1870800.00,在售,待售
5栋B座302,77.83,27647.00,58.08,37049.00,2151805.00,在售,待售
5栋B座301,77.83,27648.00,58.08,37049.00,2151843.00,在售,待售
5栋A座1309,77.81,27648.00,58.08,37040.00,2151290.00,在售,待售
5栋A座1308,77.81,27647.00,58.08,37040.00,2151283.00,在售,待售
5栋A座1307,77.93,27609.00,58.17,36987.00,2151569.00,在售,待售
5栋A座1306,77.80,27648.00,58.08,37035.00,2151014.00,在售,待售
5栋A座1305,84.22,27647.00,62.81,37072.00,2328492.00,在售,待售
