房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋2座2单元33C,85.70,24822.00,57.85,36771.74,2127245.40,在售,住宅
2栋2座2单元32B,88.21,25517.00,59.55,37797.72,2250854.57,在售,住宅
2栋2座2单元32A,87.92,25831.00,59.35,38265.56,2271061.52,在售,住宅
2栋2座2单元31C,85.70,25286.00,57.85,37459.12,2167010.20,在售,住宅
2栋2座2单元31B,88.21,25715.00,59.55,38091.01,2268320.15,在售,住宅
2栋2座2单元31A,87.92,26031.00,59.35,38561.84,2288645.52,在售,住宅
2栋2座2单元30C,86.82,24960.00,58.62,36967.36,2167027.20,在售,住宅
2栋2座2单元30B,88.21,25715.00,59.55,38091.01,2268320.15,在售,住宅
2栋2座2单元30A,87.91,26034.00,59.35,38561.90,2288648.94,在售,住宅
2栋2座2单元29C,85.70,25286.00,57.85,37459.12,2167010.20,在售,住宅
2栋2座2单元29B,88.21,25715.00,59.55,38091.01,2268320.15,在售,住宅
2栋2座2单元29A,87.92,26031.00,59.35,38561.84,2288645.52,在售,住宅
2栋2座2单元28C,86.82,24960.00,58.62,36967.36,2167027.20,在售,住宅
2栋2座2单元28B,88.21,25715.00,59.55,38091.01,2268320.15,在售,住宅
2栋2座2单元28A,87.91,26034.00,59.35,38561.90,2288648.94,在售,住宅
2栋2座2单元27C,85.70,25286.00,57.85,37459.12,2167010.20,在售,住宅
2栋2座2单元27B,88.21,25715.00,59.55,38091.01,2268320.15,在售,住宅
2栋2座2单元27A,87.92,26031.00,59.35,38561.84,2288645.52,在售,住宅
2栋2座2单元26C,86.82,24960.00,58.62,36967.36,2167027.20,在售,住宅
2栋2座2单元26B,88.21,25715.00,59.55,38091.01,2268320.15,在售,住宅
2栋2座2单元26A,87.91,26034.00,59.35,38561.90,2288648.94,在售,住宅
2栋2座2单元25C,85.70,25286.00,57.85,37459.12,2167010.20,在售,住宅
2栋2座2单元25B,88.21,25715.00,59.55,38091.01,2268320.15,在售,住宅
2栋2座2单元25A,87.92,26031.00,59.35,38561.84,2288645.52,在售,住宅
2栋2座2单元24C,86.82,24960.00,58.62,36967.36,2167027.20,在售,住宅
2栋2座2单元24B,88.21,25715.00,59.55,38091.01,2268320.15,在售,住宅
2栋2座2单元24A,87.91,26034.00,59.35,38561.90,2288648.94,在售,住宅
2栋2座2单元23C,85.70,24966.00,57.85,36985.06,2139586.20,在售,住宅
2栋2座2单元23B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元23A,87.92,25831.00,59.35,38265.56,2271061.52,在售,住宅
2栋2座2单元22C,86.82,24644.00,58.62,36499.35,2139592.08,在售,住宅
2栋2座2单元22B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元22A,87.91,25834.00,59.35,38265.66,2271066.94,在售,住宅
2栋2座2单元21C,85.70,24966.00,57.85,36985.06,2139586.20,在售,住宅
2栋2座2单元21B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元21A,87.92,25831.00,59.35,38265.56,2271061.52,在售,住宅
2栋2座2单元20C,86.82,24644.00,58.62,36499.35,2139592.08,在售,住宅
2栋2座2单元20B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元20A,87.91,25834.00,59.35,38265.66,2271066.94,在售,住宅
2栋2座2单元19C,85.70,24966.00,57.85,36985.06,2139586.20,在售,住宅
2栋2座2单元19B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元19A,87.92,25831.00,59.35,38265.56,2271061.52,在售,住宅
2栋2座2单元18C,86.82,24644.00,58.62,36499.35,2139592.08,在售,住宅
2栋2座2单元18B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元18A,87.91,25834.00,59.35,38265.66,2271066.94,在售,住宅
2栋2座2单元17C,85.70,24966.00,57.85,36985.06,2139586.20,在售,住宅
2栋2座2单元17B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元17A,87.92,25831.00,59.35,38265.56,2271061.52,在售,住宅
2栋2座2单元16C,86.82,24644.00,58.62,36499.35,2139592.08,在售,住宅
2栋2座2单元16B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元16A,87.91,25834.00,59.35,38265.66,2271066.94,在售,住宅
2栋2座2单元15C,85.70,24966.00,57.85,36985.06,2139586.20,在售,住宅
2栋2座2单元15B,88.21,25516.00,59.55,37796.24,2250766.36,在售,住宅
2栋2座2单元15A,87.92,25831.00,59.35,38265.56,2271061.52,在售,住宅
