房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋2单元26D,110.42,66610.00,83.97,87591.71,7355076.00,在售,住宅
3栋2单元26C,75.61,65104.00,57.49,85623.81,4922513.00,在售,住宅
3栋2单元26B,89.45,62481.00,68.02,82165.90,5588925.00,在售,住宅
3栋2单元26A,96.04,72444.00,73.04,95256.32,6957522.00,在售,住宅
3栋2单元25D,110.42,66610.00,83.97,87591.71,7355076.00,在售,住宅
3栋2单元25C,75.61,65104.00,57.49,85623.81,4922513.00,在售,住宅
3栋2单元25B,89.45,62481.00,68.02,82165.90,5588925.00,在售,住宅
3栋2单元25A,96.04,72444.00,73.04,95256.32,6957522.00,在售,住宅
3栋2单元24D,110.42,66610.00,83.97,87591.71,7355076.00,在售,住宅
3栋2单元24C,75.61,65104.00,57.49,85623.81,4922513.00,在售,住宅
3栋2单元24B,89.45,62481.00,68.02,82165.90,5588925.00,在售,住宅
3栋2单元24A,96.04,72444.00,73.04,95256.32,6957522.00,在售,住宅
3栋2单元23D,110.42,66610.00,83.97,87591.71,7355076.00,在售,住宅
3栋2单元23C,75.61,65104.00,57.49,85623.81,4922513.00,在售,住宅
3栋2单元23B,89.45,62481.00,68.02,82165.90,5588925.00,在售,住宅
3栋2单元23A,96.04,72444.00,73.04,95256.32,6957522.00,在售,住宅
3栋2单元22D,110.42,66449.00,83.97,87380.00,7337299.00,在售,住宅
3栋2单元22C,75.61,64943.00,57.49,85412.07,4910340.00,在售,住宅
3栋2单元22B,89.45,62321.00,68.02,81955.49,5574613.00,在售,住宅
3栋2单元22A,96.04,72283.00,73.04,95044.61,6942059.00,在售,住宅
3栋2单元21D,110.42,66449.00,83.97,87380.00,7337299.00,在售,住宅
3栋2单元21C,75.61,64943.00,57.49,85412.07,4910340.00,在售,住宅
3栋2单元21B,89.45,62321.00,68.02,81955.49,5574613.00,在售,住宅
3栋2单元21A,96.04,72283.00,73.04,95044.61,6942059.00,在售,住宅
3栋2单元20D,110.42,66449.00,83.97,87380.00,7337299.00,在售,住宅
3栋2单元20C,75.61,64943.00,57.49,85412.07,4910340.00,在售,住宅
3栋2单元20B,89.45,62321.00,68.02,81955.49,5574613.00,在售,住宅
3栋2单元20A,96.04,72283.00,73.04,95044.61,6942059.00,在售,住宅
3栋2单元19D,110.42,66449.00,83.97,87380.00,7337299.00,在售,住宅
3栋2单元19C,75.61,64943.00,57.49,85412.07,4910340.00,在售,住宅
3栋2单元19B,89.45,62321.00,68.02,81955.49,5574613.00,在售,住宅
3栋2单元19A,96.04,72283.00,73.04,95044.61,6942059.00,在售,住宅
3栋2单元18D,110.42,66449.00,83.97,87380.00,7337299.00,在售,住宅
3栋2单元18C,75.61,64943.00,57.49,85412.07,4910340.00,在售,住宅
3栋2单元18B,89.45,62321.00,68.02,81955.49,5574613.00,在售,住宅
3栋2单元18A,96.04,72283.00,73.04,95044.61,6942059.00,在售,住宅
3栋2单元17D,110.42,66289.00,83.97,87169.59,7319631.00,在售,住宅
3栋2单元17C,75.61,64783.00,57.49,85201.65,4898243.00,在售,住宅
3栋2单元17B,89.45,62160.00,68.02,81743.78,5560212.00,在售,住宅
3栋2单元17A,96.04,72123.00,73.04,94834.24,6926693.00,在售,住宅
