房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B2130,40.50,60190.12,27.84,87561.06,2437700.00,在售,
B2129,33.27,59933.87,22.87,87188.45,1994000.00,在售,
B2128,33.27,59933.87,22.87,87188.45,1994000.00,在售,
B2127,33.27,59933.87,22.87,87188.45,1994000.00,在售,
B2126,33.27,59549.14,22.87,86628.77,1981200.00,在售,
B2125,26.68,59036.73,18.34,85883.31,1575100.00,在售,
B2124,26.68,59036.73,18.34,85883.31,1575100.00,在售,
B2123,30.79,59291.97,21.16,86275.99,1825600.00,在售,
B2122,30.79,59291.97,21.16,86275.99,1825600.00,在售,
B2121,30.17,59294.00,20.74,86253.61,1788900.00,在售,
B2120,30.17,59294.00,20.74,86253.61,1788900.00,在售,
B2119,33.27,59549.14,22.87,86628.77,1981200.00,在售,
B2118,33.27,59933.87,22.87,87188.45,1994000.00,在售,
B2117,33.27,59933.87,22.87,87188.45,1994000.00,在售,
B2116,33.27,59933.87,22.87,87188.45,1994000.00,在售,
B2115,40.50,60190.12,27.84,87561.06,2437700.00,在售,
B2114,48.45,58074.30,33.30,84495.49,2813700.00,在售,
B2113,38.64,57818.32,26.56,84115.21,2234100.00,在售,
B2112,31.82,57818.98,21.87,84124.37,1839800.00,在售,
B2111,31.82,57432.43,21.87,83561.95,1827500.00,在售,
B2110,31.82,57174.73,21.87,83187.01,1819300.00,在售,
B2109,25.40,56921.25,17.46,82806.41,1445800.00,在售,
B2108,25.87,56919.21,17.78,82817.77,1472500.00,在售,
B2107,25.87,56919.21,17.78,82817.77,1472500.00,在售,
B2106,25.40,56921.25,17.46,82806.41,1445800.00,在售,
B2105,31.82,57174.73,21.87,83187.01,1819300.00,在售,
B2104,31.82,57432.43,21.87,83561.95,1827500.00,在售,
B2103,31.82,57818.98,21.87,84124.37,1839800.00,在售,
B2102,38.64,57818.32,26.56,84115.21,2234100.00,在售,
B2101,48.45,58074.30,33.30,84495.49,2813700.00,在售,
B2030,40.50,60135.80,27.84,87482.04,2435500.00,在售,
B2029,33.27,59879.77,22.87,87109.75,1992200.00,在售,
B2028,33.27,59879.77,22.87,87109.75,1992200.00,在售,
B2027,33.27,59879.77,22.87,87109.75,1992200.00,在售,
B2026,33.27,59495.04,22.87,86550.06,1979400.00,在售,
B2025,26.68,58980.50,18.34,85801.52,1573600.00,在售,
B2024,26.68,58980.50,18.34,85801.52,1573600.00,在售,
B2023,30.79,59236.76,21.16,86195.65,1823900.00,在售,
