房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋1920,39.64,79971.00,28.68,110531.74,3170050.44,在售,商务公寓
3栋2020,39.64,80121.00,28.68,110739.06,3175996.44,在售,商务公寓
3栋2120,39.64,80271.00,28.68,110946.38,3181942.44,在售,商务公寓
3栋2220,39.64,80421.00,28.68,111153.71,3187888.44,在售,商务公寓
3栋2320,39.64,80571.00,28.68,111361.03,3193834.44,在售,商务公寓
3栋2420,39.64,80721.00,28.68,111568.35,3199780.44,在售,商务公寓
3栋2520,39.64,80871.00,28.68,111775.67,3205726.44,在售,商务公寓
3栋2620,39.64,81021.00,28.68,111983.00,3211672.44,在售,商务公寓
3栋2720,39.64,81171.00,28.68,112190.32,3217618.44,在售,商务公寓
3栋2820,39.64,81321.00,28.68,112397.64,3223564.44,在售,商务公寓
3栋2920,39.64,81471.00,28.68,112604.96,3229510.44,在售,商务公寓
3栋3120,40.22,81621.00,29.12,112733.40,3282796.62,在售,商务公寓
3栋3220,40.22,81771.00,29.12,112940.57,3288829.62,在售,商务公寓
3栋3320,40.22,81921.00,29.12,113147.75,3294862.62,在售,商务公寓
3栋3420,40.22,82071.00,29.12,113354.93,3300895.62,在售,商务公寓
3栋3520,40.22,82221.00,29.12,113562.10,3306928.62,在售,商务公寓
3栋3620,40.22,82371.00,29.12,113769.28,3312961.62,在售,商务公寓
3栋3720,40.22,82521.00,29.12,113976.46,3318994.62,在售,商务公寓
3栋3820,40.22,82671.00,29.12,114183.64,3325027.62,在售,商务公寓
3栋3920,40.22,82821.00,29.12,114390.81,3331060.62,在售,商务公寓
3栋4020,40.22,82971.00,29.12,114597.99,3337093.62,在售,商务公寓
3栋4120,40.22,82971.00,29.12,114597.99,3337093.62,在售,商务公寓
3栋4220,40.22,82971.00,29.12,114597.99,3337093.62,在售,商务公寓
3栋4320,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋4420,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋4520,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋4720,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋4820,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋4920,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋5020,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋5120,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋5220,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋5320,39.84,82971.00,28.76,114936.18,3305564.64,在售,商务公寓
3栋1919,40.00,79971.00,28.94,110533.51,3198840.00,在售,商务公寓
