房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
商业116,184.43,278372.72,177.71,288899.22,51340280.39,在售,商业
商业115,196.70,275279.70,189.54,285678.57,54147516.16,在售,商业
商业114,181.99,275279.70,175.36,285687.46,50098153.00,在售,商业
商业113,130.94,282780.10,126.18,293447.66,37027225.74,在售,商业
商业112,118.87,208409.00,114.54,216287.57,24773577.83,在售,商业
商业111,74.36,204394.00,71.65,212124.74,15198737.84,在售,商业
商业110,58.00,215198.00,55.89,223322.31,12481484.00,在售,商业
商业109,58.00,215198.00,55.89,223322.31,12481484.00,在售,商业
商业108,52.54,215198.00,50.63,223316.27,11306502.92,在售,商业
商业107,58.00,215198.00,55.89,223322.31,12481484.00,在售,商业
商业106,52.54,215198.00,50.63,223316.27,11306502.92,在售,商业
商业105,52.97,215198.00,51.04,223335.39,11399038.06,在售,商业
商业104,54.80,215198.00,52.80,223349.44,11792850.40,在售,商业
商业103,96.93,182751.00,93.40,189657.97,17714054.43,在售,商业
商业102,115.59,186145.00,111.38,193181.01,21516500.55,在售,商业
