房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1号楼B单元411,55.33,33998.12,30.47,61736.00,1881115.00,在售,商业
1号楼B单元511,55.33,35664.79,30.47,64763.00,1973332.00,在售,商业
1号楼B单元611,55.33,36498.12,30.47,66276.00,2019440.00,在售,商业
1号楼B单元711,53.07,29951.09,29.02,54772.00,1589504.00,在售,商业
1号楼B单元811,55.33,28837.09,30.47,52364.00,1595556.00,在售,商业
1号楼B单元911,54.94,29151.95,30.47,52563.00,1601608.00,在售,商业
1号楼B单元1011,53.07,30293.19,29.02,55398.00,1607659.00,在售,商业
1号楼B单元1211,55.33,29165.22,30.47,52960.00,1613711.00,在售,商业
1号楼B单元1311,55.33,29274.60,30.47,53159.00,1619763.00,在售,商业
1号楼B单元1411,53.07,30635.30,29.02,56023.00,1625815.00,在售,商业
