房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C座3003,138.44,45830.38,109.74,57816.27,6344758.00,在售,住宅
C座3002,137.87,47304.72,109.28,59680.66,6521902.00,在售,住宅
C座3001,160.91,48619.46,127.54,61340.42,7823357.00,在售,住宅
C座2903,138.44,46187.53,109.74,58266.82,6394201.00,在售,住宅
C座2902,137.87,47661.87,109.28,60131.24,6571142.00,在售,住宅
C座2901,160.91,48976.61,127.54,61791.01,7880826.00,在售,住宅
C座2803,138.44,46085.48,109.74,58138.09,6380074.00,在售,住宅
C座2802,137.87,47559.82,109.28,60002.50,6557073.00,在售,住宅
C座2801,160.91,48874.56,127.54,61662.27,7864406.00,在售,住宅
C座2703,138.44,45983.44,109.74,58009.37,6365948.00,在售,住宅
C座2702,137.87,47457.79,109.28,59873.76,6543005.00,在售,住宅
C座2701,160.91,48772.53,127.54,61533.53,7847987.00,在售,住宅
C座2603,138.44,45881.40,109.74,57880.64,6351821.00,在售,住宅
C座2602,137.87,47355.75,109.28,59745.03,6528937.00,在售,住宅
C座2601,160.91,48670.48,127.54,61404.79,7831567.00,在售,住宅
C座2503,138.44,45779.36,109.74,57751.91,6337695.00,在售,住宅
C座2502,137.87,47253.70,109.28,59616.29,6514868.00,在售,住宅
C座2501,160.91,48568.44,127.54,61276.05,7815148.00,在售,住宅
C座2403,138.44,45677.32,109.74,57623.18,6323568.00,在售,住宅
C座2402,137.87,47151.66,109.28,59487.55,6500800.00,在售,住宅
C座2401,160.91,48466.40,127.54,61147.32,7798729.00,在售,住宅
C座2303,138.44,45575.28,109.74,57494.46,6309442.00,在售,住宅
C座2302,137.87,47049.63,109.28,59358.82,6486732.00,在售,住宅
C座2301,160.91,48364.36,127.54,61018.57,7782309.00,在售,住宅
C座2203,138.44,45473.24,109.74,57365.73,6295315.00,在售,住宅
C座2202,137.87,46947.58,109.28,59230.08,6472663.00,在售,住宅
C座2201,160.91,48262.32,127.54,60889.84,7765890.00,在售,住宅
C座2103,138.44,45371.20,109.74,57237.01,6281189.00,在售,住宅
C座2102,137.87,46845.54,109.28,59101.35,6458595.00,在售,住宅
C座2101,160.91,48160.28,127.54,60761.09,7749470.00,在售,住宅
C座2003,138.44,45269.16,109.74,57108.27,6267062.00,在售,住宅
C座2002,137.87,46743.50,109.28,58972.61,6444527.00,在售,住宅
C座2001,160.91,48058.24,127.54,60632.36,7733051.00,在售,住宅
C座1903,138.44,45167.12,109.74,56979.55,6252936.00,在售,住宅
C座1902,137.87,46641.46,109.28,58843.87,6430458.00,在售,住宅
C座1901,160.91,47956.20,127.54,60503.62,7716632.00,在售,住宅
C座1803,138.44,45065.08,109.74,56850.82,6238809.00,在售,住宅
C座1802,137.87,46539.42,109.28,58715.14,6416390.00,在售,住宅
C座1801,160.91,47854.15,127.54,60374.88,7700212.00,在售,住宅
C座1703,138.44,44963.04,109.74,56722.10,6224683.00,在售,住宅
C座1702,137.87,46437.38,109.28,58586.39,6402321.00,在售,住宅
C座1701,160.91,47752.12,127.54,60246.14,7683793.00,在售,住宅
C座1603,138.44,44860.99,109.74,56593.37,6210556.00,在售,住宅
C座1602,137.87,46335.34,109.28,58457.66,6388253.00,在售,住宅
C座1601,160.91,47650.07,127.54,60117.40,7667373.00,在售,住宅
C座1503,138.44,44758.96,109.74,56464.64,6196430.00,在售,住宅
C座1502,137.87,46233.30,109.28,58328.93,6374185.00,在售,住宅
C座1501,160.91,47548.03,127.54,59988.66,7650954.00,在售,住宅
C座1403,138.44,44656.91,109.74,56335.91,6182303.00,在售,住宅
C座1402,137.87,46131.25,109.28,58200.18,6360116.00,在售,住宅
C座1401,160.91,47445.99,127.54,59859.93,7634535.00,在售,住宅
C座1303,138.44,44554.88,109.74,56207.19,6168177.00,在售,住宅
C座1302,137.87,46029.22,109.28,58071.45,6346048.00,在售,住宅
C座1301,160.91,47343.95,127.54,59731.18,7618115.00,在售,住宅
C座1203,138.44,44452.83,109.74,56078.46,6154050.00,在售,住宅
C座1202,137.87,45927.18,109.28,57942.72,6331980.00,在售,住宅
C座1201,160.91,47241.91,127.54,59602.45,7601696.00,在售,住宅
C座1103,138.44,44350.79,109.74,55949.73,6139923.00,在售,住宅
C座1102,137.87,45825.13,109.28,57813.97,6317911.00,在售,住宅
C座1101,160.91,47139.87,127.54,59473.71,7585277.00,在售,住宅
