房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3号楼B座2E,87.51,41354.46,67.71,53447.48,3618929.00,在售,住宅
3号楼B座3E,87.51,42395.59,67.71,54793.06,3710038.00,在售,住宅
3号楼B座4E,87.51,43020.26,67.71,55600.40,3764703.00,在售,住宅
3号楼B座5E,87.51,43332.60,67.71,56004.08,3792036.00,在售,住宅
3号楼B座6E,87.51,43395.07,67.71,56084.82,3797503.00,在售,住宅
3号楼B座7E,87.51,43457.54,67.71,56165.54,3802969.00,在售,住宅
3号楼B座8E,87.51,43520.01,67.71,56246.29,3808436.00,在售,住宅
3号楼B座9E,87.51,43582.46,67.71,56327.00,3813901.00,在售,住宅
3号楼B座10E,87.51,43644.93,67.71,56407.74,3819368.00,在售,住宅
3号楼B座11E,87.51,43707.40,67.71,56488.48,3824835.00,在售,住宅
3号楼B座12E,87.51,43769.87,67.71,56569.21,3830301.00,在售,住宅
3号楼B座13E,87.51,43832.34,67.71,56649.95,3835768.00,在售,住宅
3号楼B座14E,87.51,43894.80,67.71,56730.67,3841234.00,在售,住宅
3号楼B座15E,87.51,43957.27,67.71,56811.42,3846701.00,在售,住宅
3号楼B座16E,87.51,44019.75,67.71,56892.16,3852168.00,在售,住宅
3号楼B座17E,87.51,44082.21,67.71,56972.88,3857634.00,在售,住宅
3号楼B座18E,87.51,44144.68,67.71,57053.63,3863101.00,在售,住宅
3号楼B座19E,87.51,44207.14,67.71,57134.35,3868567.00,在售,住宅
3号楼B座20E,87.51,44269.61,67.71,57215.09,3874034.00,在售,住宅
3号楼B座21E,87.51,44332.09,67.71,57295.84,3879501.00,在售,住宅
3号楼B座22E,87.51,44394.55,67.71,57376.56,3884967.00,在售,住宅
3号楼B座23E,87.51,44457.02,67.71,57457.30,3890434.00,在售,住宅
3号楼B座24E,87.51,44519.48,67.71,57538.03,3895900.00,在售,住宅
3号楼B座25E,87.51,44581.94,67.71,57618.76,3901366.00,在售,住宅
3号楼B座26E,87.51,44644.42,67.71,57699.50,3906833.00,在售,住宅
3号楼B座27E,87.51,44706.88,67.71,57780.22,3912299.00,在售,住宅
3号楼B座28E,87.51,44769.35,67.71,57860.97,3917766.00,在售,住宅
3号楼B座29E,87.51,44831.81,67.71,57941.69,3923232.00,在售,住宅
3号楼B座30E,87.51,44894.29,67.71,58022.43,3928699.00,在售,住宅
3号楼B座31E,87.51,44956.76,67.71,58103.18,3934166.00,在售,住宅
3号楼B座32E,87.51,44706.88,67.71,57780.22,3912299.00,在售,住宅
3号楼B座2D,79.27,42385.51,61.34,54775.01,3359899.00,在售,住宅
