房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋T1座206,185.72,200000.00,141.71,262112.76,37144000.00,在售,商业
1栋T1座205,301.90,200000.00,230.37,262100.09,60380000.00,在售,商业
1栋T1座203,129.26,200000.00,106.33,243129.87,25852000.00,在售,商业
1栋T1座202,52.18,200000.00,42.92,243150.04,10436000.00,在售,商业
1栋T1座201,407.37,200000.00,335.11,243126.13,81474000.00,在售,商业
1栋T1座107,352.23,200000.00,289.75,243126.83,70446000.00,在售,商业
1栋T1座106,137.74,200000.00,113.31,243120.64,27548000.00,在售,商业
1栋T1座105,104.57,200000.00,86.02,243129.50,20914000.00,在售,商业
1栋T1座102,219.83,200000.00,180.84,243120.99,43966000.00,在售,商业
1栋T1座101,186.98,200000.00,153.81,243131.13,37396000.00,在售,商业
1栋T1座地下102,209.48,200000.00,96.14,435781.15,41896000.00,在售,商业
1栋T1座地下101,210.48,200000.00,96.60,435776.39,42096000.00,在售,商业
1栋T1座3201,1924.09,79500.00,1549.40,98725.41,152965155.00,在售,研发用房
1栋T1座3113,188.51,68582.83,130.34,99190.95,12928549.65,在售,研发用房
1栋T1座3112,233.30,68582.82,161.31,99190.21,16000373.65,在售,研发用房
1栋T1座3111,133.09,71732.03,92.03,103735.91,9546816.32,在售,研发用房
1栋T1座3110,133.09,75471.72,92.03,109144.10,10044531.71,在售,研发用房
1栋T1座3109,133.09,75471.72,92.03,109144.10,10044531.71,在售,研发用房
1栋T1座3108,248.23,79255.84,171.63,114628.43,19673678.67,在售,研发用房
1栋T1座3107,258.75,70520.23,178.91,101990.44,18247111.40,在售,研发用房
1栋T1座3106,232.72,75130.97,160.91,108660.00,17484481.61,在售,研发用房
1栋T1座3105,133.09,74553.20,92.02,107827.48,9922285.53,在售,研发用房
1栋T1座3103,133.09,75471.72,92.02,109155.96,10044531.71,在售,研发用房
1栋T1座3102,133.09,74553.20,92.02,107827.48,9922285.53,在售,研发用房
1栋T1座3101,232.72,72252.67,160.91,104497.18,16814642.05,在售,研发用房
1栋T1座3012,197.68,68338.38,130.34,103645.33,13509132.76,在售,研发用房
1栋T1座3011,244.65,71487.59,161.31,108421.29,17489439.75,在售,研发用房
1栋T1座3010,147.28,75227.27,97.11,114091.99,11079473.54,在售,研发用房
1栋T1座3009,147.28,75227.27,97.11,114091.99,11079473.54,在售,研发用房
1栋T1座3008,260.30,79011.40,171.63,119831.42,20566668.22,在售,研发用房
1栋T1座3007,271.34,70275.79,178.91,106582.27,19068634.27,在售,研发用房
1栋T1座3006,247.50,74886.53,163.19,113575.68,18534416.73,在售,研发用房
1栋T1座3005,139.57,74308.75,92.02,112706.72,10371273.17,在售,研发用房
1栋T1座3003,139.57,75227.28,92.02,114099.88,10499471.54,在售,研发用房
1栋T1座3002,139.57,74308.75,92.02,112706.72,10371273.17,在售,研发用房
1栋T1座3001,244.59,72008.22,161.27,109211.21,17612492.16,在售,研发用房
1栋T1座2912,197.68,68093.94,130.34,103274.59,13460810.87,在售,研发用房
1栋T1座2911,244.65,71243.14,161.31,108050.56,17429635.86,在售,研发用房
1栋T1座2910,147.28,74982.82,97.11,113721.25,11043470.65,在售,研发用房
1栋T1座2909,147.28,74982.82,97.11,113721.25,11043470.65,在售,研发用房
1栋T1座2908,260.30,78766.95,171.63,119460.69,20503038.33,在售,研发用房
1栋T1座2907,271.34,70031.35,178.91,106211.54,19002306.94,在售,研发用房
1栋T1座2906,247.50,74642.08,163.19,113204.95,18473916.84,在售,研发用房
1栋T1座2905,139.57,74064.30,92.02,112335.96,10337155.28,在售,研发用房
1栋T1座2903,139.57,74982.83,92.02,113729.12,10465353.65,在售,研发用房
1栋T1座2902,139.57,74064.30,92.02,112335.96,10337155.28,在售,研发用房
1栋T1座2901,244.59,71763.78,161.27,108840.47,17552703.27,在售,研发用房
1栋T1座2812,197.68,67849.49,130.34,102903.85,13412487.98,在售,研发用房
1栋T1座2811,244.65,70998.70,161.31,107679.82,17369831.97,在售,研发用房
1栋T1座2810,147.28,74738.38,97.11,113350.51,11007468.76,在售,研发用房
1栋T1座2809,147.28,74738.38,97.11,113350.51,11007468.76,在售,研发用房
1栋T1座2808,260.30,78522.51,171.63,119089.96,20439410.45,在售,研发用房
1栋T1座2807,271.34,69786.90,178.91,105840.80,18935977.60,在售,研发用房
1栋T1座2806,247.50,74397.64,163.19,112834.22,18413416.95,在售,研发用房
1栋T1座2805,139.57,73819.86,92.02,111965.20,10303038.39,在售,研发用房
1栋T1座2803,139.57,74738.38,92.02,113358.36,10431236.76,在售,研发用房
1栋T1座2802,139.57,73819.86,92.02,111965.20,10303038.39,在售,研发用房
1栋T1座2801,244.59,71519.33,161.27,108469.73,17492914.38,在售,研发用房
1栋T1座2712,197.68,67605.04,130.34,102533.11,13364166.10,在售,研发用房
1栋T1座2711,244.65,70754.25,161.31,107309.08,17310029.08,在售,研发用房
