房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋C1-3305,81.85,38360.00,65.96,47601.06,3139766.00,在售,
1栋C1-3304,81.67,38360.00,65.82,47597.41,3132862.00,在售,
1栋C1-3303,86.44,39160.00,69.66,48593.03,3384991.00,在售,
1栋C1-3302,86.44,39160.00,69.66,48593.03,3384991.00,在售,
1栋C1-3301,107.79,40660.00,86.87,50451.73,4382742.00,在售,
1栋C1-3205,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-3204,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-3203,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-3202,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-3201,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-3105,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-3104,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-3103,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-3102,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-3101,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-3005,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-3004,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-3003,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-3002,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-3001,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-2905,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-2904,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-2903,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2902,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2901,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-2805,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-2804,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-2803,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2802,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2801,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-2705,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-2704,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-2703,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2702,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2701,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-2605,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-2604,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-2603,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2602,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2601,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-2505,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-2504,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-2503,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2502,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2501,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-2405,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-2404,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-2403,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2402,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2401,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-2305,81.85,39860.00,65.96,49462.41,3262541.00,在售,
1栋C1-2304,81.67,39860.00,65.82,49458.62,3255367.00,在售,
1栋C1-2303,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2302,86.44,40660.00,69.66,50454.36,3514651.00,在售,
1栋C1-2301,107.79,42160.00,86.87,52312.96,4544427.00,在售,
1栋C1-2205,81.85,39560.00,65.96,49090.14,3237986.00,在售,
1栋C1-2204,81.67,39560.00,65.82,49086.38,3230866.00,在售,
1栋C1-2203,86.44,40360.00,69.66,50082.09,3488719.00,在售,
1栋C1-2202,86.44,40360.00,69.66,50082.09,3488719.00,在售,
1栋C1-2201,107.79,41860.00,86.87,51940.71,4512090.00,在售,
1栋C1-2105,81.85,39560.00,65.96,49090.14,3237986.00,在售,
1栋C1-2104,81.67,39560.00,65.82,49086.38,3230866.00,在售,
1栋C1-2103,86.44,40360.00,69.66,50082.09,3488719.00,在售,
1栋C1-2102,86.44,40360.00,69.66,50082.09,3488719.00,在售,
1栋C1-2101,107.79,41860.00,86.87,51940.71,4512090.00,在售,
1栋C1-2005,81.85,39560.00,65.96,49090.14,3237986.00,在售,
1栋C1-2004,81.67,39560.00,65.82,49086.38,3230866.00,在售,
1栋C1-2003,86.44,40360.00,69.66,50082.09,3488719.00,在售,
1栋C1-2002,86.44,40360.00,69.66,50082.09,3488719.00,在售,
1栋C1-2001,107.79,41860.00,86.87,51940.71,4512090.00,在售,
